raw_s,wall_s,kind,jump_ms
303293.950,1781486001.129,jump,1.455
303294.049,1781486001.230,jump,1.456
303294.148,1781486001.330,jump,1.453
303294.247,1781486001.431,jump,1.457
303294.347,1781486001.533,jump,1.471
303294.446,1781486001.633,jump,1.456
303294.546,1781486001.734,jump,1.457
303294.645,1781486001.835,jump,1.456
303294.744,1781486001.935,jump,1.458
303294.843,1781486002.036,jump,1.402
303294.942,1781486002.136,jump,1.280
303295.042,1781486002.237,jump,1.280
303295.141,1781486002.337,jump,1.277
303295.239,1781486002.437,jump,1.277
303295.338,1781486002.537,jump,1.278
303295.437,1781486002.638,jump,1.277
303295.537,1781486002.739,jump,1.287
303295.636,1781486002.839,jump,1.279
303295.736,1781486002.940,jump,1.284
303295.835,1781486003.040,jump,1.219
303295.935,1781486003.141,jump,1.135
303296.034,1781486003.241,jump,1.126
303296.133,1781486003.342,jump,1.133
303296.234,1781486003.443,jump,1.138
303296.334,1781486003.545,jump,1.138
303296.434,1781486003.646,jump,1.134
303296.533,1781486003.746,jump,1.128
303296.633,1781486003.847,jump,1.131
303296.732,1781486003.948,jump,1.130
303296.832,1781486004.049,jump,1.080
303296.932,1781486004.150,jump,1.002
303297.033,1781486004.251,jump,1.002
303297.233,1781486004.453,jump,1.003
303326.316,1781486033.620,hb,
303386.338,1781486093.650,hb,
303446.372,1781486153.677,hb,
303506.393,1781486213.710,hb,
303566.425,1781486273.731,hb,
303626.453,1781486333.758,hb,
303686.473,1781486393.785,hb,
303746.490,1781486453.811,hb,
303806.519,1781486513.821,hb,
303866.560,1781486573.842,hb,
303926.593,1781486633.870,hb,
303986.621,1781486693.898,hb,
304046.644,1781486753.915,hb,
304106.674,1781486813.930,hb,
304166.703,1781486873.952,hb,
304226.733,1781486933.980,hb,
304286.762,1781486994.007,hb,
304346.801,1781487054.036,hb,
304406.831,1781487114.060,hb,
304466.859,1781487174.084,hb,
304526.882,1781487234.105,hb,
304586.909,1781487294.125,hb,
304646.935,1781487354.147,hb,
304706.965,1781487414.172,hb,
304766.996,1781487474.201,hb,
304827.024,1781487534.224,hb,
304887.054,1781487594.249,hb,
304947.087,1781487654.279,hb,
305007.115,1781487714.303,hb,
305067.145,1781487774.329,hb,
305127.161,1781487834.341,hb,
305187.182,1781487894.359,hb,
305247.214,1781487954.386,hb,
305307.246,1781488014.415,hb,
305367.273,1781488074.438,hb,
305427.302,1781488134.463,hb,
305487.331,1781488194.488,hb,
305547.362,1781488254.516,hb,
305607.394,1781488314.544,hb,
305667.427,1781488374.573,hb,
305727.458,1781488434.601,hb,
305787.493,1781488494.632,hb,
305847.526,1781488554.661,hb,
305907.556,1781488614.688,hb,
305967.586,1781488674.713,hb,
306027.615,1781488734.739,hb,
306087.643,1781488794.763,hb,
306147.672,1781488854.789,hb,
306207.688,1781488914.801,hb,
306267.706,1781488974.815,hb,
306327.735,1781489034.841,hb,
306387.767,1781489094.869,hb,
306447.795,1781489154.894,hb,
306507.825,1781489214.919,hb,
306567.856,1781489274.947,hb,
306627.888,1781489334.975,hb,
306687.918,1781489395.002,hb,
306747.947,1781489455.027,hb,
306807.977,1781489515.053,hb,
306868.006,1781489575.079,hb,
306928.033,1781489635.102,hb,
306988.061,1781489695.126,hb,
307048.083,1781489755.145,hb,
307108.106,1781489815.164,hb,
307168.124,1781489875.179,hb,
307228.146,1781489935.197,hb,
307288.169,1781489995.216,hb,
307348.192,1781490055.236,hb,
307408.215,1781490115.254,hb,
307468.237,1781490175.273,hb,
307528.258,1781490235.291,hb,
307588.282,1781490295.310,hb,
307648.301,1781490355.326,hb,
307708.319,1781490415.340,hb,
307768.336,1781490475.354,hb,
307828.352,1781490535.366,hb,
307888.369,1781490595.379,hb,
307948.387,1781490655.393,hb,
308008.402,1781490715.405,hb,
308068.417,1781490775.417,hb,
308128.431,1781490835.427,hb,
308188.448,1781490895.441,hb,
308248.465,1781490955.454,hb,
308308.485,1781491015.470,hb,
308368.503,1781491075.484,hb,
308428.520,1781491135.497,hb,
308488.538,1781491195.512,hb,
308548.556,1781491255.527,hb,
308608.577,1781491315.543,hb,
308668.596,1781491375.558,hb,
308728.614,1781491435.573,hb,
308788.635,1781491495.591,hb,
308848.653,1781491555.605,hb,
308908.669,1781491615.617,hb,
308968.686,1781491675.631,hb,
309028.703,1781491735.644,hb,
309088.724,1781491795.662,hb,
309148.744,1781491855.678,hb,
309208.763,1781491915.693,hb,
309268.780,1781491975.707,hb,
309328.800,1781492035.723,hb,
309388.818,1781492095.737,hb,
309448.845,1781492155.760,hb,
309508.873,1781492215.785,hb,
309568.903,1781492275.811,hb,
309628.930,1781492335.835,hb,
309688.963,1781492395.864,hb,
309748.978,1781492455.875,hb,
309809.007,1781492515.901,hb,
309869.037,1781492575.926,hb,
309929.064,1781492635.950,hb,
309989.095,1781492695.977,hb,
310049.122,1781492756.001,hb,
310109.149,1781492816.024,hb,
310169.181,1781492876.053,hb,
310229.211,1781492936.079,hb,
310289.242,1781492996.106,hb,
310349.273,1781493056.133,hb,
310409.303,1781493116.159,hb,
