raw_s,wall_s,offset_ms,delay_ms,err
281645.770,1781464354.283,20.053,40.525,
281646.771,1781464355.284,20.032,40.498,
281647.771,1781464356.284,20.048,40.538,
281648.771,1781464357.284,19.971,40.329,
281649.771,1781464358.284,20.028,40.486,
281650.771,1781464359.284,19.948,40.335,
281651.772,1781464360.284,19.994,40.459,
281652.772,1781464361.284,20.031,40.528,
281653.772,1781464362.284,19.962,40.382,
281654.772,1781464363.284,20.037,40.488,
281655.772,1781464364.284,19.970,40.393,
281656.772,1781464365.284,20.009,40.488,
281657.772,1781464366.284,19.925,40.335,
281658.772,1781464367.284,19.929,40.345,
281659.772,1781464368.284,19.992,40.444,
281660.772,1781464369.284,20.041,40.492,
281661.772,1781464370.284,19.934,40.464,
281662.772,1781464371.284,19.956,40.473,
281663.772,1781464372.284,20.000,40.346,
281664.772,1781464373.284,19.925,40.400,
281665.772,1781464374.284,19.980,40.376,
281666.772,1781464375.284,20.001,40.525,
281667.772,1781464376.284,19.968,40.422,
281668.772,1781464377.284,19.974,40.251,
281669.772,1781464378.284,19.910,40.471,
281670.773,1781464379.284,20.000,40.533,
281671.773,1781464380.284,19.928,40.369,
281672.773,1781464381.284,20.041,40.495,
281673.773,1781464382.284,19.956,40.342,
281674.773,1781464383.284,20.012,40.498,
281675.773,1781464384.284,19.954,40.391,
281676.773,1781464385.284,19.978,40.472,
281677.773,1781464386.284,19.908,40.362,
281678.773,1781464387.284,19.954,40.276,
281679.773,1781464388.284,20.000,40.317,
281680.773,1781464389.284,19.918,40.363,
281681.773,1781464390.284,19.971,40.446,
281682.773,1781464391.284,20.047,40.526,
281683.773,1781464392.284,19.909,40.445,
281684.773,1781464393.284,19.963,40.432,
281685.773,1781464394.284,19.979,40.199,
281686.774,1781464395.284,20.024,40.524,
281687.774,1781464396.284,19.983,40.341,
281688.774,1781464397.284,19.920,40.397,
281689.774,1781464398.284,20.034,40.456,
281690.774,1781464399.284,20.013,40.498,
281691.774,1781464400.284,20.018,40.463,
281692.774,1781464401.284,19.886,40.260,
281693.774,1781464402.284,19.951,40.431,
281694.774,1781464403.284,19.975,40.264,
281695.774,1781464404.284,19.977,40.457,
281696.774,1781464405.284,20.007,40.492,
281697.774,1781464406.284,20.027,40.549,
281698.774,1781464407.284,20.011,40.532,
281699.774,1781464408.284,19.970,40.575,
281700.774,1781464409.284,19.928,40.304,
281701.774,1781464410.284,19.966,40.348,
281702.775,1781464411.284,19.986,40.498,
281703.775,1781464412.284,19.960,40.284,
281704.775,1781464413.284,20.008,40.606,
281705.774,1781464414.284,19.655,40.196,
281706.774,1781464415.284,18.953,40.436,
281707.773,1781464416.284,18.257,40.331,
281708.773,1781464417.284,17.616,40.376,
281709.772,1781464418.284,17.050,40.336,
281710.771,1781464419.284,16.347,40.426,
281711.771,1781464420.284,15.819,40.494,
281712.771,1781464421.284,15.171,40.390,
281713.770,1781464422.284,14.673,40.396,
281714.770,1781464423.284,14.049,40.379,
281715.769,1781464424.285,13.528,40.479,
281716.769,1781464425.284,13.049,40.456,
281717.768,1781464426.284,12.509,40.471,
281718.768,1781464427.284,11.935,40.439,
281719.767,1781464428.284,11.467,40.381,
281720.767,1781464429.284,10.988,40.279,
281721.766,1781464430.284,10.603,40.456,
281722.766,1781464431.284,10.114,40.395,
281723.766,1781464432.284,9.707,40.441,
281724.765,1781464433.284,9.214,40.353,
281725.765,1781464434.284,8.786,40.391,
281726.764,1781464435.284,8.382,40.371,
281727.764,1781464436.284,8.085,40.570,
281728.764,1781464437.284,7.715,40.406,
281729.764,1781464438.284,7.239,40.341,
281730.763,1781464439.284,6.943,40.484,
281731.763,1781464440.284,6.506,40.459,
281732.763,1781464441.284,6.144,40.447,
281733.761,1781464442.283,5.888,40.534,
281734.762,1781464443.284,5.537,40.509,
281735.762,1781464444.284,5.176,40.373,
281736.762,1781464445.284,4.890,40.441,
281737.761,1781464446.284,4.599,40.475,
281738.761,1781464447.284,4.235,40.424,
281739.761,1781464448.284,4.021,40.411,
281740.761,1781464449.284,3.666,40.414,
281741.760,1781464450.284,3.370,40.337,
281742.760,1781464451.284,3.095,40.347,
281743.760,1781464452.284,2.912,40.526,
281744.760,1781464453.284,2.597,40.361,
281745.760,1781464454.284,2.343,40.432,
281746.759,1781464455.284,2.138,40.517,
281747.759,1781464456.284,1.835,40.422,
281748.759,1781464457.284,1.595,40.428,
281749.759,1781464458.284,1.335,40.378,
281750.759,1781464459.284,1.100,40.359,
281751.758,1781464460.284,0.928,40.434,
281752.758,1781464461.284,0.727,40.456,
281753.758,1781464462.284,0.447,40.453,
281754.758,1781464463.284,0.225,40.352,
281755.758,1781464464.284,0.122,40.561,
281756.758,1781464465.284,-0.184,40.288,
281757.758,1781464466.284,-0.339,40.469,
281758.757,1781464467.284,-0.536,40.493,
281759.757,1781464468.284,-0.767,40.432,
281760.757,1781464469.284,-0.962,40.375,
281761.757,1781464470.284,-1.144,40.406,
281762.757,1781464471.284,-1.256,40.447,
281763.757,1781464472.284,-1.523,40.354,
281764.757,1781464473.284,-1.707,40.364,
281765.757,1781464474.284,-1.852,40.400,
281766.757,1781464475.284,-2.012,40.511,
281767.756,1781464476.284,-2.140,40.496,
281768.756,1781464477.284,-2.310,40.416,
281769.756,1781464478.284,-2.511,40.392,
281770.756,1781464479.284,-2.704,40.376,
281771.756,1781464480.284,-2.868,40.387,
281772.756,1781464481.284,-2.949,40.534,
281773.756,1781464482.284,-3.070,40.526,
281774.756,1781464483.284,-3.292,40.377,
281775.756,1781464484.284,-3.428,40.363,
281776.756,1781464485.284,-3.531,40.485,
281777.755,1781464486.284,-3.749,40.472,
281778.755,1781464487.284,-3.883,40.484,
281779.755,1781464488.284,-4.033,40.447,
281780.755,1781464489.284,-4.094,40.506,
281781.755,1781464490.284,-4.235,40.488,
281782.755,1781464491.284,-4.377,40.429,
281783.755,1781464492.284,-4.559,40.370,
281784.755,1781464493.284,-4.676,40.396,
281785.755,1781464494.284,-4.762,40.464,
