raw_s,wall_s,kind,wall_elapsed_ms,raw_elapsed_ms
288912.717,1781471620.777,hb,,
288972.742,1781471680.843,hb,,
289032.804,1781471740.909,hb,,
289092.872,1781471800.974,hb,,
289152.940,1781471861.038,hb,,
289213.006,1781471921.102,hb,,
289273.070,1781471981.164,hb,,
289333.141,1781472041.230,hb,,
289393.213,1781472101.296,hb,,
289453.282,1781472161.361,hb,,
289513.351,1781472221.428,hb,,
289573.422,1781472281.494,hb,,
289633.493,1781472341.560,hb,,
289693.562,1781472401.625,hb,,
289753.628,1781472461.688,hb,,
289813.697,1781472521.753,hb,,
289873.767,1781472581.819,hb,,
289933.837,1781472641.885,hb,,
289993.907,1781472701.951,hb,,
290053.976,1781472762.017,hb,,
290114.045,1781472822.081,hb,,
290174.112,1781472882.145,hb,,
290234.181,1781472942.210,hb,,
290294.249,1781473002.274,hb,,
290354.317,1781473062.339,hb,,
290414.386,1781473122.404,hb,,
290474.456,1781473182.470,hb,,
290534.522,1781473242.532,hb,,
290594.590,1781473302.597,hb,,
290654.658,1781473362.661,hb,,
290714.726,1781473422.726,hb,,
290774.796,1781473482.792,hb,,
290834.864,1781473542.856,hb,,
290894.934,1781473602.923,hb,,
290955.004,1781473662.988,hb,,
291015.071,1781473723.052,hb,,
291075.139,1781473783.117,hb,,
291135.207,1781473843.181,hb,,
291195.276,1781473903.246,hb,,
291255.341,1781473963.308,hb,,
291315.410,1781474023.372,hb,,
291375.479,1781474083.438,hb,,
291435.544,1781474143.499,hb,,
291495.612,1781474203.563,hb,,
291555.682,1781474263.630,hb,,
291615.751,1781474323.696,hb,,
291675.819,1781474383.759,hb,,
291735.888,1781474443.825,hb,,
291795.957,1781474503.890,hb,,
291856.027,1781474563.957,hb,,
291916.096,1781474624.021,hb,,
291976.165,1781474684.087,hb,,
292036.233,1781474744.152,hb,,
292096.302,1781474804.217,hb,,
292156.370,1781474864.281,hb,,
292216.439,1781474924.347,hb,,
292276.509,1781474984.413,hb,,
292336.576,1781475044.476,hb,,
292396.645,1781475104.541,hb,,
292456.714,1781475164.607,hb,,
292516.785,1781475224.674,hb,,
292576.853,1781475284.739,hb,,
292636.921,1781475344.803,hb,,
292696.990,1781475404.868,hb,,
292757.059,1781475464.933,hb,,
292817.126,1781475524.997,hb,,
292877.195,1781475585.062,hb,,
292937.262,1781475645.126,hb,,
292997.330,1781475705.190,hb,,
293057.399,1781475765.255,hb,,
293117.469,1781475825.322,hb,,
293177.539,1781475885.388,hb,,
293237.607,1781475945.452,hb,,
293297.675,1781476005.517,hb,,
293357.745,1781476065.583,hb,,
293417.815,1781476125.649,hb,,
293477.882,1781476185.713,hb,,
293537.951,1781476245.777,hb,,
293598.019,1781476305.842,hb,,
293658.089,1781476365.908,hb,,
293718.158,1781476425.974,hb,,
293778.227,1781476486.039,hb,,
293838.295,1781476546.104,hb,,
293898.364,1781476606.169,hb,,
293958.433,1781476666.234,hb,,
294018.503,1781476726.300,hb,,
294078.572,1781476786.366,hb,,
294138.642,1781476846.432,hb,,
294198.712,1781476906.498,hb,,
294258.780,1781476966.563,hb,,
294318.849,1781477026.628,hb,,
294378.920,1781477086.695,hb,,
294438.989,1781477146.761,hb,,
294499.058,1781477206.826,hb,,
294559.127,1781477266.891,hb,,
294619.194,1781477326.955,hb,,
294679.260,1781477387.017,hb,,
294739.327,1781477447.081,hb,,
294799.394,1781477507.144,hb,,
294859.461,1781477567.207,hb,,
294919.529,1781477627.272,hb,,
294979.599,1781477687.338,hb,,
295039.668,1781477747.403,hb,,
295099.737,1781477807.469,hb,,
295159.806,1781477867.534,hb,,
295219.873,1781477927.597,hb,,
295279.941,1781477987.661,hb,,
295340.008,1781478047.725,hb,,
295400.077,1781478107.790,hb,,
295460.144,1781478167.854,hb,,
295520.214,1781478227.919,hb,,
295580.281,1781478287.983,hb,,
295640.346,1781478348.044,hb,,
295700.415,1781478408.110,hb,,
295760.485,1781478468.176,hb,,
295820.554,1781478528.241,hb,,
295880.624,1781478588.308,hb,,
295940.693,1781478648.373,hb,,
296000.762,1781478708.439,hb,,
