raw_s,wall_s,kind,wall_elapsed_ms,raw_elapsed_ms
400677.527,1781583378.774,hb,,
400737.599,1781583438.837,hb,,
400797.671,1781583498.903,hb,,
400857.680,1781583558.966,hb,,
400917.728,1781583619.032,hb,,
400977.783,1781583679.098,hb,,
401037.928,1781583739.159,hb,,
401098.022,1781583799.222,hb,,
401158.113,1781583859.286,hb,,
401218.182,1781583919.348,hb,,
401278.247,1781583979.411,hb,,
401338.325,1781584039.476,hb,,
401398.408,1781584099.540,hb,,
401458.474,1781584159.609,hb,,
401518.494,1781584219.681,hb,,
401578.545,1781584279.748,hb,,
401638.608,1781584339.813,hb,,
401698.673,1781584399.875,hb,,
401758.748,1781584459.939,hb,,
401818.821,1781584520.003,hb,,
401878.891,1781584580.065,hb,,
401938.964,1781584640.130,hb,,
401999.035,1781584700.192,hb,,
402059.107,1781584760.256,hb,,
402119.179,1781584820.322,hb,,
402179.253,1781584880.387,hb,,
402239.307,1781584940.453,hb,,
402299.343,1781585000.519,hb,,
402359.391,1781585060.585,hb,,
402419.446,1781585120.650,hb,,
402479.506,1781585180.715,hb,,
402539.567,1781585240.780,hb,,
402599.629,1781585300.843,hb,,
402659.692,1781585360.907,hb,,
402719.756,1781585420.970,hb,,
402779.847,1781585481.033,hb,,
402839.934,1781585541.096,hb,,
402900.015,1781585601.160,hb,,
402960.092,1781585661.224,hb,,
403020.167,1781585721.290,hb,,
403080.240,1781585781.354,hb,,
403140.309,1781585841.416,hb,,
403200.382,1781585901.481,hb,,
403260.452,1781585961.546,hb,,
403320.521,1781586021.610,hb,,
403380.590,1781586081.675,hb,,
403440.658,1781586141.739,hb,,
403500.730,1781586201.806,hb,,
403560.800,1781586261.871,hb,,
403620.871,1781586321.937,hb,,
403680.942,1781586382.002,hb,,
403741.011,1781586442.066,hb,,
403801.082,1781586502.132,hb,,
403861.152,1781586562.196,hb,,
403921.223,1781586622.262,hb,,
403981.292,1781586682.325,hb,,
404041.362,1781586742.389,hb,,
404101.431,1781586802.454,hb,,
404161.503,1781586862.519,hb,,
404221.574,1781586922.585,hb,,
404281.642,1781586982.650,hb,,
404341.705,1781587042.712,hb,,
404401.768,1781587102.774,hb,,
404461.832,1781587162.837,hb,,
404521.896,1781587222.900,hb,,
404581.963,1781587282.964,hb,,
404642.029,1781587343.028,hb,,
404702.095,1781587403.092,hb,,
404762.162,1781587463.156,hb,,
404822.230,1781587523.220,hb,,
404882.297,1781587583.284,hb,,
404942.365,1781587643.349,hb,,
405002.434,1781587703.414,hb,,
405062.500,1781587763.477,hb,,
405122.568,1781587823.541,hb,,
405182.637,1781587883.606,hb,,
405242.707,1781587943.672,hb,,
405302.774,1781588003.734,hb,,
405362.842,1781588063.799,hb,,
405422.913,1781588123.865,hb,,
405482.982,1781588183.930,hb,,
405543.050,1781588243.993,hb,,
405603.117,1781588304.056,hb,,
405663.187,1781588364.121,hb,,
405723.255,1781588424.184,hb,,
405783.324,1781588484.249,hb,,
405843.393,1781588544.314,hb,,
405903.459,1781588604.375,hb,,
405963.528,1781588664.438,hb,,
406023.597,1781588724.502,hb,,
406083.666,1781588784.568,hb,,
406143.737,1781588844.634,hb,,
406203.808,1781588904.699,hb,,
406263.877,1781588964.763,hb,,
406323.949,1781589024.829,hb,,
406384.025,1781589084.893,hb,,
406444.101,1781589144.957,hb,,
406504.174,1781589205.019,hb,,
406564.249,1781589265.083,hb,,
406624.322,1781589325.147,hb,,
406684.397,1781589385.212,hb,,
406744.471,1781589445.276,hb,,
406804.544,1781589505.341,hb,,
406864.618,1781589565.406,hb,,
406924.691,1781589625.471,hb,,
406984.762,1781589685.534,hb,,
407044.831,1781589745.596,hb,,
407104.905,1781589805.662,hb,,
407164.976,1781589865.726,hb,,
407225.045,1781589925.788,hb,,
407285.119,1781589985.855,hb,,
407345.190,1781590045.919,hb,,
407405.261,1781590105.984,hb,,
407465.333,1781590166.048,hb,,
407525.404,1781590226.113,hb,,
407585.474,1781590286.177,hb,,
407645.545,1781590346.241,hb,,
407705.615,1781590406.305,hb,,
407765.685,1781590466.368,hb,,
407825.755,1781590526.432,hb,,
407885.824,1781590586.495,hb,,
407945.897,1781590646.562,hb,,
408005.966,1781590706.625,hb,,
408066.038,1781590766.691,hb,,
408126.108,1781590826.755,hb,,
408186.178,1781590886.819,hb,,
408246.247,1781590946.882,hb,,
408306.317,1781591006.946,hb,,
408366.388,1781591067.010,hb,,
408426.457,1781591127.074,hb,,
408486.530,1781591187.140,hb,,
408546.600,1781591247.205,hb,,
408606.672,1781591307.270,hb,,
408666.743,1781591367.336,hb,,
408726.813,1781591427.400,hb,,
408786.884,1781591487.465,hb,,
408846.954,1781591547.529,hb,,
408907.025,1781591607.594,hb,,
408967.095,1781591667.658,hb,,
409027.165,1781591727.723,hb,,
409087.235,1781591787.786,hb,,
409147.306,1781591847.851,hb,,
409207.377,1781591907.917,hb,,
409267.447,1781591967.981,hb,,
409327.518,1781592028.046,hb,,
409387.588,1781592088.110,hb,,
409447.658,1781592148.174,hb,,
409507.728,1781592208.238,hb,,
409567.798,1781592268.303,hb,,
