raw_s,wall_s,offset_ms,delay_ms,err
391610.433,1781574312.234,-0.031,0.341,
391611.435,1781574313.235,-0.915,39.070,
391612.434,1781574314.235,20.490,59.680,
391613.435,1781574315.235,-24.166,110.716,
391614.435,1781574316.235,-3.196,79.486,
391615.435,1781574317.235,-14.540,62.532,
391616.434,1781574318.235,-4.806,150.667,
391617.434,1781574319.234,-21.796,105.201,
391618.435,1781574320.235,-16.487,95.472,
391619.435,1781574321.235,8.542,135.257,
391620.435,1781574322.235,4.083,142.674,
391621.435,1781574323.235,-2.497,112.732,
391622.434,1781574324.234,-11.482,55.629,
391623.435,1781574325.235,35.536,79.910,
391624.435,1781574326.235,-8.353,119.906,
391625.434,1781574327.234,-12.674,48.070,
391626.435,1781574328.235,-14.055,56.009,
391627.435,1781574329.235,-2.271,34.491,
391628.435,1781574330.235,-23.674,61.095,
391629.436,1781574331.235,30.829,96.523,
391630.436,1781574332.235,-33.857,75.591,
391631.436,1781574333.235,-6.782,117.053,
391632.436,1781574334.235,-27.116,87.581,
391633.436,1781574335.235,17.946,91.762,
391634.435,1781574336.234,29.059,101.401,
391635.436,1781574337.235,6.708,68.751,
391636.436,1781574338.235,-9.693,110.796,
391637.436,1781574339.235,-0.971,76.715,
391638.436,1781574340.235,-23.575,101.969,
391639.436,1781574341.235,-4.694,68.897,
391640.436,1781574342.235,36.346,83.086,
391641.436,1781574343.235,10.012,53.090,
391642.436,1781574344.235,31.103,93.015,
391643.436,1781574345.235,31.291,72.416,
391644.436,1781574346.235,-17.761,37.631,
391645.437,1781574347.235,6.124,51.098,
391646.437,1781574348.235,3.781,144.548,
391647.437,1781574349.235,38.808,80.706,
391648.437,1781574350.235,16.416,104.363,
391649.437,1781574351.235,0.912,42.875,
391650.437,1781574352.235,-4.576,46.241,
391651.437,1781574353.235,8.887,129.978,
391652.437,1781574354.235,9.633,80.956,
391653.437,1781574355.235,13.894,58.893,
391654.437,1781574356.235,-0.731,72.795,
391655.437,1781574357.235,-6.290,144.418,
391656.437,1781574358.235,17.897,38.314,
391657.437,1781574359.235,12.036,78.666,
391658.437,1781574360.235,-6.930,70.108,
391659.437,1781574361.235,-19.234,76.948,
391660.437,1781574362.235,-36.905,75.135,
391661.437,1781574363.235,7.014,51.204,
391662.437,1781574364.234,-2.075,106.251,
391663.438,1781574365.235,8.950,103.950,
391664.438,1781574366.235,1.895,17.430,
391665.438,1781574367.235,-21.827,68.442,
