raw_s,wall_s,kind,jump_ms
391670.454,1781574372.251,hb,
391730.499,1781574432.269,hb,
391790.535,1781574492.294,hb,
391850.546,1781574552.324,hb,
391910.569,1781574612.354,hb,
391970.596,1781574672.382,hb,
392030.628,1781574732.412,hb,
392090.658,1781574792.440,hb,
392150.688,1781574852.466,hb,
392210.720,1781574912.495,hb,
392270.752,1781574972.524,hb,
392330.785,1781575032.553,hb,
392390.816,1781575092.580,hb,
392450.848,1781575152.609,hb,
392510.880,1781575212.638,hb,
392570.910,1781575272.663,hb,
392630.936,1781575332.679,hb,
392690.969,1781575392.703,hb,
392751.004,1781575452.730,hb,
392811.039,1781575512.757,hb,
392871.071,1781575572.784,hb,
392931.108,1781575632.814,hb,
392991.139,1781575692.839,hb,
393051.170,1781575752.865,hb,
393111.204,1781575812.893,hb,
393171.234,1781575872.918,hb,
393231.266,1781575932.945,hb,
393291.294,1781575992.968,hb,
393351.327,1781576052.996,hb,
393411.356,1781576113.021,hb,
393471.388,1781576173.048,hb,
393531.419,1781576233.075,hb,
393591.449,1781576293.100,hb,
393651.479,1781576353.127,hb,
393711.509,1781576413.153,hb,
393771.542,1781576473.182,hb,
393831.571,1781576533.208,hb,
393891.604,1781576593.237,hb,
393951.634,1781576653.263,hb,
394011.668,1781576713.293,hb,
394071.700,1781576773.321,hb,
394131.730,1781576833.347,hb,
394191.759,1781576893.372,hb,
394251.790,1781576953.399,hb,
394311.821,1781577013.426,hb,
394371.849,1781577073.450,hb,
394431.879,1781577133.475,hb,
394491.907,1781577193.500,hb,
394551.938,1781577253.526,hb,
394611.969,1781577313.553,hb,
394672.000,1781577373.580,hb,
394732.035,1781577433.610,hb,
394792.064,1781577493.636,hb,
394852.094,1781577553.661,hb,
394912.120,1781577613.683,hb,
394972.150,1781577673.708,hb,
395032.179,1781577733.733,hb,
395092.210,1781577793.760,hb,
395152.238,1781577853.784,hb,
395212.267,1781577913.808,hb,
395272.295,1781577973.833,hb,
395332.325,1781578033.858,hb,
395392.353,1781578093.882,hb,
395452.382,1781578153.907,hb,
395512.412,1781578213.932,hb,
395572.440,1781578273.956,hb,
395632.468,1781578333.980,hb,
395692.496,1781578394.004,hb,
395752.525,1781578454.028,hb,
395812.554,1781578514.053,hb,
395872.584,1781578574.079,hb,
395932.615,1781578634.105,hb,
395992.643,1781578694.129,hb,
396052.673,1781578754.155,hb,
396112.698,1781578814.175,hb,
396172.719,1781578874.192,hb,
396232.745,1781578934.214,hb,
396292.769,1781578994.234,hb,
396352.800,1781579054.260,hb,
396412.829,1781579114.284,hb,
396472.857,1781579174.308,hb,
396532.890,1781579234.337,hb,
396592.921,1781579294.364,hb,
396652.950,1781579354.389,hb,
396712.978,1781579414.412,hb,
396773.009,1781579474.439,hb,
396833.038,1781579534.464,hb,
396893.068,1781579594.489,hb,
396953.101,1781579654.518,hb,
397013.128,1781579714.541,hb,
397073.161,1781579774.569,hb,
397133.189,1781579834.593,hb,
397193.217,1781579894.617,hb,
397253.251,1781579954.647,hb,
397313.283,1781580014.674,hb,
397373.313,1781580074.700,hb,
397433.343,1781580134.725,hb,
397493.373,1781580194.751,hb,
397553.404,1781580254.778,hb,
397613.434,1781580314.804,hb,
397673.465,1781580374.830,hb,
397733.493,1781580434.863,hb,
397793.517,1781580494.894,hb,
397853.539,1781580554.922,hb,
397913.564,1781580614.951,hb,
397973.592,1781580674.983,hb,
398033.619,1781580735.014,hb,
398093.643,1781580795.040,hb,
398153.670,1781580855.069,hb,
398213.696,1781580915.097,hb,
398273.722,1781580975.123,hb,
398333.750,1781581035.152,hb,
398393.777,1781581095.180,hb,
398453.809,1781581155.211,hb,
398513.836,1781581215.238,hb,
398573.866,1781581275.268,hb,
398633.896,1781581335.297,hb,
398693.926,1781581395.326,hb,
398753.957,1781581455.356,hb,
398813.987,1781581515.384,hb,
398874.015,1781581575.410,hb,
398934.044,1781581635.439,hb,
398994.071,1781581695.464,hb,
399054.102,1781581755.492,hb,
399114.131,1781581815.520,hb,
399174.162,1781581875.549,hb,
399234.191,1781581935.576,hb,
399294.222,1781581995.605,hb,
399354.252,1781582055.633,hb,
399414.282,1781582115.660,hb,
399474.312,1781582175.688,hb,
399534.339,1781582235.713,hb,
399594.368,1781582295.739,hb,
399654.397,1781582355.766,hb,
399714.427,1781582415.794,hb,
399774.457,1781582475.815,hb,
399834.494,1781582535.840,hb,
399894.525,1781582595.862,hb,
399954.559,1781582655.885,hb,
400014.592,1781582715.909,hb,
400074.625,1781582775.934,hb,
400134.660,1781582835.960,hb,
400194.694,1781582895.988,hb,
400254.729,1781582956.015,hb,
400314.764,1781583016.043,hb,
400374.796,1781583076.069,hb,
400434.830,1781583136.097,hb,
400494.862,1781583196.124,hb,
400554.896,1781583256.152,hb,
