raw_s,wall_s,offset_ms,delay_ms,err
276239.018,1781458947.858,2.749,0.288,
276240.019,1781458948.860,2.555,0.252,
276241.019,1781458949.859,2.421,0.211,
276242.019,1781458950.860,2.302,0.223,
276243.018,1781458951.860,2.112,0.280,
276244.018,1781458952.860,1.962,0.301,
276245.018,1781458953.859,1.845,0.289,
276246.018,1781458954.860,1.719,0.292,
276247.018,1781458955.860,1.609,0.283,
276248.018,1781458956.860,1.499,0.285,
276249.018,1781458957.860,1.427,0.304,
276250.018,1781458958.859,1.298,0.283,
276251.018,1781458959.860,1.219,0.300,
276252.018,1781458960.859,1.159,0.272,
276253.018,1781458961.860,1.065,0.290,
276254.018,1781458962.860,0.992,0.291,
276255.018,1781458963.859,0.950,0.305,
276256.018,1781458964.859,0.857,0.281,
276257.018,1781458965.859,0.788,0.334,
276258.018,1781458966.859,0.727,0.332,
276259.018,1781458967.860,0.682,0.297,
276260.018,1781458968.860,0.624,0.326,
276261.018,1781458969.859,0.585,0.294,
276262.018,1781458970.859,0.530,0.347,
276263.018,1781458971.860,0.508,0.290,
276264.018,1781458972.860,0.470,0.288,
276265.018,1781458973.859,0.442,0.345,
276266.018,1781458974.860,0.410,0.262,
276267.018,1781458975.859,0.372,0.126,
276268.018,1781458976.860,0.343,0.324,
276269.018,1781458977.860,0.271,0.240,
276270.018,1781458978.860,0.277,0.300,
276271.018,1781458979.860,0.260,0.297,
276272.018,1781458980.859,0.240,0.278,
276273.018,1781458981.859,0.243,0.260,
276274.019,1781458982.860,0.200,0.263,
276275.019,1781458983.860,0.195,0.235,
276276.018,1781458984.859,0.162,0.260,
276277.019,1781458985.859,0.128,0.264,
276278.019,1781458986.859,0.101,0.289,
276279.019,1781458987.860,0.110,0.283,
276280.019,1781458988.859,0.092,0.250,
276281.019,1781458989.860,0.067,0.300,
276282.019,1781458990.859,0.074,0.257,
276283.019,1781458991.860,0.044,0.287,
276284.019,1781458992.859,0.034,0.293,
276285.019,1781458993.860,0.019,0.285,
276286.019,1781458994.860,0.043,0.294,
276287.019,1781458995.859,0.018,0.332,
276288.019,1781458996.859,-0.021,0.345,
276289.019,1781458997.859,0.004,0.341,
276290.019,1781458998.860,-0.017,0.332,
276291.019,1781458999.859,-0.038,0.310,
276292.019,1781459000.860,-0.023,0.276,
276293.019,1781459001.859,-0.046,0.303,
276294.019,1781459002.859,-0.046,0.305,
276295.019,1781459003.859,-0.061,0.293,
276296.019,1781459004.859,-0.048,0.347,
276297.020,1781459005.859,-0.090,0.315,
276298.020,1781459006.859,-0.069,0.335,
276299.020,1781459007.859,-0.073,0.277,
276300.020,1781459008.859,-0.087,0.328,
276301.020,1781459009.859,-0.094,0.215,
276302.020,1781459010.859,-0.076,0.295,
276303.020,1781459011.859,-0.106,0.301,
276304.020,1781459012.859,-0.073,0.308,
276305.020,1781459013.859,-0.067,0.330,
276306.020,1781459014.859,-0.059,0.329,
276307.020,1781459015.859,-0.067,0.326,
276308.020,1781459016.859,-0.093,0.325,
276309.020,1781459017.859,-0.101,0.327,
276310.020,1781459018.859,-0.076,0.300,
276311.020,1781459019.859,-0.075,0.290,
276312.020,1781459020.859,-0.091,0.261,
276313.021,1781459021.860,-0.076,0.296,
276314.021,1781459022.859,-0.099,0.332,
276315.021,1781459023.859,-0.085,0.278,
276316.021,1781459024.859,-0.080,0.299,
276317.021,1781459025.859,-0.095,0.314,
276318.021,1781459026.859,-0.079,0.294,
276319.021,1781459027.859,-0.085,0.291,
276320.021,1781459028.859,-0.083,0.291,
276321.021,1781459029.859,-0.079,0.336,
276322.021,1781459030.859,-0.068,0.335,
276323.021,1781459031.859,-0.092,0.305,
276324.021,1781459032.859,-0.081,0.292,
276325.021,1781459033.859,-0.081,0.341,
276326.021,1781459034.859,-0.090,0.312,
276327.021,1781459035.859,-0.082,0.293,
276328.021,1781459036.859,-0.084,0.286,
276329.021,1781459037.859,-0.087,0.284,
276330.022,1781459038.859,-0.072,0.349,
276331.022,1781459039.859,-0.093,0.294,
276332.022,1781459040.859,-0.056,0.269,
276333.022,1781459041.859,-0.087,0.264,
276334.022,1781459042.859,-0.060,0.265,
276335.022,1781459043.860,-0.095,0.282,
276336.022,1781459044.859,-0.091,0.305,
276337.022,1781459045.859,-0.096,0.303,
276338.022,1781459046.860,-0.099,0.306,
276339.022,1781459047.860,-0.095,0.296,
276340.022,1781459048.860,-0.098,0.284,
276341.022,1781459049.859,-0.098,0.290,
276342.022,1781459050.859,-0.095,0.291,
276343.022,1781459051.859,-0.102,0.310,
276344.022,1781459052.859,-0.098,0.289,
276345.022,1781459053.859,-0.081,0.256,
276346.023,1781459054.859,-0.100,0.290,
276347.023,1781459055.860,-0.106,0.296,
276348.023,1781459056.859,-0.100,0.320,
276349.023,1781459057.860,-0.100,0.297,
276350.023,1781459058.859,-0.125,0.340,
276351.023,1781459059.859,-0.089,0.207,
276352.023,1781459060.859,-0.113,0.240,
276353.023,1781459061.859,-0.105,0.298,
276354.023,1781459062.859,-0.105,0.292,
276355.023,1781459063.859,-0.113,0.293,
276356.023,1781459064.859,-0.085,0.234,
276357.023,1781459065.859,-0.107,0.292,
276358.023,1781459066.859,-0.100,0.319,
276359.023,1781459067.859,-0.115,0.294,
276360.023,1781459068.859,-0.106,0.262,
276361.023,1781459069.859,-0.117,0.294,
276362.023,1781459070.859,-0.118,0.298,
276363.024,1781459071.859,-0.117,0.297,
276364.024,1781459072.859,-0.121,0.286,
276365.024,1781459073.859,-0.123,0.282,
276366.024,1781459074.860,-0.118,0.292,
276367.024,1781459075.859,-0.118,0.305,
276368.024,1781459076.860,-0.125,0.290,
276369.024,1781459077.859,-0.127,0.296,
276370.024,1781459078.859,-0.121,0.287,
276371.024,1781459079.859,-0.126,0.290,
276372.024,1781459080.860,-0.116,0.338,
276373.024,1781459081.859,-0.130,0.301,
276374.024,1781459082.860,-0.126,0.288,
276375.024,1781459083.859,-0.125,0.299,
276376.024,1781459084.859,-0.134,0.295,
276377.024,1781459085.859,-0.128,0.251,
276378.024,1781459086.859,-0.143,0.338,
276379.024,1781459087.859,-0.142,0.294,
