raw_s,wall_s,kind,wall_elapsed_ms,raw_elapsed_ms
276299.078,1781459007.917,hb,,
276359.146,1781459067.982,hb,,
276419.215,1781459128.047,hb,,
276479.284,1781459188.112,hb,,
276539.353,1781459248.178,hb,,
276599.419,1781459308.241,hb,,
276659.488,1781459368.306,hb,,
276719.554,1781459428.369,hb,,
276779.621,1781459488.432,hb,,
276839.689,1781459548.496,hb,,
276899.756,1781459608.559,hb,,
276959.825,1781459668.624,hb,,
277019.893,1781459728.689,hb,,
277079.959,1781459788.751,hb,,
277140.028,1781459848.816,hb,,
277200.096,1781459908.881,hb,,
277260.162,1781459968.942,hb,,
277320.229,1781460029.007,hb,,
277380.298,1781460089.071,hb,,
277440.367,1781460149.137,hb,,
277500.437,1781460209.203,hb,,
277560.504,1781460269.266,hb,,
277620.572,1781460329.331,hb,,
277680.642,1781460389.397,hb,,
277740.711,1781460449.462,hb,,
277800.779,1781460509.527,hb,,
277860.847,1781460569.591,hb,,
277920.916,1781460629.656,hb,,
277980.985,1781460689.722,hb,,
278041.053,1781460749.786,hb,,
278101.122,1781460809.852,hb,,
278161.191,1781460869.917,hb,,
278221.260,1781460929.982,hb,,
278281.329,1781460990.047,hb,,
278341.397,1781461050.112,hb,,
278401.465,1781461110.176,hb,,
278461.534,1781461170.241,hb,,
278521.602,1781461230.305,hb,,
278581.669,1781461290.369,hb,,
278641.737,1781461350.433,hb,,
278701.806,1781461410.498,hb,,
278761.874,1781461470.563,hb,,
278821.942,1781461530.627,hb,,
278882.011,1781461590.693,hb,,
278942.077,1781461650.755,hb,,
279002.146,1781461710.821,hb,,
279062.214,1781461770.885,hb,,
279122.283,1781461830.950,hb,,
279182.350,1781461891.014,hb,,
279242.419,1781461951.079,hb,,
279302.488,1781462011.144,hb,,
279362.556,1781462071.208,hb,,
279422.624,1781462131.273,hb,,
279482.694,1781462191.339,hb,,
279542.763,1781462251.404,hb,,
279602.831,1781462311.469,hb,,
279662.901,1781462371.535,hb,,
279722.970,1781462431.600,hb,,
279783.040,1781462491.666,hb,,
279843.108,1781462551.731,hb,,
279903.179,1781462611.798,hb,,
279963.246,1781462671.862,hb,,
280023.315,1781462731.927,hb,,
280083.383,1781462791.991,hb,,
280143.452,1781462852.057,hb,,
280203.521,1781462912.122,hb,,
280263.589,1781462972.187,hb,,
280323.657,1781463032.251,hb,,
280383.727,1781463092.317,hb,,
280443.794,1781463152.380,hb,,
280503.863,1781463212.446,hb,,
280563.931,1781463272.510,hb,,
280624.001,1781463332.576,hb,,
280684.070,1781463392.642,hb,,
280744.137,1781463452.705,hb,,
280804.205,1781463512.769,hb,,
280864.273,1781463572.834,hb,,
280924.339,1781463632.896,hb,,
280984.408,1781463692.962,hb,,
281044.477,1781463753.027,hb,,
281104.545,1781463813.092,hb,,
281164.614,1781463873.157,hb,,
281224.681,1781463933.220,hb,,
281284.749,1781463993.284,hb,,
281344.818,1781464053.350,hb,,
281404.887,1781464113.415,hb,,
281464.957,1781464173.481,hb,,
281525.025,1781464233.546,hb,,
281585.094,1781464293.611,hb,,
