raw_s,wall_s,kind,jump_ms
276299.038,1781459007.878,hb,
276359.064,1781459067.900,hb,
276419.095,1781459127.928,hb,
276479.123,1781459187.952,hb,
276539.151,1781459247.976,hb,
276599.177,1781459307.999,hb,
276659.206,1781459368.024,hb,
276719.229,1781459428.043,hb,
276779.250,1781459488.060,hb,
276839.272,1781459548.079,hb,
276899.297,1781459608.100,hb,
276959.318,1781459668.118,hb,
277019.340,1781459728.135,hb,
277079.361,1781459788.153,hb,
277139.382,1781459848.170,hb,
277199.407,1781459908.191,hb,
277259.421,1781459968.202,hb,
277319.439,1781460028.217,hb,
277379.459,1781460088.233,hb,
277439.487,1781460148.257,hb,
277499.516,1781460208.282,hb,
277559.543,1781460268.306,hb,
277619.570,1781460328.329,hb,
277679.598,1781460388.353,hb,
277739.628,1781460448.379,hb,
277799.659,1781460508.407,hb,
277859.688,1781460568.432,hb,
277919.719,1781460628.459,hb,
277979.751,1781460688.488,hb,
278039.780,1781460748.513,hb,
278099.808,1781460808.538,hb,
278159.839,1781460868.565,hb,
278219.866,1781460928.588,hb,
278279.897,1781460988.616,hb,
278339.928,1781461048.643,hb,
278399.958,1781461108.669,hb,
278459.985,1781461168.693,hb,
278520.015,1781461228.719,hb,
278580.044,1781461288.744,hb,
278640.071,1781461348.768,hb,
278700.099,1781461408.792,hb,
278760.125,1781461468.814,hb,
278820.149,1781461528.834,hb,
278880.175,1781461588.857,hb,
278940.205,1781461648.883,hb,
279000.232,1781461708.907,hb,
279060.258,1781461768.929,hb,
279120.285,1781461828.952,hb,
279180.312,1781461888.976,hb,
279240.342,1781461949.002,hb,
279300.371,1781462009.027,hb,
279360.400,1781462069.053,hb,
279420.427,1781462129.076,hb,
279480.453,1781462189.099,hb,
279540.485,1781462249.126,hb,
279600.512,1781462309.150,hb,
279660.541,1781462369.175,hb,
279720.570,1781462429.200,hb,
279780.595,1781462489.222,hb,
279840.625,1781462549.248,hb,
279900.655,1781462609.274,hb,
279960.686,1781462669.302,hb,
280020.715,1781462729.328,hb,
280080.745,1781462789.353,hb,
280140.775,1781462849.380,hb,
280200.808,1781462909.409,hb,
280260.834,1781462969.432,hb,
280320.861,1781463029.455,hb,
280380.891,1781463089.481,hb,
280440.921,1781463149.508,hb,
280500.949,1781463209.532,hb,
280560.977,1781463269.556,hb,
280621.005,1781463329.581,hb,
280681.033,1781463389.605,hb,
280741.062,1781463449.630,hb,
280801.092,1781463509.657,hb,
280861.120,1781463569.681,hb,
280921.137,1781463629.694,hb,
280981.164,1781463689.717,hb,
281041.192,1781463749.742,hb,
281101.220,1781463809.767,hb,
281161.250,1781463869.793,hb,
281221.279,1781463929.818,hb,
281281.307,1781463989.843,hb,
281341.334,1781464049.866,hb,
281401.363,1781464109.891,hb,
281461.391,1781464169.915,hb,
281521.420,1781464229.941,hb,
281581.450,1781464289.968,hb,
