raw_s,wall_s,offset_ms,delay_ms,err
328487.325,1781511192.999,-21.207,0.320,
328488.326,1781511193.999,8.547,255.994,
328489.329,1781511195.000,-59.009,296.484,
328490.330,1781511196.000,59.794,189.311,
328491.332,1781511197.000,-17.783,393.585,
328492.333,1781511198.000,43.302,224.273,
328493.334,1781511199.000,58.459,220.540,
328494.335,1781511200.000,-50.617,203.032,
328495.337,1781511201.000,31.277,108.711,
328496.338,1781511202.000,-11.819,130.396,
328497.339,1781511203.000,-36.733,208.595,
328498.340,1781511204.000,-34.635,225.891,
328499.341,1781511205.000,3.654,359.227,
328500.341,1781511206.000,-23.990,210.271,
328501.343,1781511207.000,30.939,93.093,
328502.344,1781511208.000,-52.037,208.499,
328503.344,1781511209.000,-51.027,193.502,
328504.345,1781511210.000,-57.289,136.847,
328505.346,1781511211.000,3.446,25.091,
328506.347,1781511212.001,-30.803,210.382,
328507.347,1781511213.000,52.524,220.308,
328508.348,1781511214.000,29.374,320.779,
328509.348,1781511215.000,-8.236,42.181,
328510.349,1781511216.000,-21.774,170.190,
328511.350,1781511217.000,48.448,123.102,
328512.350,1781511218.000,-62.656,246.031,
328513.351,1781511219.000,-53.738,251.407,
328514.351,1781511220.000,-56.634,242.905,
328515.352,1781511221.000,53.775,176.488,
328516.352,1781511222.000,-32.569,173.847,
328517.353,1781511223.000,-10.044,180.547,
328518.353,1781511224.000,-36.381,148.260,
328519.354,1781511225.000,12.980,21.094,
328520.354,1781511226.000,-43.155,216.274,
328521.355,1781511227.000,-38.317,157.423,
328522.355,1781511228.000,20.497,89.144,
328523.356,1781511229.001,-86.124,209.161,
328524.356,1781511230.000,-47.978,203.396,
328525.356,1781511231.000,10.334,250.335,
328526.357,1781511232.000,58.856,120.843,
328527.357,1781511233.000,36.394,213.012,
328528.358,1781511234.000,-23.910,67.608,
328529.358,1781511235.000,10.186,149.712,
328530.358,1781511236.000,28.021,361.215,
328531.358,1781511237.000,78.141,197.661,
328532.359,1781511238.000,59.261,135.235,
328533.360,1781511239.000,64.428,130.349,
328534.360,1781511240.000,25.544,157.222,
328535.360,1781511241.000,32.055,93.091,
328536.361,1781511242.000,-36.808,118.094,
328537.361,1781511243.000,16.629,287.064,
328538.361,1781511244.000,-20.468,242.383,
328539.361,1781511245.000,7.004,314.298,
328540.362,1781511246.000,-38.037,159.691,
328541.362,1781511247.000,14.619,252.038,
328542.362,1781511248.000,20.567,112.231,
328543.363,1781511249.000,18.122,311.641,
328544.363,1781511250.000,60.358,187.160,
328545.363,1781511251.000,57.335,294.985,
328546.364,1781511252.000,82.335,238.582,
328547.364,1781511253.000,46.024,127.270,
328548.364,1781511254.000,89.954,152.007,
328549.365,1781511255.000,39.357,320.056,
328550.365,1781511256.000,5.830,61.240,
328551.366,1781511257.000,-49.670,232.538,
328552.366,1781511258.000,-0.732,355.839,
328553.366,1781511259.000,73.977,116.839,
328554.367,1781511260.000,62.627,104.282,
328555.367,1781511261.000,59.780,209.011,
328556.368,1781511262.000,88.552,164.268,
328557.368,1781511263.000,-36.859,116.815,
328558.368,1781511264.000,38.406,70.752,
328559.369,1781511265.000,60.019,127.519,
328560.369,1781511266.000,80.130,247.154,
328561.370,1781511267.000,16.078,110.428,
328562.370,1781511268.000,64.803,280.934,
328563.370,1781511269.000,35.153,104.427,
328564.371,1781511270.000,21.678,364.711,
328565.371,1781511271.000,62.660,214.014,
328566.372,1781511272.000,-57.159,197.835,
328567.372,1781511273.000,97.717,203.571,
328568.372,1781511274.000,46.001,336.443,
328569.373,1781511275.000,92.620,255.512,
328570.373,1781511276.000,6.973,84.181,
328571.374,1781511277.000,-4.089,200.795,
328572.374,1781511278.000,5.304,209.578,
328573.374,1781511279.000,95.109,246.639,
328574.374,1781511280.000,80.806,140.039,
328575.375,1781511281.000,-15.505,152.588,
328576.375,1781511282.000,40.021,236.378,
328577.376,1781511283.000,89.092,256.049,
328578.376,1781511284.000,45.919,351.966,
328579.376,1781511285.000,15.262,103.129,
328580.377,1781511286.000,99.292,240.500,
328581.377,1781511287.000,65.385,307.511,
328582.377,1781511288.000,-23.986,224.920,
328583.378,1781511289.000,7.108,210.314,
328584.378,1781511290.000,3.973,212.502,
328585.378,1781511291.000,68.642,87.828,
328586.379,1781511292.000,15.638,204.050,
328587.379,1781511293.000,69.037,86.143,
328588.379,1781511294.000,0.172,204.423,
328589.380,1781511295.000,36.939,104.692,
328590.380,1781511296.000,-57.001,196.701,
328591.380,1781511297.000,48.645,312.083,
328592.381,1781511298.000,3.944,351.701,
328593.381,1781511299.000,-14.208,262.162,
328594.381,1781511300.000,-6.634,98.437,
328595.382,1781511301.000,105.945,214.143,
328596.382,1781511302.000,0.299,286.976,
328597.382,1781511303.000,-5.901,318.744,
328598.383,1781511304.000,23.644,254.371,
328599.383,1781511305.000,-24.586,227.383,
