raw_s,wall_s,kind,wall_elapsed_ms,raw_elapsed_ms
319540.361,1781502246.558,hb,,
319600.404,1781502306.625,hb,,
319660.465,1781502366.690,hb,,
319720.539,1781502426.755,hb,,
319780.609,1781502486.820,hb,,
319840.677,1781502546.885,hb,,
319900.743,1781502606.950,hb,,
319960.822,1781502667.014,hb,,
320020.898,1781502727.077,hb,,
320080.970,1781502787.142,hb,,
320141.040,1781502847.206,hb,,
320201.109,1781502907.267,hb,,
320261.182,1781502967.332,hb,,
320321.253,1781503027.396,hb,,
320381.322,1781503087.459,hb,,
320441.389,1781503147.522,hb,,
320501.449,1781503207.588,hb,,
320561.513,1781503267.652,hb,,
320621.579,1781503327.716,hb,,
320681.646,1781503387.781,hb,,
320741.702,1781503447.844,hb,,
320801.758,1781503507.904,hb,,
320861.820,1781503567.965,hb,,
320921.882,1781503628.028,hb,,
320981.946,1781503688.091,hb,,
321042.010,1781503748.153,hb,,
321102.071,1781503808.213,hb,,
321162.144,1781503868.276,hb,,
321222.221,1781503928.341,hb,,
321282.298,1781503988.404,hb,,
321342.391,1781504048.468,hb,,
321402.471,1781504108.532,hb,,
321462.548,1781504168.596,hb,,
321522.625,1781504228.662,hb,,
321582.698,1781504288.726,hb,,
321642.772,1781504348.790,hb,,
321702.846,1781504408.855,hb,,
321762.921,1781504468.920,hb,,
321822.965,1781504528.984,hb,,
321883.016,1781504589.050,hb,,
321943.080,1781504649.118,hb,,
322003.143,1781504709.181,hb,,
322063.206,1781504769.245,hb,,
322123.267,1781504829.307,hb,,
322183.331,1781504889.371,hb,,
322243.394,1781504949.433,hb,,
322303.459,1781505009.497,hb,,
322363.522,1781505069.563,hb,,
322423.585,1781505129.627,hb,,
322483.648,1781505189.689,hb,,
322543.714,1781505249.754,hb,,
322603.793,1781505309.818,hb,,
322663.869,1781505369.884,hb,,
322723.938,1781505429.947,hb,,
322784.004,1781505490.009,hb,,
322844.075,1781505550.076,hb,,
322904.142,1781505610.139,hb,,
322964.209,1781505670.203,hb,,
323024.279,1781505730.268,hb,,
323084.347,1781505790.333,hb,,
323144.416,1781505850.398,hb,,
323204.484,1781505910.462,hb,,
323264.553,1781505970.528,hb,,
323324.622,1781506030.592,hb,,
323384.701,1781506090.656,hb,,
323444.774,1781506150.719,hb,,
323504.845,1781506210.783,hb,,
323564.915,1781506270.847,hb,,
323624.984,1781506330.910,hb,,
323685.056,1781506390.976,hb,,
323745.127,1781506451.041,hb,,
323805.198,1781506511.107,hb,,
323865.267,1781506571.170,hb,,
323925.335,1781506631.233,hb,,
323985.395,1781506691.296,hb,,
324045.450,1781506751.359,hb,,
324105.510,1781506811.422,hb,,
324165.575,1781506871.485,hb,,
324225.640,1781506931.550,hb,,
324285.703,1781506991.614,hb,,
324345.767,1781507051.677,hb,,
324405.831,1781507111.740,hb,,
324465.897,1781507171.804,hb,,
324525.965,1781507231.868,hb,,
324586.034,1781507291.935,hb,,
324646.102,1781507352.000,hb,,
324706.166,1781507412.062,hb,,
324766.237,1781507472.129,hb,,
324826.304,1781507532.191,hb,,
324886.373,1781507592.257,hb,,
324946.442,1781507652.323,hb,,
325006.504,1781507712.386,hb,,
325066.564,1781507772.451,hb,,
325126.626,1781507832.514,hb,,
325186.689,1781507892.577,hb,,
325246.753,1781507952.637,hb,,
325306.839,1781508012.700,hb,,
325366.916,1781508072.765,hb,,
325426.988,1781508132.829,hb,,
325487.058,1781508192.893,hb,,
325547.123,1781508252.958,hb,,
325607.188,1781508313.022,hb,,
325667.255,1781508373.086,hb,,
325727.323,1781508433.150,hb,,
325787.390,1781508493.214,hb,,
325847.458,1781508553.279,hb,,
325907.527,1781508613.344,hb,,
325967.594,1781508673.408,hb,,
326027.660,1781508733.472,hb,,
326087.724,1781508793.537,hb,,
326147.788,1781508853.600,hb,,
326207.854,1781508913.664,hb,,
326267.923,1781508973.730,hb,,
326327.993,1781509033.797,hb,,
326388.061,1781509093.862,hb,,
326448.128,1781509153.926,hb,,
326508.194,1781509213.989,hb,,
326568.262,1781509274.054,hb,,
326628.329,1781509334.119,hb,,
326688.396,1781509394.182,hb,,
326748.463,1781509454.247,hb,,
326808.528,1781509514.310,hb,,
326868.594,1781509574.373,hb,,
326928.659,1781509634.434,hb,,
326988.723,1781509694.496,hb,,
327048.788,1781509754.558,hb,,
327108.852,1781509814.619,hb,,
327168.916,1781509874.680,hb,,
327228.985,1781509934.746,hb,,
327289.053,1781509994.812,hb,,
327349.139,1781510054.875,hb,,
327409.217,1781510114.940,hb,,
327469.290,1781510175.004,hb,,
327529.362,1781510235.069,hb,,
327589.438,1781510295.135,hb,,
327649.511,1781510355.199,hb,,
327709.583,1781510415.264,hb,,
327769.657,1781510475.330,hb,,
327829.717,1781510535.390,hb,,
327889.779,1781510595.455,hb,,
327949.845,1781510655.520,hb,,
328009.911,1781510715.582,hb,,
328069.972,1781510775.646,hb,,
328130.012,1781510835.709,hb,,
328190.068,1781510895.774,hb,,
328250.129,1781510955.839,hb,,
328310.190,1781511015.902,hb,,
328370.270,1781511075.967,hb,,
328430.343,1781511136.032,hb,,
