raw_s,wall_s,kind,jump_ms
319540.318,1781502246.515,hb,
319600.326,1781502306.547,hb,
319660.344,1781502366.569,hb,
319720.374,1781502426.591,hb,
319780.398,1781502486.609,hb,
319840.421,1781502546.630,hb,
319900.444,1781502606.651,hb,
319960.476,1781502666.669,hb,
320020.511,1781502726.690,hb,
320080.541,1781502786.712,hb,
320140.567,1781502846.732,hb,
320200.595,1781502906.753,hb,
320260.621,1781502966.771,hb,
320320.643,1781503026.786,hb,
320380.667,1781503086.804,hb,
320440.693,1781503146.826,hb,
320500.714,1781503206.853,hb,
320560.732,1781503266.871,hb,
320620.758,1781503326.896,hb,
320680.787,1781503386.921,hb,
320740.808,1781503446.950,hb,
320800.831,1781503506.977,hb,
320860.857,1781503567.003,hb,
320920.884,1781503627.030,hb,
320980.911,1781503687.056,hb,
321040.940,1781503747.083,hb,
321100.963,1781503807.105,hb,
321160.982,1781503867.114,hb,
321221.011,1781503927.130,hb,
321281.045,1781503987.152,hb,
321341.090,1781504047.168,hb,
321401.130,1781504107.191,hb,
321461.167,1781504167.216,hb,
321521.202,1781504227.240,hb,
321581.237,1781504287.265,hb,
321641.276,1781504347.294,hb,
321701.311,1781504407.320,hb,
321761.347,1781504467.346,hb,
321821.362,1781504527.380,hb,
321881.373,1781504587.407,hb,
321941.396,1781504647.434,hb,
322001.423,1781504707.460,hb,
322061.452,1781504767.490,hb,
322121.480,1781504827.520,hb,
322181.506,1781504887.546,hb,
322241.533,1781504947.571,hb,
322301.562,1781505007.599,hb,
322361.587,1781505067.628,hb,
322421.618,1781505127.659,hb,
322481.648,1781505187.689,hb,
322541.677,1781505247.717,hb,
322601.714,1781505307.740,hb,
322661.748,1781505367.764,hb,
322721.781,1781505427.790,hb,
322781.811,1781505487.816,hb,
322841.842,1781505547.843,hb,
322901.874,1781505607.871,hb,
322961.908,1781505667.901,hb,
323021.938,1781505727.928,hb,
323081.969,1781505787.955,hb,
323142.001,1781505847.983,hb,
323202.032,1781505908.011,hb,
323262.060,1781505968.036,hb,
323322.091,1781506028.062,hb,
323382.126,1781506088.081,hb,
323442.161,1781506148.106,hb,
323502.190,1781506208.129,hb,
323562.219,1781506268.151,hb,
323622.253,1781506328.179,hb,
323682.285,1781506388.206,hb,
323742.317,1781506448.232,hb,
323802.348,1781506508.257,hb,
323862.380,1781506568.283,hb,
323922.412,1781506628.310,hb,
323982.438,1781506688.338,hb,
324042.459,1781506748.368,hb,
324102.466,1781506808.378,hb,
324162.484,1781506868.394,hb,
324222.511,1781506928.420,hb,
324282.540,1781506988.451,hb,
324342.571,1781507048.481,hb,
324402.600,1781507108.509,hb,
324462.628,1781507168.535,hb,
324522.658,1781507228.562,hb,
324582.689,1781507288.590,hb,
324642.719,1781507348.618,hb,
324702.750,1781507408.647,hb,
324762.781,1781507468.673,hb,
324822.815,1781507528.702,hb,
324882.847,1781507588.731,hb,
324942.879,1781507648.760,hb,
325002.906,1781507708.788,hb,
325062.931,1781507768.818,hb,
325122.958,1781507828.847,hb,
325182.989,1781507888.877,hb,
325243.018,1781507948.905,hb,
325303.059,1781508008.921,hb,
325363.099,1781508068.948,hb,
325423.135,1781508128.976,hb,
325483.168,1781508189.003,hb,
325543.199,1781508249.034,hb,
325603.228,1781508309.061,hb,
325663.257,1781508369.088,hb,
325723.285,1781508429.112,hb,
325783.313,1781508489.137,hb,
325843.341,1781508549.162,hb,
325903.372,1781508609.190,hb,
325963.401,1781508669.216,hb,
326023.431,1781508729.243,hb,
326083.456,1781508789.270,hb,
326143.484,1781508849.296,hb,
326203.514,1781508909.324,hb,
326263.543,1781508969.350,hb,
326323.573,1781509029.377,hb,
326383.601,1781509089.402,hb,
326443.633,1781509149.432,hb,
326503.664,1781509209.460,hb,
326563.695,1781509269.488,hb,
326623.726,1781509329.516,hb,
326683.756,1781509389.543,hb,
326743.788,1781509449.573,hb,
326803.813,1781509509.594,hb,
326863.837,1781509569.616,hb,
326923.867,1781509629.642,hb,
326983.897,1781509689.670,hb,
327043.927,1781509749.697,hb,
327103.957,1781509809.725,hb,
327163.986,1781509869.750,hb,
327224.018,1781509929.780,hb,
327284.049,1781509989.808,hb,
327344.088,1781510049.826,hb,
327404.123,1781510109.847,hb,
327464.158,1781510169.873,hb,
327524.190,1781510229.898,hb,
327584.221,1781510289.919,hb,
327644.252,1781510349.940,hb,
327704.280,1781510409.961,hb,
327764.307,1781510469.981,hb,
327824.333,1781510530.006,hb,
327884.355,1781510590.031,hb,
327944.379,1781510650.054,hb,
328004.402,1781510710.074,hb,
328064.425,1781510770.095,hb,
328124.430,1781510830.125,hb,
328184.448,1781510890.153,hb,
328244.469,1781510950.178,hb,
328304.487,1781511010.199,hb,
328364.515,1781511070.213,hb,
328424.539,1781511130.229,hb,
