raw_s,wall_s,offset_ms,delay_ms,err
355518.423,1781538222.445,-18.898,0.356,
355519.428,1781538223.446,-15.815,14.014,
355520.432,1781538224.446,-10.035,6.625,
355521.435,1781538225.446,-8.810,9.155,
355522.438,1781538226.446,-3.036,12.654,
355523.441,1781538227.446,-2.952,11.652,
355524.443,1781538228.446,1.630,12.200,
355525.445,1781538229.446,,,TimeoutError
355526.448,1781538230.447,3.663,12.027,
355527.451,1781538231.448,5.450,12.224,
355528.453,1781538232.448,6.851,14.224,
355529.454,1781538233.448,11.140,10.377,
355530.455,1781538234.448,11.967,9.923,
355531.457,1781538235.448,10.529,9.210,
355532.458,1781538236.448,11.903,6.886,
355533.459,1781538237.448,14.867,11.849,
355534.460,1781538238.448,13.297,11.371,
355535.461,1781538239.448,,,TimeoutError
355536.463,1781538240.449,,,TimeoutError
355537.465,1781538241.451,15.980,13.460,
355538.467,1781538242.452,16.192,12.065,
355539.468,1781538243.452,18.806,9.443,
355540.468,1781538244.452,19.601,8.874,
355541.469,1781538245.452,18.788,10.425,
355542.470,1781538246.452,19.210,10.227,
355543.470,1781538247.452,21.525,10.964,
355544.471,1781538248.452,21.621,6.678,
355545.472,1781538249.452,21.173,6.457,
355546.472,1781538250.452,20.114,10.602,
355547.473,1781538251.452,22.859,8.450,
355548.473,1781538252.452,23.764,15.410,
355549.474,1781538253.452,21.969,9.040,
355550.475,1781538254.452,,,TimeoutError
355551.476,1781538255.453,23.308,8.350,
355552.476,1781538256.454,,,TimeoutError
355553.476,1781538257.456,22.893,13.104,
355554.476,1781538258.457,21.092,9.913,
355555.475,1781538259.457,19.910,14.071,
355556.474,1781538260.457,17.790,14.090,
355557.473,1781538261.457,,,TimeoutError
355558.474,1781538262.458,18.348,10.528,
355559.474,1781538263.459,17.262,9.493,
355560.474,1781538264.459,14.557,7.345,
355561.472,1781538265.458,14.841,14.184,
355562.473,1781538266.459,12.147,10.486,
355563.472,1781538267.459,11.802,12.161,
355564.472,1781538268.459,,,TimeoutError
355565.473,1781538269.460,12.871,11.651,
355566.474,1781538270.461,12.627,7.031,
355567.473,1781538271.462,13.378,7.951,
355568.473,1781538272.461,,,TimeoutError
355569.474,1781538273.463,11.123,11.906,
355570.475,1781538274.464,11.271,9.033,
355571.475,1781538275.464,,,TimeoutError
355572.476,1781538276.465,11.637,7.411,
355573.477,1781538277.466,13.332,9.785,
355574.477,1781538278.466,,,TimeoutError
355575.477,1781538279.466,,,TimeoutError
355576.479,1781538280.468,11.046,9.546,
355577.480,1781538281.469,13.219,9.554,
355578.480,1781538282.469,8.821,9.084,
355579.480,1781538283.469,13.003,11.761,
355580.480,1781538284.469,9.044,11.380,
355581.480,1781538285.469,11.147,7.873,
355582.480,1781538286.469,11.687,8.075,
355583.480,1781538287.469,9.098,12.423,
355584.480,1781538288.469,,,TimeoutError
355585.481,1781538289.470,11.568,6.000,
355586.482,1781538290.470,9.022,11.679,
355587.483,1781538291.471,,,TimeoutError
355588.484,1781538292.472,,,TimeoutError
355589.485,1781538293.473,11.671,13.352,
355590.487,1781538294.474,,,TimeoutError
355591.488,1781538295.475,11.780,15.682,
355592.489,1781538296.477,11.077,11.035,
355593.489,1781538297.477,13.631,8.457,
355594.490,1781538298.477,,,TimeoutError
355595.491,1781538299.478,12.961,7.615,
355596.492,1781538300.479,12.867,12.320,
355597.493,1781538301.479,10.720,8.973,
355598.493,1781538302.479,13.007,6.804,
355599.493,1781538303.479,12.094,10.659,
355600.493,1781538304.479,,,TimeoutError
355601.495,1781538305.480,11.395,8.873,
355602.496,1781538306.481,13.887,7.694,
355603.496,1781538307.481,13.004,11.835,
355604.497,1781538308.481,13.774,16.194,
355605.497,1781538309.481,,,TimeoutError
355606.498,1781538310.482,14.557,15.351,
355607.500,1781538311.483,16.224,8.787,
355608.500,1781538312.483,15.185,8.188,
355609.500,1781538313.483,14.927,7.357,
355610.500,1781538314.483,15.127,6.415,
355611.501,1781538315.483,16.837,11.031,
355612.501,1781538316.483,17.035,7.756,
355613.501,1781538317.483,12.693,10.417,
355614.501,1781538318.483,14.511,7.708,
355615.501,1781538319.483,,,TimeoutError
355616.503,1781538320.485,,,TimeoutError
355617.504,1781538321.486,16.534,9.492,
