raw_s,wall_s,kind,wall_elapsed_ms,raw_elapsed_ms
355578.515,1781538282.504,hb,,
355638.585,1781538342.569,hb,,
355698.656,1781538402.633,hb,,
355758.728,1781538462.696,hb,,
355818.794,1781538522.762,hb,,
355878.867,1781538582.827,hb,,
355938.940,1781538642.890,hb,,
355999.014,1781538702.953,hb,,
356059.064,1781538763.018,hb,,
356119.127,1781538823.083,hb,,
356179.196,1781538883.148,hb,,
356239.268,1781538943.214,hb,,
356299.334,1781539003.279,hb,,
356359.400,1781539063.345,hb,,
356419.469,1781539123.410,hb,,
356479.539,1781539183.474,hb,,
356539.607,1781539243.537,hb,,
356599.670,1781539303.601,hb,,
356659.736,1781539363.665,hb,,
356719.806,1781539423.731,hb,,
356779.875,1781539483.796,hb,,
356839.941,1781539543.860,hb,,
356900.009,1781539603.926,hb,,
356960.074,1781539663.988,hb,,
357020.140,1781539724.051,hb,,
357080.210,1781539784.117,hb,,
357140.277,1781539844.181,hb,,
357200.346,1781539904.246,hb,,
357260.414,1781539964.310,hb,,
357320.482,1781540024.374,hb,,
357380.545,1781540084.436,hb,,
357440.613,1781540144.501,hb,,
357500.679,1781540204.564,hb,,
357560.748,1781540264.630,hb,,
357620.815,1781540324.691,hb,,
357680.885,1781540384.757,hb,,
357740.953,1781540444.821,hb,,
357801.022,1781540504.886,hb,,
357861.089,1781540564.949,hb,,
357921.155,1781540625.013,hb,,
357981.224,1781540685.078,hb,,
358041.291,1781540745.142,hb,,
358101.358,1781540805.206,hb,,
358161.426,1781540865.269,hb,,
358221.493,1781540925.331,hb,,
358281.562,1781540985.397,hb,,
358341.631,1781541045.462,hb,,
358401.698,1781541105.525,hb,,
358461.759,1781541165.582,hb,,
358521.826,1781541225.646,hb,,
358581.892,1781541285.708,hb,,
358641.961,1781541345.774,hb,,
358702.026,1781541405.837,hb,,
358762.095,1781541465.903,hb,,
358822.163,1781541525.968,hb,,
358882.231,1781541586.031,hb,,
358942.299,1781541646.093,hb,,
359002.366,1781541706.156,hb,,
359062.433,1781541766.219,hb,,
359122.501,1781541826.283,hb,,
359182.568,1781541886.348,hb,,
359242.634,1781541946.412,hb,,
359302.702,1781542006.476,hb,,
359362.768,1781542066.538,hb,,
359422.837,1781542126.602,hb,,
359482.907,1781542186.668,hb,,
359542.978,1781542246.735,hb,,
359603.045,1781542306.798,hb,,
359663.113,1781542366.863,hb,,
359723.178,1781542426.926,hb,,
359783.246,1781542486.992,hb,,
359843.313,1781542547.055,hb,,
359903.379,1781542607.118,hb,,
359963.448,1781542667.182,hb,,
360023.518,1781542727.247,hb,,
360083.588,1781542787.313,hb,,
360143.655,1781542847.376,hb,,
360203.722,1781542907.439,hb,,
360263.789,1781542967.503,hb,,
360323.855,1781543027.566,hb,,
360383.920,1781543087.628,hb,,
360443.988,1781543147.692,hb,,
360504.059,1781543207.757,hb,,
360564.130,1781543267.823,hb,,
360624.198,1781543327.886,hb,,
360684.266,1781543387.950,hb,,
360744.330,1781543448.012,hb,,
360804.398,1781543508.077,hb,,
360864.465,1781543568.141,hb,,
360924.534,1781543628.207,hb,,
360984.603,1781543688.272,hb,,
361044.670,1781543748.336,hb,,
361104.738,1781543808.400,hb,,
361164.803,1781543868.462,hb,,
361224.869,1781543928.524,hb,,
361284.934,1781543988.585,hb,,
361345.003,1781544048.650,hb,,
361405.067,1781544108.711,hb,,
361465.131,1781544168.771,hb,,
361525.199,1781544228.836,hb,,
361585.266,1781544288.900,hb,,
361645.334,1781544348.965,hb,,
361705.403,1781544409.030,hb,,
361765.473,1781544469.096,hb,,
361825.541,1781544529.161,hb,,
361885.610,1781544589.226,hb,,
361945.679,1781544649.291,hb,,
362005.746,1781544709.355,hb,,
362065.814,1781544769.419,hb,,
362125.882,1781544829.484,hb,,
362185.949,1781544889.548,hb,,
362246.018,1781544949.613,hb,,
362306.089,1781545009.679,hb,,
362366.159,1781545069.744,hb,,
362426.229,1781545129.810,hb,,
362486.297,1781545189.874,hb,,
362546.363,1781545249.938,hb,,
362606.430,1781545310.002,hb,,
362666.498,1781545370.068,hb,,
362726.564,1781545430.130,hb,,
362786.631,1781545490.193,hb,,
362846.698,1781545550.256,hb,,
362906.766,1781545610.320,hb,,
362966.835,1781545670.385,hb,,
363026.904,1781545730.450,hb,,
363086.973,1781545790.513,hb,,
363147.044,1781545850.579,hb,,
363207.112,1781545910.643,hb,,
363267.180,1781545970.706,hb,,
363327.246,1781546030.771,hb,,
363387.311,1781546090.834,hb,,
363447.377,1781546150.896,hb,,
363507.446,1781546210.961,hb,,
363567.512,1781546271.024,hb,,
363627.580,1781546331.089,hb,,
363687.645,1781546391.149,hb,,
363747.709,1781546451.211,hb,,
363807.775,1781546511.272,hb,,
363867.842,1781546571.336,hb,,
363927.912,1781546631.402,hb,,
363987.980,1781546691.466,hb,,
364048.047,1781546751.530,hb,,
364108.115,1781546811.595,hb,,
364168.181,1781546871.658,hb,,
364228.248,1781546931.722,hb,,
364288.314,1781546991.784,hb,,
364348.385,1781547051.850,hb,,
364408.452,1781547111.913,hb,,
364468.519,1781547171.976,hb,,
