raw_s,wall_s,kind,jump_ms
382599.568,1781565301.918,hb,
382659.604,1781565361.949,hb,
382719.641,1781565421.982,hb,
382779.676,1781565482.012,hb,
382839.713,1781565542.044,hb,
382899.748,1781565602.075,hb,
382959.782,1781565662.104,hb,
383019.818,1781565722.135,hb,
383079.850,1781565782.163,hb,
383139.885,1781565842.193,hb,
383199.919,1781565902.222,hb,
383259.950,1781565962.249,hb,
383319.983,1781566022.277,hb,
383380.015,1781566082.305,hb,
383440.048,1781566142.332,hb,
383500.081,1781566202.361,hb,
383560.112,1781566262.387,hb,
383620.147,1781566322.418,hb,
383680.181,1781566382.447,hb,
383740.213,1781566442.474,hb,
383800.247,1781566502.503,hb,
383860.278,1781566562.530,hb,
383920.312,1781566622.560,hb,
383980.348,1781566682.590,hb,
384040.381,1781566742.619,hb,
384100.415,1781566802.648,hb,
384160.447,1781566862.676,hb,
384220.477,1781566922.701,hb,
384280.511,1781566982.730,hb,
384340.544,1781567042.758,hb,
384400.576,1781567102.786,hb,
384460.609,1781567162.815,hb,
384520.644,1781567222.845,hb,
384580.681,1781567282.877,hb,
384640.715,1781567342.906,hb,
384700.748,1781567402.935,hb,
384760.780,1781567462.962,hb,
384820.816,1781567522.993,hb,
384880.849,1781567583.022,hb,
384940.884,1781567643.052,hb,
385000.917,1781567703.080,hb,
385060.949,1781567763.108,hb,
385120.985,1781567823.139,hb,
385181.018,1781567883.167,hb,
385241.050,1781567943.195,hb,
385301.084,1781568003.224,hb,
385361.103,1781568063.238,hb,
385421.123,1781568123.254,hb,
385481.140,1781568183.266,hb,
385541.156,1781568243.277,hb,
385601.176,1781568303.293,hb,
385661.207,1781568363.319,hb,
385721.239,1781568423.347,hb,
385781.273,1781568483.376,hb,
385841.310,1781568543.408,hb,
385901.343,1781568603.436,hb,
385961.378,1781568663.467,hb,
386021.412,1781568723.496,hb,
386081.442,1781568783.521,hb,
386141.473,1781568843.548,hb,
386201.493,1781568903.590,hb,
386261.509,1781568963.631,hb,
386321.533,1781569023.667,hb,
386381.559,1781569083.699,hb,
386441.594,1781569143.731,hb,
386501.637,1781569203.761,hb,
386561.670,1781569263.789,hb,
386621.703,1781569323.820,hb,
386681.734,1781569383.850,hb,
386741.770,1781569443.875,hb,
386801.804,1781569503.904,hb,
386861.836,1781569563.932,hb,
386921.869,1781569623.963,hb,
386981.905,1781569683.992,hb,
387041.938,1781569744.020,hb,
387101.967,1781569804.046,hb,
387162.000,1781569864.076,hb,
387222.036,1781569924.107,hb,
387282.073,1781569984.139,hb,
387342.107,1781570044.170,hb,
387402.143,1781570104.202,hb,
387462.178,1781570164.233,hb,
387522.211,1781570224.261,hb,
387582.247,1781570284.294,hb,
387642.281,1781570344.325,hb,
387702.315,1781570404.355,hb,
387762.347,1781570464.383,hb,
387822.378,1781570524.410,hb,
387882.410,1781570584.438,hb,
387942.441,1781570644.466,hb,
388002.461,1781570704.483,hb,
388062.487,1781570764.504,hb,
388122.518,1781570824.532,hb,
388182.551,1781570884.561,hb,
388242.585,1781570944.592,hb,
388302.616,1781571004.619,hb,
388362.643,1781571064.642,hb,
388422.673,1781571124.668,hb,
388482.704,1781571184.696,hb,
388542.738,1781571244.726,hb,
388602.765,1781571304.749,hb,
388662.793,1781571364.774,hb,
388722.822,1781571424.799,hb,
388782.851,1781571484.825,hb,
388842.881,1781571544.850,hb,
388902.910,1781571604.876,hb,
388962.933,1781571664.895,hb,
389022.962,1781571724.921,hb,
389082.989,1781571784.944,hb,
389143.019,1781571844.971,hb,
389203.046,1781571904.994,hb,
389263.073,1781571965.017,hb,
389323.094,1781572025.034,hb,
389383.117,1781572085.053,hb,
389443.138,1781572145.071,hb,
389503.158,1781572205.087,hb,
389563.181,1781572265.106,hb,
389623.203,1781572325.125,hb,
389683.226,1781572385.144,hb,
389743.248,1781572445.162,hb,
389803.271,1781572505.182,hb,
389863.295,1781572565.202,hb,
389923.319,1781572625.223,hb,
389983.342,1781572685.242,hb,
390043.366,1781572745.262,hb,
390103.390,1781572805.283,hb,
390163.411,1781572865.300,hb,
390223.433,1781572925.319,hb,
390283.457,1781572985.339,hb,
390343.482,1781573045.360,hb,
390403.505,1781573105.379,hb,
390463.531,1781573165.401,hb,
390523.562,1781573225.429,hb,
390583.593,1781573285.456,hb,
390643.626,1781573345.486,hb,
390703.658,1781573405.514,hb,
390763.688,1781573465.540,hb,
390823.720,1781573525.569,hb,
390883.750,1781573585.595,hb,
390943.777,1781573645.619,hb,
391003.808,1781573705.646,hb,
391063.838,1781573765.672,hb,
391123.865,1781573825.695,hb,
391183.892,1781573885.719,hb,
391243.922,1781573945.745,hb,
391303.952,1781574005.771,hb,
391363.978,1781574065.793,hb,
391424.010,1781574125.822,hb,
391484.041,1781574185.850,hb,
