# exp5 滾動中位數（由各 tier probe.csv 重算，1Hz 取樣）
# 用途：文章結果表 rm31/rm241 與控制組數字的可重現出處
tier              n     rm31    rm121    rm241
clean          5402      1.0      0.2      0.2
a40            7202     20.0     19.7     10.6
a80            7202     47.0     34.6      5.3
a120           7202     74.3     45.7     31.6
a200           7202    102.0     53.0     43.7
j10            9002     44.0     40.1     35.8
j40            9001     68.2     62.7     60.5
j100           9001    207.2    190.9    151.7
j160           9001    275.4    262.6    236.7
j250           9001    381.3    335.1    293.6
loss10         7340     34.0     28.9     23.6
loss30         4355     11.9     10.6      8.4
loss50         2138      5.1      4.6      3.8
loss75         5629     60.0     59.3     58.5
c2048-j40      9001     72.1     64.1     63.6
c2048-j100     9001    217.7    207.0    197.6
