raw_s,wall_s,offset_ms,delay_ms,err
393.989,1781183119.712,0.675,0.154,
394.990,1781183120.713,0.666,0.236,
395.990,1781183121.713,0.660,0.210,
396.990,1781183122.713,0.674,0.154,
397.990,1781183123.713,0.658,0.192,
398.990,1781183124.713,0.661,0.190,
399.990,1781183125.713,0.661,0.186,
400.990,1781183126.713,0.658,0.190,
401.990,1781183127.713,0.661,0.189,
402.990,1781183128.713,0.661,0.196,
403.990,1781183129.713,0.659,0.191,
404.990,1781183130.713,0.662,0.189,
405.990,1781183131.713,0.660,0.194,
406.990,1781183132.713,0.663,0.195,
407.990,1781183133.713,0.660,0.185,
408.990,1781183134.713,0.661,0.192,
409.990,1781183135.713,0.662,0.199,
410.990,1781183136.713,0.660,0.204,
411.990,1781183137.713,0.635,0.249,
412.990,1781183138.713,0.679,0.166,
413.990,1781183139.713,0.663,0.186,
414.990,1781183140.713,0.650,0.186,
415.990,1781183141.713,0.698,0.236,
416.990,1781183142.713,0.674,0.220,
417.990,1781183143.713,0.659,0.189,
418.990,1781183144.713,0.657,0.188,
419.990,1781183145.713,0.660,0.196,
420.990,1781183146.713,0.660,0.191,
421.990,1781183147.713,0.661,0.193,
422.990,1781183148.713,0.660,0.196,
423.990,1781183149.713,0.657,0.191,
424.990,1781183150.713,0.660,0.189,
425.990,1781183151.713,0.661,0.201,
426.990,1781183152.713,0.660,0.191,
427.990,1781183153.713,0.668,0.191,
428.990,1781183154.713,0.650,0.215,
429.990,1781183155.713,0.660,0.195,
430.990,1781183156.713,0.661,0.194,
431.990,1781183157.713,0.657,0.188,
432.990,1781183158.713,0.662,0.198,
433.990,1781183159.713,0.662,0.200,
434.990,1781183160.713,0.657,0.199,
435.990,1781183161.713,0.659,0.185,
436.990,1781183162.713,0.661,0.192,
437.990,1781183163.713,0.660,0.192,
438.990,1781183164.713,0.660,0.189,
439.990,1781183165.713,0.668,0.205,
440.990,1781183166.713,0.661,0.194,
441.990,1781183167.713,0.661,0.191,
442.990,1781183168.713,0.687,0.241,
443.990,1781183169.713,0.666,0.141,
444.990,1781183170.713,0.664,0.133,
445.990,1781183171.713,0.676,0.160,
446.990,1781183172.713,0.656,0.189,
447.990,1781183173.713,0.658,0.186,
448.990,1781183174.713,0.662,0.192,
449.990,1781183175.713,0.662,0.194,
450.990,1781183176.713,0.661,0.198,
451.990,1781183177.713,0.661,0.195,
452.990,1781183178.713,0.660,0.196,
453.990,1781183179.713,0.662,0.193,
454.990,1781183180.713,0.660,0.193,
455.990,1781183181.713,0.659,0.187,
456.990,1781183182.713,0.659,0.186,
457.990,1781183183.713,0.674,0.229,
458.990,1781183184.713,0.675,0.220,
459.990,1781183185.713,0.678,0.167,
460.990,1781183186.713,0.656,0.213,
461.990,1781183187.713,0.674,0.162,
462.990,1781183188.713,0.662,0.187,
463.990,1781183189.713,0.665,0.202,
464.990,1781183190.713,0.665,0.207,
465.990,1781183191.713,0.662,0.194,
466.990,1781183192.713,0.662,0.199,
467.990,1781183193.713,0.676,0.155,
468.990,1781183194.713,0.659,0.188,
469.990,1781183195.713,0.664,0.200,
470.990,1781183196.713,0.678,0.161,
471.990,1781183197.713,0.661,0.230,
472.990,1781183198.713,0.660,0.193,
473.990,1781183199.713,0.679,0.160,
474.990,1781183200.713,0.661,0.188,
475.990,1781183201.713,0.660,0.186,
476.990,1781183202.713,0.636,0.247,
