raw_s,wall_s,kind,jump_ms
1125.931,1781183852.052,jump,-1.372
1126.036,1781183852.152,jump,-5.258
1126.142,1781183852.253,jump,-5.264
1126.247,1781183852.353,jump,-5.258
1126.353,1781183852.453,jump,-5.265
1126.458,1781183852.553,jump,-5.265
1126.564,1781183852.654,jump,-5.260
1126.669,1781183852.754,jump,-5.259
1126.775,1781183852.854,jump,-5.264
1126.880,1781183852.954,jump,-5.258
1126.985,1781183853.054,jump,-4.945
1127.090,1781183853.154,jump,-4.571
1127.194,1781183853.255,jump,-4.572
1127.299,1781183853.355,jump,-4.571
1127.404,1781183853.455,jump,-4.570
1127.509,1781183853.555,jump,-4.572
1127.614,1781183853.655,jump,-4.576
1127.718,1781183853.756,jump,-4.570
1127.823,1781183853.856,jump,-4.572
1127.928,1781183853.956,jump,-4.576
1128.032,1781183854.056,jump,-4.287
1128.137,1781183854.157,jump,-3.980
1128.241,1781183854.257,jump,-3.976
1128.345,1781183854.357,jump,-3.977
1128.449,1781183854.457,jump,-3.977
1128.553,1781183854.557,jump,-3.977
1128.657,1781183854.657,jump,-3.977
1128.762,1781183854.758,jump,-3.978
1128.866,1781183854.858,jump,-3.976
1128.970,1781183854.958,jump,-3.976
1129.074,1781183855.058,jump,-3.725
1129.177,1781183855.158,jump,-3.462
1129.281,1781183855.259,jump,-3.467
1129.385,1781183855.359,jump,-3.462
1129.488,1781183855.459,jump,-3.462
1129.592,1781183855.559,jump,-3.467
1129.696,1781183855.660,jump,-3.469
1129.800,1781183855.760,jump,-3.462
1129.903,1781183855.860,jump,-3.461
1130.007,1781183855.960,jump,-3.462
1130.110,1781183856.060,jump,-3.303
1130.214,1781183856.160,jump,-3.016
1130.317,1781183856.261,jump,-3.021
1130.420,1781183856.361,jump,-3.020
1130.523,1781183856.461,jump,-3.019
1130.627,1781183856.561,jump,-3.017
1130.730,1781183856.661,jump,-3.015
1130.833,1781183856.762,jump,-3.020
1130.936,1781183856.862,jump,-3.019
1131.039,1781183856.962,jump,-3.013
1131.142,1781183857.062,jump,-2.831
1131.245,1781183857.163,jump,-2.633
1131.348,1781183857.263,jump,-2.632
1131.451,1781183857.363,jump,-2.632
1131.554,1781183857.463,jump,-2.630
1131.657,1781183857.563,jump,-2.631
1131.760,1781183857.664,jump,-2.630
1131.862,1781183857.764,jump,-2.631
1131.965,1781183857.864,jump,-2.628
1132.068,1781183857.964,jump,-2.634
1132.171,1781183858.065,jump,-2.443
1132.273,1781183858.165,jump,-2.300
1132.376,1781183858.265,jump,-2.291
1132.478,1781183858.365,jump,-2.294
1132.581,1781183858.465,jump,-2.293
1132.683,1781183858.565,jump,-2.293
1132.786,1781183858.666,jump,-2.297
1132.888,1781183858.766,jump,-2.296
1132.991,1781183858.866,jump,-2.295
1133.094,1781183858.967,jump,-2.295
1133.196,1781183859.067,jump,-2.103
1133.298,1781183859.167,jump,-2.002
1133.400,1781183859.267,jump,-2.002
1133.502,1781183859.367,jump,-2.001
1133.605,1781183859.468,jump,-2.002
1133.707,1781183859.568,jump,-2.001
1133.809,1781183859.668,jump,-2.001
1133.911,1781183859.768,jump,-2.004
1134.013,1781183859.868,jump,-2.001
1134.116,1781183859.969,jump,-2.001
1134.218,1781183860.069,jump,-1.849
1134.320,1781183860.169,jump,-1.747
1134.422,1781183860.269,jump,-1.748
1134.523,1781183860.369,jump,-1.746
1134.625,1781183860.469,jump,-1.747
1134.727,1781183860.570,jump,-1.749
1134.829,1781183860.670,jump,-1.749
1134.931,1781183860.770,jump,-1.747
1135.033,1781183860.870,jump,-1.748
1135.135,1781183860.971,jump,-1.746
1135.237,1781183861.071,jump,-1.599
1135.339,1781183861.171,jump,-1.525
1135.441,1781183861.271,jump,-1.527
1135.542,1781183861.371,jump,-1.525
1135.644,1781183861.472,jump,-1.525
1135.746,1781183861.572,jump,-1.526
1135.847,1781183861.672,jump,-1.525
1135.949,1781183861.772,jump,-1.527
1136.051,1781183861.873,jump,-1.526
1136.153,1781183861.973,jump,-1.525
1136.254,1781183862.073,jump,-1.405
1136.356,1781183862.173,jump,-1.333
1136.458,1781183862.274,jump,-1.333
1136.559,1781183862.374,jump,-1.332
1136.661,1781183862.474,jump,-1.333
1136.762,1781183862.574,jump,-1.333
1136.864,1781183862.674,jump,-1.333
1136.965,1781183862.775,jump,-1.333
1137.067,1781183862.875,jump,-1.333
1137.169,1781183862.975,jump,-1.334
1137.270,1781183863.076,jump,-1.262
1137.372,1781183863.176,jump,-1.165
1137.473,1781183863.276,jump,-1.164
1137.574,1781183863.376,jump,-1.163
1137.676,1781183863.476,jump,-1.164
1137.777,1781183863.577,jump,-1.164
1137.878,1781183863.677,jump,-1.165
1137.980,1781183863.777,jump,-1.165
1138.081,1781183863.877,jump,-1.162
1138.183,1781183863.978,jump,-1.166
1138.284,1781183864.078,jump,-1.087
1138.385,1781183864.178,jump,-1.017
1138.486,1781183864.278,jump,-1.017
1138.587,1781183864.378,jump,-1.016
1138.689,1781183864.478,jump,-1.017
1138.790,1781183864.579,jump,-1.017
1138.891,1781183864.679,jump,-1.018
1138.993,1781183864.779,jump,-1.018
1139.094,1781183864.880,jump,-1.017
1139.195,1781183864.980,jump,-1.018
1184.152,1781183909.876,hb,
