raw_s,wall_s,offset_ms,delay_ms,err
1446.551,1781184172.275,0.005,0.176,
1447.552,1781184173.276,0.006,0.194,
1448.552,1781184174.276,0.001,0.178,
1449.557,1781184175.376,-94.968,0.190,
1450.569,1781184176.376,-82.387,0.162,
1451.581,1781184177.376,-71.332,0.169,
1452.590,1781184178.376,-61.613,0.198,
1453.598,1781184179.375,-53.079,0.180,
1454.606,1781184180.376,-45.497,0.191,
1455.613,1781184181.376,-38.836,0.189,
1456.619,1781184182.376,-32.922,0.224,
1457.623,1781184183.375,-27.705,0.195,
1458.629,1781184184.376,-23.082,0.232,
1459.633,1781184185.376,-18.994,0.209,
1460.637,1781184186.376,-15.326,0.191,
1461.639,1781184187.375,-12.075,0.175,
1462.643,1781184188.376,-9.144,0.192,
1463.645,1781184189.376,-6.520,0.215,
1464.648,1781184190.376,-4.169,0.201,
1465.650,1781184191.376,-2.060,0.188,
1466.652,1781184192.376,-0.150,0.187,
1467.653,1781184193.376,1.590,0.185,
1468.655,1781184194.376,3.175,0.195,
1469.656,1781184195.376,4.620,0.193,
1470.657,1781184196.375,5.946,0.196,
1471.659,1781184197.376,7.172,0.196,
1472.659,1781184198.375,8.304,0.193,
1473.661,1781184199.376,9.365,0.197,
1474.662,1781184200.376,10.362,0.219,
1475.663,1781184201.376,11.293,0.235,
1476.664,1781184202.376,12.160,0.161,
1477.665,1781184203.376,12.964,0.177,
1478.666,1781184204.376,13.772,0.228,
1479.666,1781184205.376,14.501,0.198,
1480.667,1781184206.376,15.220,0.190,
1481.667,1781184207.376,15.443,0.161,
1482.667,1781184208.376,14.860,0.188,
1483.666,1781184209.376,14.360,0.207,
1484.666,1781184210.376,13.905,0.206,
1485.665,1781184211.376,13.510,0.187,
1486.665,1781184212.376,13.186,0.255,
1487.665,1781184213.376,12.845,0.172,
1488.665,1781184214.376,12.609,0.171,
1489.664,1781184215.376,12.375,0.193,
1490.664,1781184216.376,12.192,0.192,
1491.664,1781184217.376,12.023,0.196,
1492.664,1781184218.376,11.944,0.163,
1493.664,1781184219.376,11.846,0.198,
1494.664,1781184220.376,11.808,0.172,
1495.664,1781184221.376,11.760,0.193,
1496.664,1781184222.376,11.756,0.187,
1497.664,1781184223.376,11.775,0.202,
1498.664,1781184224.376,11.822,0.192,
1499.664,1781184225.376,11.887,0.196,
1500.664,1781184226.376,11.971,0.194,
1501.664,1781184227.376,12.074,0.198,
1502.664,1781184228.376,12.193,0.195,
1503.664,1781184229.376,12.331,0.194,
1504.664,1781184230.376,12.513,0.198,
1505.665,1781184231.376,12.648,0.187,
1506.664,1781184232.376,12.824,0.195,
1507.665,1781184233.376,13.020,0.133,
1508.665,1781184234.376,13.222,0.196,
1509.665,1781184235.376,13.453,0.161,
1510.665,1781184236.376,13.659,0.200,
1511.666,1781184237.376,13.897,0.197,
1512.666,1781184238.376,14.141,0.194,
1513.666,1781184239.376,14.398,0.197,
1514.667,1781184240.376,14.677,0.180,
1515.667,1781184241.376,14.919,0.183,
1516.667,1781184242.376,15.210,0.163,
1517.667,1781184243.376,15.479,0.250,
1518.667,1781184244.376,15.760,0.194,
1519.668,1781184245.376,16.055,0.194,
1520.668,1781184246.375,16.373,0.232,
1521.668,1781184247.376,16.656,0.218,
1522.669,1781184248.375,16.990,0.243,
1523.669,1781184249.376,17.275,0.190,
