raw_s,wall_s,offset_ms,delay_ms,err
6089.385,1781188815.095,14.050,0.171,
6090.385,1781188816.096,13.481,0.177,
6091.385,1781188817.096,12.997,0.213,
6092.384,1781188818.096,12.523,0.131,
6093.384,1781188819.096,12.099,0.177,
6094.384,1781188820.096,11.726,0.192,
6095.383,1781188821.096,11.391,0.122,
6096.383,1781188822.096,11.104,0.158,
6097.383,1781188823.096,10.818,0.178,
6098.382,1781188824.096,10.585,0.172,
6099.382,1781188825.096,10.378,0.174,
6100.382,1781188826.096,10.196,0.182,
6101.382,1781188827.096,10.046,0.173,
6102.382,1781188828.096,9.921,0.174,
6103.382,1781188829.096,9.813,0.182,
6104.382,1781188830.096,9.758,0.234,
6105.382,1781188831.096,9.671,0.178,
6106.382,1781188832.096,9.642,0.156,
6107.381,1781188833.096,9.602,0.174,
6108.381,1781188834.096,9.591,0.180,
6109.381,1781188835.096,9.600,0.175,
6110.381,1781188836.096,9.623,0.167,
6111.381,1781188837.096,9.655,0.179,
6112.381,1781188838.096,9.703,0.176,
6113.381,1781188839.096,9.764,0.174,
6114.382,1781188840.096,9.834,0.176,
6115.382,1781188841.096,9.917,0.175,
6116.382,1781188842.096,10.008,0.179,
6117.382,1781188843.096,10.123,0.203,
6118.382,1781188844.096,10.217,0.185,
6119.382,1781188845.096,10.339,0.182,
6120.382,1781188846.096,10.461,0.178,
6121.382,1781188847.096,10.575,0.235,
6122.383,1781188848.096,10.736,0.176,
6123.383,1781188849.096,10.883,0.198,
6124.383,1781188850.096,11.007,0.192,
6125.383,1781188851.096,11.208,0.143,
6126.383,1781188852.096,11.353,0.179,
6127.383,1781188853.096,11.522,0.170,
6128.384,1781188854.096,11.693,0.180,
6129.384,1781188855.096,11.870,0.176,
6130.384,1781188856.096,12.050,0.175,
6131.384,1781188857.096,12.218,0.224,
6132.384,1781188858.096,12.422,0.178,
6133.384,1781188859.096,12.610,0.189,
6134.385,1781188860.096,12.807,0.173,
6135.385,1781188861.096,13.004,0.175,
6136.385,1781188862.096,13.206,0.178,
6137.385,1781188863.096,13.408,0.180,
6138.385,1781188864.096,13.628,0.148,
6139.386,1781188865.096,13.826,0.173,
6140.386,1781188866.096,14.026,0.184,
6141.386,1781188867.096,14.240,0.171,
6142.386,1781188868.096,14.455,0.178,
6143.386,1781188869.096,14.670,0.173,
6144.387,1781188870.096,14.889,0.195,
6145.387,1781188871.096,15.093,0.202,
6146.387,1781188872.096,15.321,0.181,
6147.387,1781188873.096,15.549,0.182,
6148.387,1781188874.096,15.712,0.182,
6149.387,1781188875.096,15.405,0.167,
6150.387,1781188876.096,15.100,0.167,
6151.387,1781188877.096,14.823,0.180,
6152.386,1781188878.096,14.538,0.146,
6153.386,1781188879.096,14.303,0.177,
6154.386,1781188880.096,14.064,0.176,
6155.386,1781188881.096,13.834,0.165,
6156.385,1781188882.096,13.622,0.168,
6157.385,1781188883.096,13.423,0.171,
6158.385,1781188884.096,13.233,0.176,
6159.385,1781188885.096,13.060,0.264,
6160.385,1781188886.096,12.888,0.177,
6161.385,1781188887.096,12.734,0.175,
6162.384,1781188888.096,12.594,0.185,
6163.384,1781188889.096,12.431,0.178,
6164.384,1781188890.096,12.327,0.197,
6165.384,1781188891.096,12.216,0.176,
6166.384,1781188892.096,12.112,0.213,
6167.384,1781188893.096,12.009,0.176,
6168.384,1781188894.096,11.917,0.179,
6169.384,1781188895.096,11.840,0.181,
6170.384,1781188896.096,11.767,0.179,
6171.383,1781188897.096,11.699,0.177,
6172.383,1781188898.096,11.643,0.176,
6173.384,1781188899.096,11.597,0.171,
6174.383,1781188900.096,11.554,0.179,
6175.383,1781188901.096,11.517,0.173,
6176.383,1781188902.096,11.492,0.185,
6177.383,1781188903.096,11.465,0.174,
6178.383,1781188904.096,11.450,0.179,
6179.383,1781188905.096,11.441,0.175,
6180.383,1781188906.096,11.436,0.171,
6181.383,1781188907.096,11.441,0.175,
6182.383,1781188908.096,11.463,0.211,
6183.383,1781188909.096,11.459,0.176,
6184.383,1781188910.096,11.498,0.211,
6185.383,1781188911.096,11.499,0.175,
6186.383,1781188912.096,11.530,0.164,
6187.383,1781188913.096,11.567,0.180,
6188.383,1781188914.096,11.613,0.151,
6189.383,1781188915.096,11.644,0.176,
6190.383,1781188916.096,11.681,0.179,
6191.384,1781188917.096,11.737,0.178,
6192.384,1781188918.096,11.790,0.172,
6193.384,1781188919.096,11.864,0.144,
6194.384,1781188920.096,11.917,0.198,
6195.384,1781188921.096,11.974,0.182,
6196.384,1781188922.096,12.047,0.166,
6197.384,1781188923.096,12.119,0.171,
6198.384,1781188924.096,12.191,0.178,
6199.384,1781188925.096,12.290,0.148,
6200.384,1781188926.096,12.372,0.150,
6201.384,1781188927.096,12.442,0.117,
6202.384,1781188928.096,12.500,0.238,
6203.384,1781188929.096,12.615,0.184,
6204.384,1781188930.096,12.728,0.141,
6205.385,1781188931.096,12.789,0.221,
6206.385,1781188932.096,12.924,0.209,
6207.385,1781188933.096,13.010,0.178,
6208.385,1781188934.096,13.118,0.176,
6209.385,1781188935.096,13.219,0.176,
6210.385,1781188936.096,13.334,0.185,
6211.385,1781188937.096,13.439,0.179,
6212.385,1781188938.096,13.552,0.175,
6213.385,1781188939.096,13.667,0.174,
6214.386,1781188940.096,13.800,0.213,
6215.386,1781188941.096,13.905,0.188,
6216.386,1781188942.096,14.025,0.176,
6217.386,1781188943.096,14.164,0.205,
6218.386,1781188944.096,14.274,0.180,
6219.386,1781188945.096,14.397,0.173,
6220.386,1781188946.096,14.530,0.223,
6221.386,1781188947.096,14.659,0.168,
6222.387,1781188948.096,14.781,0.205,
6223.387,1781188949.096,14.929,0.190,
6224.387,1781188950.096,15.022,0.193,
6225.387,1781188951.096,15.187,0.174,
6226.387,1781188952.096,15.305,0.134,
6227.387,1781188953.096,15.465,0.177,
6228.387,1781188954.096,15.604,0.176,
6229.387,1781188955.096,15.745,0.180,
6230.388,1781188956.096,15.890,0.184,
6231.388,1781188957.096,16.032,0.185,
6232.388,1781188958.096,16.172,0.180,
6233.388,1781188959.096,16.317,0.180,
6234.388,1781188960.096,16.480,0.148,
6235.388,1781188961.096,16.615,0.181,
6236.389,1781188962.096,16.746,0.226,
6237.389,1781188963.096,16.915,0.174,
6238.389,1781188964.096,17.060,0.175,
6239.389,1781188965.096,17.213,0.181,
6240.389,1781188966.096,17.364,0.172,
6241.389,1781188967.096,17.522,0.174,
6242.390,1781188968.096,17.672,0.175,
6243.390,1781188969.096,17.829,0.176,
6244.390,1781188970.096,17.998,0.153,
6245.390,1781188971.096,18.139,0.175,
6246.390,1781188972.096,18.301,0.220,
6247.390,1781188973.096,18.444,0.182,
6248.391,1781188974.096,18.615,0.185,
6249.391,1781188975.096,18.778,0.205,
6250.391,1781188976.096,18.930,0.173,
6251.391,1781188977.096,19.092,0.182,
6252.391,1781188978.096,19.250,0.177,
6253.391,1781188979.096,19.417,0.175,
6254.391,1781188980.096,19.574,0.173,
6255.392,1781188981.096,19.736,0.173,
6256.392,1781188982.096,19.903,0.188,
6257.392,1781188983.096,20.053,0.168,
6258.392,1781188984.096,20.237,0.197,
6259.392,1781188985.096,20.390,0.177,
6260.392,1781188986.096,20.562,0.176,
6261.392,1781188987.096,20.723,0.185,
6262.393,1781188988.096,20.877,0.154,
6263.393,1781188989.096,21.053,0.173,
6264.393,1781188990.096,21.234,0.194,
6265.393,1781188991.096,21.392,0.164,
6266.393,1781188992.096,21.575,0.216,
6267.394,1781188993.096,21.711,0.149,
6268.394,1781188994.096,21.897,0.186,
6269.394,1781188995.096,22.060,0.177,
6270.394,1781188996.096,22.232,0.182,
6271.394,1781188997.096,22.404,0.184,
6272.394,1781188998.096,22.568,0.166,
6273.395,1781188999.096,22.753,0.242,
6274.395,1781189000.096,22.909,0.185,
6275.395,1781189001.096,23.082,0.180,
6276.395,1781189002.096,23.249,0.178,
6277.395,1781189003.096,23.348,0.178,
6278.395,1781189004.096,23.133,0.153,
6279.395,1781189005.096,22.892,0.174,
6280.395,1781189006.096,22.677,0.176,
6281.394,1781189007.096,22.460,0.173,
6282.394,1781189008.096,22.256,0.168,
6283.394,1781189009.096,22.052,0.174,
6284.394,1781189010.096,21.858,0.183,
6285.394,1781189011.096,21.685,0.208,
6286.393,1781189012.096,21.481,0.178,
6287.393,1781189013.096,21.300,0.176,
6288.393,1781189014.096,21.140,0.154,
6289.393,1781189015.096,20.966,0.209,
6290.393,1781189016.096,20.778,0.153,
6291.392,1781189017.096,20.623,0.175,
6292.392,1781189018.096,20.464,0.184,
6293.392,1781189019.096,20.327,0.209,
6294.392,1781189020.096,20.156,0.209,
6295.392,1781189021.096,20.019,0.175,
6296.392,1781189022.096,19.885,0.175,
6297.392,1781189023.096,19.744,0.174,
6298.392,1781189024.096,19.614,0.180,
6299.391,1781189025.096,19.478,0.231,
6300.391,1781189026.096,19.363,0.184,
6301.391,1781189027.096,19.249,0.184,
6302.391,1781189028.096,19.133,0.177,
6303.391,1781189029.096,19.019,0.175,
6304.391,1781189030.096,18.911,0.175,
6305.391,1781189031.096,18.844,0.185,
6306.391,1781189032.096,18.708,0.175,
6307.391,1781189033.096,18.613,0.176,
6308.390,1781189034.096,18.521,0.178,
6309.390,1781189035.096,18.432,0.177,
6310.390,1781189036.096,18.359,0.203,
6311.390,1781189037.096,18.270,0.194,
6312.390,1781189038.096,18.200,0.148,
6313.390,1781189039.096,18.113,0.179,
6314.390,1781189040.096,18.046,0.203,
6315.390,1781189041.096,17.970,0.174,
6316.390,1781189042.096,17.901,0.174,
6317.390,1781189043.096,17.840,0.173,
6318.390,1781189044.096,17.791,0.252,
6319.390,1781189045.096,17.741,0.148,
6320.390,1781189046.096,17.687,0.154,
6321.389,1781189047.096,17.620,0.173,
6322.389,1781189048.096,17.577,0.180,
6323.389,1781189049.096,17.527,0.178,
6324.389,1781189050.096,17.486,0.176,
6325.389,1781189051.096,17.447,0.180,
6326.389,1781189052.096,17.411,0.175,
6327.389,1781189053.096,17.378,0.180,
