raw_s,cpu_ns,mem_bytes,ntp_pkts
6149.384,46334000,1347584,62
6209.408,46334000,1347584,122
6269.443,46423000,1347584,182
6329.465,46693000,1351680,243
6389.494,46787000,1351680,303
6449.526,46787000,1351680,363
6509.559,46879000,1351680,423
6569.584,47138000,1355776,484
6629.607,47229000,1351680,544
6689.633,47229000,1351680,604
6749.662,47322000,1351680,664
6809.691,47322000,1351680,724
6869.722,47458000,1351680,784
6929.753,47458000,1351680,844
6989.785,47549000,1351680,904
7049.815,47805000,1351680,965
7109.825,47805000,1351680,1025
7169.843,47900000,1351680,1085
7229.864,47986000,1355776,1145
7289.889,48066000,1355776,1205
7349.915,48066000,1355776,1265
7409.943,48172000,1355776,1325
7469.970,48172000,1355776,1385
7529.999,48285000,1355776,1445
7590.025,48559000,1359872,1506
7650.049,48645000,1355776,1566
7710.074,48645000,1355776,1626
7770.100,48736000,1355776,1686
7830.126,48736000,1355776,1746
7890.152,48894000,1355776,1806
7950.179,48894000,1355776,1866
8010.206,48967000,1355776,1926
8070.233,48967000,1355776,1986
8130.261,49076000,1359872,2046
8190.289,49076000,1359872,2106
8250.317,49159000,1355776,2166
8310.346,49159000,1355776,2226
8370.374,49226000,1355776,2286
8430.402,49226000,1355776,2347
8490.429,49512000,1355776,2411
8550.328,49742000,1359872,2472
