raw_s,wall_s,kind,wall_elapsed_ms,raw_elapsed_ms
6149.446,1781188875.155,hb,,
6209.509,1781188935.220,hb,,
6269.584,1781188995.286,hb,,
6329.646,1781189055.352,hb,,
6389.713,1781189115.418,hb,,
6449.783,1781189175.482,hb,,
6509.856,1781189235.548,hb,,
6569.922,1781189295.616,hb,,
6629.985,1781189355.683,hb,,
6690.049,1781189415.747,hb,,
6750.116,1781189475.812,hb,,
6810.185,1781189535.877,hb,,
6870.257,1781189595.944,hb,,
6930.326,1781189656.008,hb,,
6990.397,1781189716.074,hb,,
7050.467,1781189776.141,hb,,
7110.520,1781189836.209,hb,,
7170.578,1781189896.277,hb,,
7230.642,1781189956.345,hb,,
7290.704,1781190016.408,hb,,
7350.767,1781190076.471,hb,,
7410.832,1781190136.535,hb,,
7470.900,1781190196.601,hb,,
7530.969,1781190256.668,hb,,
7591.033,1781190316.733,hb,,
7651.096,1781190376.799,hb,,
7711.159,1781190436.863,hb,,
7771.223,1781190496.927,hb,,
7831.287,1781190556.992,hb,,
7891.350,1781190617.055,hb,,
7951.415,1781190677.119,hb,,
8011.482,1781190737.185,hb,,
8071.549,1781190797.250,hb,,
8131.615,1781190857.315,hb,,
8191.681,1781190917.379,hb,,
8251.749,1781190977.446,hb,,
8311.816,1781191037.511,hb,,
8371.884,1781191097.577,hb,,
8431.951,1781191157.642,hb,,
8492.000,1781191217.632,hb,,
8551.977,1781191277.715,hb,,
