raw_s,wall_s,kind,jump_ms
6149.415,1781188875.123,hb,
6209.448,1781188935.159,hb,
6269.488,1781188995.190,hb,
6329.520,1781189055.227,hb,
6389.557,1781189115.262,hb,
6449.592,1781189175.291,hb,
6509.630,1781189235.322,hb,
6569.662,1781189295.356,hb,
6629.691,1781189355.389,hb,
6689.727,1781189415.425,hb,
6749.759,1781189475.455,hb,
6809.795,1781189535.487,hb,
6869.828,1781189595.516,hb,
6929.865,1781189655.547,hb,
6989.901,1781189715.578,hb,
7049.935,1781189775.608,hb,
7109.956,1781189835.645,hb,
7169.989,1781189895.687,hb,
7230.023,1781189955.725,hb,
7290.052,1781190015.756,hb,
7350.083,1781190075.787,hb,
7410.115,1781190135.818,hb,
7470.148,1781190195.849,hb,
7530.183,1781190255.881,hb,
7590.216,1781190315.916,hb,
7650.250,1781190375.953,hb,
7710.282,1781190435.986,hb,
7770.315,1781190496.020,hb,
7830.349,1781190556.054,hb,
7890.384,1781190616.089,hb,
7950.417,1781190676.121,hb,
8010.452,1781190736.155,hb,
8070.486,1781190796.188,hb,
8130.521,1781190856.221,hb,
8190.554,1781190916.253,hb,
8250.588,1781190976.285,hb,
8310.620,1781191036.315,hb,
8370.651,1781191096.345,hb,
8430.686,1781191156.378,hb,
8489.718,1781191215.327,jump,-79.957
8490.518,1781191216.129,jump,1.475
8490.618,1781191216.231,jump,1.488
8490.719,1781191216.333,jump,1.489
8490.719,1781191216.333,hb,
8490.818,1781191216.433,jump,1.469
8490.916,1781191216.534,jump,1.468
8491.015,1781191216.634,jump,1.467
8491.114,1781191216.735,jump,1.471
8491.215,1781191216.836,jump,1.488
8491.314,1781191216.937,jump,1.468
8491.412,1781191217.037,jump,1.425
8491.512,1781191217.137,jump,1.294
8491.611,1781191217.238,jump,1.291
8491.710,1781191217.339,jump,1.303
8491.811,1781191217.440,jump,1.307
8491.910,1781191217.541,jump,1.294
8492.009,1781191217.641,jump,1.292
8492.108,1781191217.741,jump,1.292
8492.207,1781191217.842,jump,1.293
8492.306,1781191217.942,jump,1.293
8492.405,1781191218.042,jump,1.233
8492.504,1781191218.143,jump,1.138
8492.603,1781191218.243,jump,1.141
8492.703,1781191218.343,jump,1.140
8492.802,1781191218.444,jump,1.138
8492.901,1781191218.544,jump,1.139
8493.000,1781191218.644,jump,1.139
8493.099,1781191218.745,jump,1.138
8493.198,1781191218.845,jump,1.139
8493.298,1781191218.945,jump,1.141
8493.397,1781191219.046,jump,1.093
8493.496,1781191219.146,jump,1.004
8493.596,1781191219.246,jump,1.005
8493.695,1781191219.347,jump,1.004
8493.794,1781191219.447,jump,1.004
8493.894,1781191219.547,jump,1.005
8493.993,1781191219.648,jump,1.005
8494.092,1781191219.748,jump,1.004
8494.192,1781191219.848,jump,1.004
8494.291,1781191219.949,jump,1.003
8550.660,1781191276.397,hb,
