raw_s,wall_s,offset_ms,delay_ms,err
38534.205,1781221259.393,-1800.144,0.320,
38535.205,1781221260.395,-1800.681,0.387,
38536.205,1781221261.394,-1801.270,0.313,
38537.205,1781221260.593,-0.569,0.352,
38538.204,1781221261.593,-1.145,0.330,
38539.203,1781221262.593,-1.686,0.323,
38540.203,1781221263.593,-2.270,0.332,
38541.203,1781221264.593,-2.830,0.321,
38542.202,1781221265.593,-3.385,0.318,
38543.201,1781221266.593,-3.951,0.268,
38544.201,1781221267.593,-4.511,0.328,
38545.200,1781221268.593,-5.062,0.358,
38546.200,1781221269.593,-5.645,0.317,
38547.199,1781221270.593,-6.194,0.325,
38548.199,1781221271.593,-6.763,0.322,
38549.198,1781221272.593,-7.318,0.322,
38550.198,1781221273.593,-7.875,0.338,
38551.197,1781221274.593,-8.420,0.369,
38552.197,1781221275.593,-8.999,0.317,
38553.196,1781221276.593,-9.556,0.331,
38554.196,1781221277.593,-10.101,0.304,
38555.195,1781221278.593,-10.705,0.387,
38556.195,1781221279.593,-11.252,0.322,
38557.195,1781221280.593,-11.822,0.369,
38558.194,1781221281.593,-12.380,0.369,
38559.193,1781221282.593,-12.931,0.332,
38560.193,1781221283.593,-13.448,0.287,
38561.192,1781221284.593,-14.064,0.352,
38562.192,1781221285.593,-14.628,0.393,
38563.191,1781221286.593,-15.162,0.339,
38564.191,1781221287.593,-15.707,0.296,
38565.191,1781221288.593,-16.290,0.329,
38566.190,1781221289.593,-16.822,0.274,
38567.189,1781221290.593,-17.432,0.378,
38568.189,1781221291.593,-17.959,0.360,
38569.189,1781221292.593,-17.875,0.321,
38570.189,1781221293.593,-17.377,0.330,
38571.190,1781221294.593,-16.884,0.325,
38572.190,1781221295.593,-16.478,0.313,
38573.191,1781221296.593,-16.155,0.320,
38574.191,1781221297.593,-15.867,0.330,
38575.192,1781221298.593,-15.636,0.328,
38576.192,1781221299.593,-15.501,0.307,
38577.192,1781221300.593,-15.330,0.328,
38578.192,1781221301.593,-15.231,0.362,
38579.192,1781221302.593,-15.188,0.345,
38580.192,1781221303.593,-15.173,0.356,
38581.192,1781221304.593,-15.212,0.324,
38582.192,1781221305.593,-15.269,0.323,
38583.193,1781221306.593,-15.361,0.325,
38584.192,1781221307.593,-15.510,0.331,
38585.192,1781221308.593,-15.624,0.310,
38586.192,1781221309.593,-15.801,0.319,
38587.192,1781221310.593,-15.993,0.343,
38588.192,1781221311.593,-16.219,0.310,
38589.192,1781221312.593,-16.504,0.243,
38590.191,1781221313.593,-16.730,0.325,
38591.191,1781221314.593,-17.008,0.324,
38592.191,1781221315.593,-17.287,0.355,
38593.191,1781221316.593,-17.615,0.328,
38594.191,1781221317.593,-17.954,0.319,
38595.190,1781221318.593,-18.310,0.295,
38596.190,1781221319.593,-18.652,0.322,
38597.190,1781221320.593,-19.000,0.372,
38598.189,1781221321.593,-19.409,0.306,
38599.189,1781221322.593,-19.782,0.308,
38600.189,1781221323.593,-20.205,0.323,
38601.188,1781221324.593,-20.591,0.334,
38602.188,1781221325.593,-21.045,0.341,
38603.188,1781221326.593,-21.466,0.338,
38604.187,1781221327.593,-21.908,0.327,
38605.187,1781221328.593,-22.389,0.331,
38606.187,1781221329.593,-22.782,0.268,
38607.186,1781221330.593,-23.283,0.369,
38608.185,1781221331.593,-23.739,0.433,
38609.185,1781221332.593,-24.189,0.307,
38610.185,1781221333.593,-24.678,0.289,
38611.184,1781221334.593,-25.154,0.365,
38612.184,1781221335.593,-25.660,0.333,
38613.184,1781221336.593,-26.168,0.361,
38614.183,1781221337.593,-26.668,0.293,
38615.183,1781221338.593,-27.147,0.314,
38616.182,1781221339.593,-27.648,0.348,
38617.182,1781221340.593,-28.151,0.318,
38618.181,1781221341.593,-28.676,0.331,
38619.181,1781221342.593,-29.189,0.337,
38620.180,1781221343.593,-29.735,0.381,
38621.180,1781221344.593,-30.219,0.327,
38622.180,1781221345.593,-30.751,0.336,
38623.179,1781221346.593,-31.269,0.330,
38624.179,1781221347.593,-31.788,0.303,
38625.178,1781221348.593,-32.330,0.323,
38626.178,1781221349.593,-32.881,0.353,
38627.177,1781221350.593,-33.376,0.241,
38628.177,1781221351.593,-33.891,0.361,
38629.176,1781221352.593,-34.444,0.400,
38630.176,1781221353.593,-35.015,0.370,
38631.175,1781221354.593,-35.533,0.306,
38632.175,1781221355.593,-36.083,0.324,
38633.174,1781221356.593,-36.546,0.328,
38634.174,1781221357.593,-36.288,0.329,
38635.175,1781221358.593,-35.588,0.322,
38636.176,1781221359.593,-34.932,0.336,
38637.177,1781221360.593,-34.280,0.366,
38638.177,1781221361.593,-33.695,0.383,
38639.178,1781221362.593,-33.127,0.364,
38640.179,1781221363.593,-32.624,0.363,
38641.179,1781221364.593,-32.117,0.323,
38642.180,1781221365.593,-31.633,0.327,
38643.180,1781221366.593,-31.179,0.326,
38644.181,1781221367.593,-30.754,0.307,
38645.181,1781221368.593,-30.378,0.344,
38646.182,1781221369.593,-30.000,0.335,
38647.182,1781221370.593,-29.652,0.299,
38648.182,1781221371.593,-29.338,0.314,
38649.183,1781221372.593,-29.035,0.333,
38650.183,1781221373.593,-28.768,0.334,
38651.183,1781221374.593,-28.588,0.479,
38652.184,1781221375.593,-28.287,0.386,
38653.184,1781221376.593,-28.082,0.225,
38654.184,1781221377.593,-27.902,0.368,
38655.184,1781221378.593,-27.736,0.386,
38656.185,1781221379.593,-27.564,0.388,
38657.185,1781221380.593,-27.416,0.409,
38658.185,1781221381.593,-27.312,0.504,
38659.185,1781221382.593,-27.231,0.435,
38660.185,1781221383.593,-27.146,0.339,
38661.185,1781221384.593,-27.076,0.396,
38662.186,1781221385.593,-26.996,0.413,
38663.186,1781221386.593,-26.969,0.370,
38664.186,1781221387.593,-26.929,0.401,
38665.186,1781221388.593,-26.925,0.364,
38666.186,1781221389.593,-26.914,0.362,
38667.186,1781221390.593,-26.955,0.381,
38668.186,1781221391.593,-26.965,0.411,
38669.186,1781221392.593,-27.001,0.335,
38670.186,1781221393.593,-27.073,0.381,
38671.186,1781221394.593,-27.132,0.366,
38672.186,1781221395.593,-27.223,0.361,
38673.186,1781221396.593,-27.307,0.432,
38674.186,1781221397.593,-27.403,0.298,
38675.186,1781221398.593,-27.507,0.351,
38676.186,1781221399.593,-27.638,0.445,
38677.186,1781221400.593,-27.753,0.371,
38678.186,1781221401.593,-27.852,0.339,
38679.186,1781221402.593,-28.010,0.386,
38680.186,1781221403.593,-28.168,0.384,
38681.185,1781221404.593,-28.341,0.485,
38682.185,1781221405.593,-28.465,0.410,
38683.185,1781221406.593,-28.669,0.376,
38684.185,1781221407.593,-28.850,0.399,
38685.185,1781221408.593,-29.048,0.422,
38686.185,1781221409.593,-29.232,0.373,
38687.185,1781221410.593,-29.407,0.381,
38688.185,1781221411.593,-29.643,0.401,
38689.184,1781221412.593,-29.857,0.350,
38690.184,1781221413.593,-30.115,0.478,
38691.184,1781221414.593,-30.314,0.342,
38692.184,1781221415.593,-30.563,0.369,
38693.184,1781221416.593,-30.814,0.389,
38694.183,1781221417.593,-31.052,0.378,
38695.183,1781221418.593,-31.301,0.380,
38696.183,1781221419.593,-31.558,0.385,
38697.183,1781221420.593,-31.826,0.364,
38698.183,1781221421.593,-32.078,0.399,
38699.182,1781221422.593,-32.373,0.314,
38700.182,1781221423.593,-32.625,0.334,
38701.182,1781221424.593,-32.917,0.336,
38702.182,1781221425.593,-33.240,0.433,
38703.182,1781221426.593,-33.486,0.419,
38704.181,1781221427.593,-33.747,0.351,
38705.181,1781221428.593,-34.096,0.372,
38706.181,1781221429.593,-34.375,0.444,
38707.181,1781221430.593,-34.701,0.378,
38708.180,1781221431.593,-35.028,0.411,
38709.180,1781221432.593,-35.349,0.391,
38710.180,1781221433.593,-35.681,0.426,
38711.180,1781221434.593,-35.952,0.376,
38712.179,1781221435.593,-36.281,0.374,
38713.179,1781221436.593,-36.594,0.351,
38714.179,1781221437.593,-36.920,0.396,
38715.179,1781221438.593,-37.280,0.410,
38716.178,1781221439.593,-37.580,0.404,
38717.178,1781221440.593,-37.942,0.336,
38718.178,1781221441.593,-38.274,0.383,
38719.178,1781221442.593,-38.591,0.410,
38720.177,1781221443.593,-38.967,0.374,
38721.177,1781221444.593,-39.281,0.390,
