raw_s,wall_s,offset_ms,delay_ms,err
34874.396,1781217511.607,86399.971,0.353,
34875.398,1781217512.609,86400.890,0.403,
34876.399,1781217513.609,86401.847,0.351,
34877.400,1781217601.010,0.854,0.382,
34878.400,1781217602.010,1.801,0.357,
34879.401,1781217603.010,2.712,0.333,
34880.403,1781217604.010,3.656,0.332,
34881.404,1781217605.010,4.617,0.356,
34882.405,1781217606.010,5.502,0.463,
34883.405,1781217607.010,6.495,0.341,
34884.407,1781217608.010,7.449,0.430,
34885.408,1781217609.011,8.356,0.432,
34886.408,1781217610.010,9.306,0.377,
34887.409,1781217611.010,10.252,0.367,
34888.410,1781217612.010,11.200,0.358,
34889.411,1781217613.010,12.124,0.366,
34890.413,1781217614.010,13.108,0.366,
34891.414,1781217615.010,14.025,0.360,
34892.414,1781217616.010,14.956,0.371,
34893.416,1781217617.010,15.907,0.323,
34894.417,1781217618.010,16.816,0.400,
34895.418,1781217619.010,17.786,0.338,
34896.419,1781217620.010,18.725,0.349,
34897.419,1781217621.010,19.673,0.284,
34898.420,1781217622.010,20.579,0.427,
34899.421,1781217623.010,21.544,0.333,
34900.422,1781217624.010,22.476,0.331,
34901.424,1781217625.010,23.430,0.340,
34902.425,1781217626.010,24.413,0.333,
34903.426,1781217627.010,25.270,0.335,
34904.427,1781217628.010,26.220,0.390,
34905.427,1781217629.010,27.153,0.412,
34906.428,1781217630.009,28.103,0.300,
34907.429,1781217631.010,29.050,0.346,
34908.430,1781217632.010,29.999,0.335,
34909.431,1781217633.010,30.914,0.341,
34910.431,1781217634.011,29.953,0.409,
34911.430,1781217635.011,29.172,0.352,
34912.429,1781217636.010,28.474,0.261,
34913.429,1781217637.010,27.775,0.378,
34914.428,1781217638.011,27.271,0.400,
34915.428,1781217639.011,26.853,0.351,
34916.428,1781217640.011,26.506,0.361,
34917.428,1781217641.011,26.254,0.329,
34918.427,1781217642.010,26.130,0.286,
34919.427,1781217643.011,25.953,0.377,
34920.427,1781217644.010,25.903,0.400,
34921.427,1781217645.010,25.859,0.426,
34922.427,1781217646.010,25.954,0.294,
34923.428,1781217647.011,26.102,0.378,
34924.428,1781217648.011,26.271,0.340,
34925.428,1781217649.011,26.456,0.373,
34926.428,1781217650.011,26.782,0.472,
34927.429,1781217651.010,27.054,0.355,
34928.429,1781217652.011,27.410,0.400,
34929.430,1781217653.010,27.814,0.404,
34930.430,1781217654.011,28.207,0.363,
34931.431,1781217655.010,28.651,0.374,
34932.431,1781217656.010,29.142,0.362,
34933.432,1781217657.011,29.668,0.372,
34934.432,1781217658.011,30.188,0.359,
34935.433,1781217659.011,30.757,0.344,
34936.434,1781217660.010,31.346,0.336,
34937.434,1781217661.010,31.967,0.289,
34938.435,1781217662.010,32.566,0.377,
34939.436,1781217663.010,33.217,0.363,
34940.436,1781217664.010,33.894,0.365,
34941.437,1781217665.010,34.530,0.402,
34942.438,1781217666.010,35.276,0.346,
34943.439,1781217667.010,35.999,0.370,
34944.440,1781217668.011,36.720,0.371,
34945.440,1781217669.011,37.446,0.386,
34946.441,1781217670.011,38.234,0.329,
34947.442,1781217671.010,38.984,0.364,
34948.442,1781217672.010,39.787,0.423,
34949.444,1781217673.010,40.564,0.415,
34950.445,1781217674.011,41.336,0.409,
34951.445,1781217675.010,42.162,0.313,
34952.446,1781217676.010,42.966,0.377,
34953.447,1781217677.010,43.778,0.332,
34954.448,1781217678.010,44.623,0.353,
34955.449,1781217679.010,45.465,0.322,
34956.450,1781217680.010,46.321,0.309,
34957.451,1781217681.010,47.140,0.334,
34958.451,1781217682.010,48.008,0.353,
34959.453,1781217683.011,48.837,0.389,
34960.454,1781217684.011,49.703,0.402,
34961.455,1781217685.011,50.544,0.335,
34962.455,1781217686.010,51.476,0.211,
34963.456,1781217687.010,52.351,0.281,
34964.457,1781217688.010,53.223,0.355,
34965.458,1781217689.010,54.087,0.311,
34966.459,1781217690.010,55.003,0.361,
34967.460,1781217691.011,55.892,0.548,
34968.461,1781217692.010,56.788,0.327,
34969.462,1781217693.010,57.668,0.394,
34970.463,1781217694.011,58.586,0.364,
34971.464,1781217695.011,59.489,0.371,
34972.465,1781217696.011,60.417,0.305,
34973.466,1781217697.010,61.049,0.377,
34974.462,1781217698.011,57.737,0.219,
34975.459,1781217699.010,54.617,0.385,
34976.457,1781217700.011,51.742,0.347,
34977.454,1781217701.010,49.111,0.404,
34978.452,1781217702.011,46.645,0.415,
34979.449,1781217703.011,44.376,0.322,
34980.447,1781217704.011,42.257,0.394,
34981.445,1781217705.011,40.275,0.382,
34982.444,1781217706.011,38.495,0.159,
34983.442,1781217707.011,36.850,0.311,
34984.442,1781217708.012,35.311,0.417,
34985.439,1781217709.010,33.899,0.335,
34986.438,1781217710.011,32.593,0.362,
34987.437,1781217711.011,31.400,0.383,
34988.436,1781217712.010,30.299,0.463,
34989.435,1781217713.011,29.361,0.371,
34990.434,1781217714.011,28.461,0.371,
34991.433,1781217715.011,27.678,0.405,
34992.433,1781217716.010,26.956,0.336,
34993.432,1781217717.010,26.288,0.371,
34994.432,1781217718.010,25.694,0.365,
34995.431,1781217719.011,25.162,0.405,
34996.431,1781217720.011,24.729,0.353,
34997.430,1781217721.011,24.316,0.326,
34998.430,1781217722.011,23.971,0.397,
34999.430,1781217723.011,23.692,0.443,
35000.430,1781217724.011,23.446,0.312,
35001.430,1781217725.010,23.256,0.266,
35002.429,1781217726.010,23.111,0.345,
35003.429,1781217727.011,22.975,0.393,
35004.430,1781217728.011,22.863,0.398,
35005.429,1781217729.011,22.822,0.346,
35006.430,1781217730.011,22.808,0.432,
35007.429,1781217731.010,22.788,0.319,
35008.430,1781217732.010,22.845,0.397,
35009.430,1781217733.011,22.918,0.405,
35010.430,1781217734.010,23.029,0.340,
35011.430,1781217735.011,23.141,0.384,
35012.430,1781217736.011,23.276,0.325,
35013.430,1781217737.011,23.473,0.336,
35014.431,1781217738.010,23.636,0.325,
35015.431,1781217739.011,23.780,0.401,
35016.431,1781217740.010,24.009,0.355,
35017.431,1781217741.010,24.231,0.305,
35018.432,1781217742.011,24.463,0.396,
35019.432,1781217743.010,24.731,0.363,
35020.432,1781217744.010,25.011,0.348,
35021.433,1781217745.010,25.295,0.336,
35022.433,1781217746.010,25.562,0.394,
35023.433,1781217747.010,25.903,0.458,
35024.434,1781217748.010,26.185,0.419,
35025.434,1781217749.010,26.508,0.379,
35026.434,1781217750.010,26.838,0.371,
35027.435,1781217751.010,27.192,0.351,
35028.436,1781217752.011,27.527,0.365,
35029.436,1781217753.011,27.884,0.360,
35030.436,1781217754.010,28.244,0.362,
35031.437,1781217755.010,28.616,0.381,
35032.437,1781217756.010,28.997,0.272,
35033.438,1781217757.011,29.295,0.496,
35034.438,1781217758.010,29.778,0.415,
35035.438,1781217759.010,30.131,0.367,
35036.439,1781217760.010,30.518,0.395,
35037.439,1781217761.011,30.918,0.365,
35038.439,1781217762.011,30.415,0.339,
35039.439,1781217763.011,29.884,0.344,
35040.438,1781217764.011,29.409,0.285,
35041.438,1781217765.011,28.991,0.390,
35042.437,1781217766.011,28.575,0.399,
35043.437,1781217767.011,28.202,0.370,
35044.437,1781217768.011,27.836,0.367,
35045.437,1781217769.011,27.502,0.356,
35046.436,1781217770.011,27.216,0.340,
35047.436,1781217771.011,26.922,0.426,
35048.436,1781217772.011,26.653,0.380,
35049.436,1781217773.011,26.410,0.370,
35050.435,1781217774.010,26.186,0.363,
35051.435,1781217775.010,25.987,0.400,
35052.435,1781217776.011,25.782,0.389,
35053.435,1781217777.010,25.612,0.270,
35054.435,1781217778.011,25.501,0.403,
35055.435,1781217779.010,25.400,0.409,
35056.435,1781217780.011,25.305,0.406,
35057.435,1781217781.011,25.210,0.371,
35058.435,1781217782.010,25.122,0.377,
35059.435,1781217783.010,25.061,0.362,
35060.435,1781217784.010,25.025,0.363,
35061.435,1781217785.010,24.988,0.396,
35062.435,1781217786.010,24.960,0.442,
