raw_s,wall_s,kind,jump_ms
12479.664,1781195205.041,jump,-1.809
12479.770,1781195205.141,jump,-5.267
12479.875,1781195205.242,jump,-5.262
12479.981,1781195205.342,jump,-5.266
12480.086,1781195205.442,jump,-5.260
12480.192,1781195205.542,jump,-5.267
12480.297,1781195205.642,jump,-5.261
12480.402,1781195205.742,jump,-5.261
12480.508,1781195205.843,jump,-5.263
12480.613,1781195205.943,jump,-5.261
12480.719,1781195206.043,jump,-5.104
12480.823,1781195206.143,jump,-4.579
12480.928,1781195206.243,jump,-4.574
12481.033,1781195206.344,jump,-4.575
12481.138,1781195206.444,jump,-4.573
12481.242,1781195206.544,jump,-4.572
12481.347,1781195206.644,jump,-4.578
12481.452,1781195206.744,jump,-4.580
12481.557,1781195206.845,jump,-4.574
12481.661,1781195206.945,jump,-4.570
12481.766,1781195207.045,jump,-4.474
12481.870,1781195207.145,jump,-3.980
12481.974,1781195207.245,jump,-3.980
12482.078,1781195207.345,jump,-3.979
12482.182,1781195207.445,jump,-3.976
12482.287,1781195207.546,jump,-3.980
12482.391,1781195207.646,jump,-3.978
12482.495,1781195207.746,jump,-3.978
12482.599,1781195207.846,jump,-3.984
12482.703,1781195207.946,jump,-3.981
12482.807,1781195208.046,jump,-3.928
12482.911,1781195208.147,jump,-3.467
12483.015,1781195208.247,jump,-3.465
12483.118,1781195208.347,jump,-3.465
12483.222,1781195208.447,jump,-3.478
12483.325,1781195208.547,jump,-3.448
12483.429,1781195208.647,jump,-3.465
12483.533,1781195208.748,jump,-3.463
12483.636,1781195208.848,jump,-3.467
12483.740,1781195208.948,jump,-3.465
12483.844,1781195209.048,jump,-3.453
12483.947,1781195209.148,jump,-3.018
12484.050,1781195209.249,jump,-3.022
12484.153,1781195209.349,jump,-3.019
12484.256,1781195209.449,jump,-3.019
12484.360,1781195209.549,jump,-3.017
12484.463,1781195209.649,jump,-3.020
12484.566,1781195209.749,jump,-3.018
12484.669,1781195209.850,jump,-3.022
12484.772,1781195209.950,jump,-3.018
12484.875,1781195210.050,jump,-2.860
12484.978,1781195210.150,jump,-2.634
12485.081,1781195210.250,jump,-2.633
12485.184,1781195210.351,jump,-2.649
12485.287,1781195210.451,jump,-2.620
12485.390,1781195210.551,jump,-2.634
12485.493,1781195210.651,jump,-2.633
12485.595,1781195210.752,jump,-2.631
12485.698,1781195210.852,jump,-2.635
12485.801,1781195210.952,jump,-2.633
12485.904,1781195211.052,jump,-2.477
12486.007,1781195211.153,jump,-2.295
12486.109,1781195211.253,jump,-2.297
12486.212,1781195211.353,jump,-2.296
12486.314,1781195211.453,jump,-2.296
12486.416,1781195211.553,jump,-2.294
12486.519,1781195211.653,jump,-2.295
12486.621,1781195211.754,jump,-2.295
12486.724,1781195211.854,jump,-2.296
12486.826,1781195211.954,jump,-2.297
12486.929,1781195212.054,jump,-2.177
12487.031,1781195212.155,jump,-2.005
12487.133,1781195212.255,jump,-2.001
12487.236,1781195212.355,jump,-2.004
12487.338,1781195212.455,jump,-2.001
12487.440,1781195212.555,jump,-2.003
12487.542,1781195212.655,jump,-2.002
12487.644,1781195212.756,jump,-2.005
12487.746,1781195212.856,jump,-2.003
12487.849,1781195212.956,jump,-2.002
12487.951,1781195213.056,jump,-1.914
12488.053,1781195213.156,jump,-1.748
12488.155,1781195213.257,jump,-1.750
12488.257,1781195213.357,jump,-1.749
12488.358,1781195213.457,jump,-1.747
12488.460,1781195213.557,jump,-1.749
12488.562,1781195213.657,jump,-1.748
12488.664,1781195213.758,jump,-1.750
12488.766,1781195213.858,jump,-1.748
12488.868,1781195213.958,jump,-1.750
12488.970,1781195214.058,jump,-1.686
12489.072,1781195214.159,jump,-1.528
12489.174,1781195214.259,jump,-1.526
12489.276,1781195214.359,jump,-1.527
12489.377,1781195214.459,jump,-1.527
12489.479,1781195214.560,jump,-1.527
12489.581,1781195214.660,jump,-1.526
12489.683,1781195214.760,jump,-1.532
12489.784,1781195214.860,jump,-1.523
12489.886,1781195214.960,jump,-1.527
12489.988,1781195215.061,jump,-1.482
12490.089,1781195215.161,jump,-1.334
12490.191,1781195215.261,jump,-1.333
12490.293,1781195215.361,jump,-1.334
12490.394,1781195215.462,jump,-1.333
12490.496,1781195215.562,jump,-1.335
12490.597,1781195215.662,jump,-1.334
12490.699,1781195215.762,jump,-1.333
12490.800,1781195215.863,jump,-1.334
12490.902,1781195215.963,jump,-1.333
12491.003,1781195216.063,jump,-1.291
12491.105,1781195216.163,jump,-1.165
12491.206,1781195216.263,jump,-1.166
12491.308,1781195216.364,jump,-1.166
12491.409,1781195216.464,jump,-1.163
12491.510,1781195216.564,jump,-1.164
12491.612,1781195216.664,jump,-1.164
12491.713,1781195216.764,jump,-1.164
12491.814,1781195216.864,jump,-1.165
12491.916,1781195216.965,jump,-1.164
12492.017,1781195217.065,jump,-1.148
12492.118,1781195217.165,jump,-1.017
12492.219,1781195217.265,jump,-1.017
12492.320,1781195217.365,jump,-1.016
12492.421,1781195217.465,jump,-1.017
12492.523,1781195217.565,jump,-1.018
12492.624,1781195217.666,jump,-1.017
12492.725,1781195217.766,jump,-1.017
12492.826,1781195217.866,jump,-1.018
12492.928,1781195217.966,jump,-1.018
12537.482,1781195262.459,hb,
