raw_s,wall_s,offset_ms,delay_ms,err
40599.448,1781223322.711,-0.513,0.376,
40600.449,1781223323.712,-0.585,0.345,
40601.449,1781223324.712,-0.617,0.363,
40602.454,1781223325.762,-45.717,0.381,
40603.460,1781223326.762,-39.640,0.433,
40604.465,1781223327.762,-34.267,0.337,
40605.470,1781223328.762,-29.574,0.358,
40606.474,1781223329.762,-25.428,0.357,
40607.478,1781223330.762,-21.753,0.354,
40608.481,1781223331.762,-18.509,0.343,
40609.484,1781223332.762,-15.637,0.391,
40610.487,1781223333.761,-13.075,0.392,
40611.489,1781223334.762,-10.786,0.399,
40612.491,1781223335.762,-8.841,0.453,
40613.493,1781223336.762,-6.976,0.332,
40614.495,1781223337.762,-5.384,0.377,
40615.496,1781223338.762,-3.936,0.366,
40616.498,1781223339.761,-2.645,0.348,
40617.499,1781223340.762,-1.462,0.360,
40618.500,1781223341.762,-0.404,0.356,
40619.501,1781223342.762,0.551,0.413,
40620.502,1781223343.762,1.438,0.375,
40621.502,1781223344.761,2.212,0.430,
40622.504,1781223345.762,2.977,0.384,
40623.505,1781223346.762,3.658,0.448,
40624.505,1781223347.762,4.311,0.411,
40625.506,1781223348.761,4.889,0.372,
40626.506,1781223349.762,5.424,0.408,
40627.507,1781223350.762,5.976,0.334,
40628.507,1781223351.761,6.462,0.368,
40629.508,1781223352.762,6.924,0.356,
40630.509,1781223353.762,7.361,0.363,
40631.509,1781223354.762,7.746,0.378,
40632.510,1781223355.762,8.171,0.362,
40633.510,1781223356.762,8.566,0.345,
40634.511,1781223357.762,8.877,0.369,
40635.510,1781223358.762,8.774,0.291,
40636.510,1781223359.762,8.425,0.362,
40637.510,1781223360.762,8.159,0.354,
40638.510,1781223361.762,7.917,0.353,
40639.510,1781223362.762,7.704,0.384,
40640.510,1781223363.762,7.521,0.381,
40641.510,1781223364.762,7.370,0.411,
40642.509,1781223365.762,7.239,0.415,
40643.509,1781223366.762,7.103,0.352,
40644.509,1781223367.762,7.012,0.375,
40645.509,1781223368.762,6.924,0.385,
40646.509,1781223369.762,6.890,0.384,
40647.509,1781223370.762,6.838,0.348,
40648.509,1781223371.762,6.804,0.412,
40649.509,1781223372.762,6.817,0.309,
40650.509,1781223373.762,6.833,0.404,
40651.509,1781223374.762,6.843,0.368,
40652.510,1781223375.762,6.869,0.319,
40653.510,1781223376.762,6.913,0.376,
40654.510,1781223377.762,6.956,0.342,
40655.510,1781223378.762,7.049,0.350,
40656.510,1781223379.762,7.145,0.291,
40657.510,1781223380.762,7.178,0.347,
40658.510,1781223381.762,7.272,0.361,
40659.510,1781223382.762,7.372,0.370,
40660.511,1781223383.762,7.502,0.367,
40661.511,1781223384.762,7.554,0.294,
40662.511,1781223385.762,7.720,0.333,
40663.511,1781223386.762,7.863,0.362,
40664.511,1781223387.762,7.978,0.377,
40665.511,1781223388.762,8.109,0.371,
40666.512,1781223389.762,8.250,0.345,
40667.512,1781223390.762,8.375,0.398,
40668.512,1781223391.762,8.503,0.426,
40669.512,1781223392.762,8.728,0.423,
40670.513,1781223393.762,8.855,0.373,
40671.513,1781223394.762,9.014,0.389,
40672.513,1781223395.762,9.186,0.348,
40673.513,1781223396.762,9.361,0.382,
40674.513,1781223397.762,9.537,0.378,
40675.514,1781223398.762,9.688,0.351,
40676.514,1781223399.762,9.888,0.401,
