raw_s,wall_s,offset_ms,delay_ms,err
40853.808,1781223577.055,-0.500,0.439,
40854.809,1781223578.056,-0.471,0.324,
40855.809,1781223579.056,-0.544,0.226,
40856.809,1781223580.056,-0.597,0.298,
40857.809,1781223581.056,-0.664,0.348,
40858.809,1781223582.056,-0.702,0.272,
40859.809,1781223583.056,-0.773,0.288,
40860.809,1781223584.056,-0.849,0.337,
40861.809,1781223585.056,-0.907,0.323,
40862.809,1781223586.056,-0.971,0.362,
40863.809,1781223587.056,-1.000,0.304,
40864.809,1781223588.056,-1.051,0.338,
40865.809,1781223589.056,-1.126,0.296,
40866.809,1781223590.056,-1.185,0.297,
40867.809,1781223591.056,-1.234,0.270,
40868.809,1781223592.056,-1.305,0.319,
40869.809,1781223593.056,-1.384,0.295,
40870.809,1781223594.056,-1.447,0.306,
40871.809,1781223595.056,-1.465,0.310,
40872.809,1781223596.056,-1.516,0.194,
40873.809,1781223597.056,-1.563,0.264,
40874.809,1781223598.056,-1.639,0.185,
40875.809,1781223599.056,-1.702,0.284,
40876.809,1781223600.056,-1.776,0.328,
40877.809,1781223601.056,-1.847,0.293,
40878.809,1781223602.056,-1.904,0.317,
40879.809,1781223603.056,-1.976,0.309,
40880.809,1781223604.056,-2.036,0.317,
40881.809,1781223605.056,-2.094,0.303,
40882.809,1781223606.056,-2.169,0.208,
40883.809,1781223607.056,-2.212,0.320,
40884.809,1781223608.056,-2.277,0.291,
40885.809,1781223609.056,-2.334,0.293,
40886.809,1781223610.056,-2.390,0.306,
40887.809,1781223611.056,-2.444,0.298,
40888.809,1781223612.056,-2.484,0.235,
40889.809,1781223613.056,-2.579,0.291,
40890.809,1781223614.056,-2.598,0.232,
40891.809,1781223615.056,-2.697,0.284,
40892.809,1781223616.056,-2.720,0.323,
40893.809,1781223617.056,-2.838,0.334,
40894.809,1781223618.056,-2.881,0.305,
40895.809,1781223619.056,-2.940,0.310,
40896.809,1781223620.056,-3.002,0.304,
40897.809,1781223621.056,-3.074,0.320,
40898.809,1781223622.056,-3.113,0.321,
40899.809,1781223623.056,-3.182,0.326,
40900.809,1781223624.056,-3.261,0.380,
40901.809,1781223625.056,-3.308,0.305,
40902.809,1781223626.056,-3.330,0.333,
40903.809,1781223627.056,-3.440,0.214,
40904.809,1781223628.056,-3.514,0.290,
40905.809,1781223629.056,-3.549,0.311,
40906.809,1781223630.056,-3.603,0.305,
