raw_s,cpu_ns,mem_bytes,ntp_pkts
40913.808,47608000,1347584,62
40973.839,47608000,1347584,122
41033.867,47682000,1347584,182
41093.897,47897000,1347584,243
41153.926,47991000,1347584,303
41213.953,47991000,1347584,363
41273.981,48061000,1347584,423
41334.011,48295000,1351680,484
41394.041,48295000,1351680,544
41454.071,48411000,1351680,604
41514.101,48411000,1351680,664
41574.128,48488000,1355776,724
41634.157,48488000,1355776,784
41694.185,48572000,1355776,844
41754.212,48572000,1355776,904
41814.240,48900000,1355776,965
41874.271,48900000,1355776,1025
41934.301,48983000,1355776,1085
41994.330,48983000,1355776,1145
42054.360,49069000,1355776,1205
42114.389,49069000,1355776,1265
42174.418,49152000,1355776,1325
42234.446,49152000,1355776,1385
42294.474,49244000,1355776,1445
42354.502,49329000,1351680,1505
42414.530,49428000,1355776,1565
42474.558,49428000,1355776,1625
42534.586,49524000,1355776,1685
42594.614,49524000,1355776,1745
42654.642,49588000,1355776,1805
42714.670,49588000,1355776,1865
42774.698,49669000,1355776,1925
42834.726,49894000,1355776,1986
42894.756,49894000,1355776,2046
42954.787,49973000,1355776,2106
43014.817,49973000,1355776,2166
43074.847,50061000,1355776,2226
43134.876,50061000,1355776,2286
43194.906,50160000,1355776,2346
43254.936,50244000,1351680,2407
43314.966,50322000,1355776,2467
43374.995,50322000,1355776,2527
43435.024,50429000,1355776,2587
43495.053,50429000,1355776,2647
43555.081,50519000,1355776,2707
43615.110,50519000,1355776,2767
43675.138,50591000,1355776,2827
43735.166,50591000,1355776,2887
43795.195,50674000,1355776,2947
43855.224,50674000,1355776,3007
43915.253,50759000,1355776,3067
43975.282,50759000,1355776,3127
44035.310,50877000,1355776,3187
44095.340,50877000,1355776,3247
44155.369,51001000,1351680,3307
44215.397,51001000,1351680,3367
44275.426,51088000,1355776,3427
44335.455,51088000,1355776,3487
44395.484,51182000,1355776,3547
44455.512,51182000,1355776,3607
44515.541,51258000,1355776,3667
44575.569,51258000,1355776,3727
44635.597,51344000,1355776,3787
44695.626,51344000,1355776,3847
44755.654,51436000,1355776,3907
44815.683,51436000,1355776,3967
44875.711,51527000,1355776,4027
44935.742,51748000,1355776,4088
44995.773,51840000,1355776,4148
45055.805,51941000,1355776,4208
45115.836,52008000,1359872,4268
45175.867,52008000,1359872,4328
45235.897,52086000,1359872,4388
45295.927,52086000,1359872,4448
45355.957,52157000,1359872,4508
45415.987,52157000,1359872,4568
45476.018,52236000,1359872,4628
45536.049,52236000,1359872,4688
45596.080,52307000,1359872,4749
45656.109,52307000,1359872,4809
45716.139,52377000,1359872,4869
45776.168,52377000,1359872,4929
45836.197,52454000,1359872,4989
45896.227,52454000,1359872,5049
45956.257,52569000,1355776,5109
46016.287,52569000,1355776,5169
46076.317,52672000,1359872,5229
46136.347,52672000,1359872,5289
46196.377,52772000,1359872,5349
46256.406,52772000,1359872,5409
46316.435,52844000,1359872,5469
46376.463,52844000,1359872,5529
46436.492,52914000,1359872,5589
46496.521,52914000,1359872,5649
46556.550,53027000,1359872,5709
46616.579,53027000,1359872,5769
46676.608,53118000,1359872,5829
46736.637,53118000,1359872,5889
46796.666,53199000,1359872,5949
46856.694,53281000,1355776,6009
46916.723,53350000,1359872,6069
46976.753,53572000,1359872,6130
47036.782,53664000,1359872,6190
47096.813,53664000,1359872,6250
47156.842,53768000,1359872,6310
47216.872,53768000,1359872,6370
47276.902,53848000,1359872,6430
47336.932,53848000,1359872,6490
47396.961,53939000,1359872,6550
47456.991,53939000,1359872,6610
47517.020,54022000,1359872,6670
47577.050,54022000,1359872,6730
47637.079,54113000,1359872,6790
47697.108,54113000,1359872,6850
47757.138,54227000,1355776,6910
47817.166,54227000,1355776,6970
47877.196,54309000,1359872,7030
47937.225,54309000,1359872,7090
47997.254,54450000,1359872,7151
48057.284,54450000,1359872,7211
48117.313,54575000,1355776,7271
48177.342,54575000,1355776,7331
48237.371,54641000,1359872,7391
48297.400,54641000,1359872,7451
48357.429,54756000,1359872,7511
48417.457,54756000,1359872,7571
48477.486,54881000,1359872,7631
48537.515,54881000,1359872,7691
48597.543,54992000,1359872,7751
48657.572,55069000,1355776,7811
48717.601,55151000,1359872,7871
48777.631,55151000,1359872,7931
48837.660,55245000,1359872,7991
48897.689,55245000,1359872,8051
48957.719,55313000,1359872,8111
49017.749,55556000,1359872,8172
49077.778,55556000,1359872,8232
49137.808,55704000,1359872,8292
49197.838,55704000,1359872,8352
49257.867,55785000,1359872,8412
49317.897,55785000,1359872,8472
49377.927,55867000,1359872,8532
49437.956,55867000,1359872,8592
49497.985,55967000,1359872,8652
49558.015,56059000,1355776,8712
49618.045,56124000,1359872,8772
49678.074,56124000,1359872,8832
49738.104,56211000,1359872,8892
49798.133,56211000,1359872,8952
49858.162,56295000,1359872,9012
49918.191,56295000,1359872,9072
49978.220,56373000,1359872,9132
50038.249,56373000,1359872,9192
50098.278,56464000,1359872,9252
50158.308,56464000,1359872,9312
50218.338,56551000,1359872,9372
50278.366,56551000,1359872,9432
50338.396,56618000,1359872,9493
50398.425,56618000,1359872,9553
50458.453,56728000,1355776,9613
50518.482,56728000,1355776,9673
50578.512,56801000,1359872,9733
50638.541,56801000,1359872,9793
50698.569,56893000,1359872,9853
50758.598,56893000,1359872,9913
50818.627,56993000,1359872,9973
50878.657,56993000,1359872,10033
50938.687,57080000,1359872,10093
50998.715,57080000,1359872,10153
51058.744,57322000,1359872,10214
51118.773,57322000,1359872,10274
51178.802,57422000,1359872,10334
51238.832,57422000,1359872,10394
51298.861,57500000,1359872,10454
51358.891,57579000,1355776,10514
51418.920,57644000,1359872,10574
51478.949,57644000,1359872,10634
51538.978,57717000,1359872,10694
51599.007,57717000,1359872,10754
51659.035,57795000,1359872,10814
51719.064,57795000,1359872,10874
51779.093,57879000,1359872,10934
51839.122,57879000,1359872,10994
51899.151,57960000,1359872,11054
51959.183,57960000,1359872,11114
52019.213,58048000,1359872,11174
52079.241,58048000,1359872,11234
52139.271,58160000,1359872,11294
52199.301,58160000,1359872,11354
52259.331,58278000,1355776,11414
52319.360,58278000,1355776,11474
52379.388,58361000,1359872,11534
52439.417,58361000,1359872,11594
52499.447,58444000,1359872,11654
52559.475,58444000,1359872,11714
52619.504,58528000,1359872,11774
52679.534,58528000,1359872,11835
52739.564,58610000,1359872,11895
52799.593,58610000,1359872,11955
52859.623,58745000,1359872,12015
52919.652,58745000,1359872,12075
52979.682,58873000,1359872,12135
53039.711,58873000,1359872,12195
53099.742,59313000,1359872,12256
53159.771,59384000,1355776,12316
53219.800,59478000,1359872,12376
53279.829,59478000,1359872,12436
53339.858,59556000,1359872,12496
53399.887,59556000,1359872,12556
53459.918,59640000,1359872,12616
53519.948,59640000,1359872,12676
53579.977,59722000,1359872,12736
53640.006,59722000,1359872,12796
53700.035,59819000,1359872,12856
53760.064,59819000,1359872,12916
53820.093,59904000,1359872,12976
53880.122,59904000,1359872,13036
53940.151,59995000,1359872,13096
54000.180,59995000,1359872,13156
54060.209,60115000,1355776,13216
54120.238,60115000,1355776,13276
54180.267,60194000,1359872,13336
54240.296,60194000,1359872,13396
54300.325,60276000,1359872,13456
54360.354,60276000,1359872,13516
54420.384,60360000,1359872,13576
54480.413,60360000,1359872,13636
54540.442,60462000,1359872,13696
54600.471,60462000,1359872,13756
54660.499,60535000,1359872,13816
54720.528,60535000,1359872,13876
54780.556,60639000,1359872,13936
54840.585,60639000,1359872,13996
54900.614,60717000,1359872,14056
54960.643,60803000,1355776,14116
55020.673,60887000,1359872,14177
55080.702,60887000,1359872,14237
55140.731,61168000,1359872,14298
55200.760,61168000,1359872,14358
