raw_s,wall_s,kind,wall_elapsed_ms,raw_elapsed_ms
40913.867,1781223637.114,hb,,
40973.936,1781223697.179,hb,,
41034.001,1781223757.243,hb,,
41094.070,1781223817.307,hb,,
41154.139,1781223877.373,hb,,
41214.207,1781223937.438,hb,,
41274.274,1781223997.503,hb,,
41334.343,1781224057.568,hb,,
41394.413,1781224117.634,hb,,
41454.483,1781224177.699,hb,,
41514.549,1781224237.763,hb,,
41574.618,1781224297.829,hb,,
41634.688,1781224357.896,hb,,
41694.754,1781224417.960,hb,,
41754.821,1781224478.025,hb,,
41814.889,1781224538.090,hb,,
41874.960,1781224598.156,hb,,
41935.029,1781224658.220,hb,,
41995.098,1781224718.285,hb,,
42055.168,1781224778.351,hb,,
42115.236,1781224838.416,hb,,
42175.306,1781224898.482,hb,,
42235.375,1781224958.547,hb,,
42295.443,1781225018.613,hb,,
42355.512,1781225078.679,hb,,
42415.581,1781225138.745,hb,,
42475.651,1781225198.812,hb,,
42535.721,1781225258.879,hb,,
42595.790,1781225318.946,hb,,
42655.857,1781225379.010,hb,,
42715.925,1781225439.075,hb,,
42775.993,1781225499.141,hb,,
42836.061,1781225559.206,hb,,
42896.131,1781225619.271,hb,,
42956.201,1781225679.337,hb,,
43016.272,1781225739.403,hb,,
43076.342,1781225799.469,hb,,
43136.413,1781225859.535,hb,,
43196.483,1781225919.601,hb,,
43256.553,1781225979.668,hb,,
43316.622,1781226039.733,hb,,
43376.691,1781226099.798,hb,,
43436.759,1781226159.862,hb,,
43496.828,1781226219.928,hb,,
43556.897,1781226279.994,hb,,
43616.965,1781226340.058,hb,,
43677.035,1781226400.125,hb,,
43737.103,1781226460.190,hb,,
43797.173,1781226520.257,hb,,
43857.242,1781226580.323,hb,,
43917.310,1781226640.388,hb,,
43977.379,1781226700.453,hb,,
44037.447,1781226760.519,hb,,
44097.517,1781226820.585,hb,,
44157.584,1781226880.650,hb,,
44217.653,1781226940.715,hb,,
44277.722,1781227000.782,hb,,
44337.789,1781227060.846,hb,,
44397.857,1781227120.911,hb,,
44457.926,1781227180.977,hb,,
44517.992,1781227241.040,hb,,
44578.057,1781227301.102,hb,,
44638.127,1781227361.169,hb,,
44698.194,1781227421.233,hb,,
44758.262,1781227481.298,hb,,
44818.329,1781227541.363,hb,,
44878.399,1781227601.429,hb,,
44938.470,1781227661.495,hb,,
44998.542,1781227721.560,hb,,
45058.612,1781227781.623,hb,,
45118.683,1781227841.689,hb,,
45178.755,1781227901.756,hb,,
45238.826,1781227961.822,hb,,
45298.898,1781228021.888,hb,,
45358.970,1781228081.955,hb,,
45419.040,1781228142.021,hb,,
45479.110,1781228202.086,hb,,
45539.180,1781228262.152,hb,,
45599.249,1781228322.217,hb,,
45659.316,1781228382.279,hb,,
45719.386,1781228442.345,hb,,
45779.456,1781228502.411,hb,,
45839.526,1781228562.477,hb,,
45899.596,1781228622.543,hb,,
45959.666,1781228682.609,hb,,
46019.736,1781228742.675,hb,,
46079.806,1781228802.742,hb,,
46139.876,1781228862.808,hb,,
