raw_s,wall_s,kind,jump_ms
40913.833,1781223637.080,hb,
40973.871,1781223697.113,hb,
41033.906,1781223757.147,hb,
41093.942,1781223817.178,hb,
41153.976,1781223877.209,hb,
41214.010,1781223937.241,hb,
41274.042,1781223997.271,hb,
41334.074,1781224057.299,hb,
41394.107,1781224117.327,hb,
41454.141,1781224177.357,hb,
41514.171,1781224237.385,hb,
41574.205,1781224297.416,hb,
41634.236,1781224357.444,hb,
41694.267,1781224417.473,hb,
41754.302,1781224477.505,hb,
41814.332,1781224537.534,hb,
41874.369,1781224597.565,hb,
41934.405,1781224657.596,hb,
41994.438,1781224717.625,hb,
42054.469,1781224777.653,hb,
42114.502,1781224837.682,hb,
42174.538,1781224897.714,hb,
42234.572,1781224957.745,hb,
42294.606,1781225017.776,hb,
42354.638,1781225077.805,hb,
42414.670,1781225137.834,hb,
42474.701,1781225197.863,hb,
42534.733,1781225257.891,hb,
42594.766,1781225317.922,hb,
42654.799,1781225377.953,hb,
42714.833,1781225437.984,hb,
42774.863,1781225498.011,hb,
42834.893,1781225558.039,hb,
42894.928,1781225618.069,hb,
42954.961,1781225678.097,hb,
43014.995,1781225738.126,hb,
43075.028,1781225798.155,hb,
43135.062,1781225858.185,hb,
43195.095,1781225918.213,hb,
43255.126,1781225978.241,hb,
43315.150,1781226038.261,hb,
43375.186,1781226098.293,hb,
43435.220,1781226158.323,hb,
43495.253,1781226218.353,hb,
43555.287,1781226278.384,hb,
43615.320,1781226338.413,hb,
43675.354,1781226398.445,hb,
43735.385,1781226458.472,hb,
43795.418,1781226518.502,hb,
43855.453,1781226578.534,hb,
43915.492,1781226638.569,hb,
43975.527,1781226698.601,hb,
44035.559,1781226758.631,hb,
44095.596,1781226818.664,hb,
44155.628,1781226878.694,hb,
44215.661,1781226938.724,hb,
44275.696,1781226998.756,hb,
44335.731,1781227058.787,hb,
44395.763,1781227118.817,hb,
44455.799,1781227178.850,hb,
44515.834,1781227238.882,hb,
44575.866,1781227298.911,hb,
44635.899,1781227358.941,hb,
44695.934,1781227418.974,hb,
44755.966,1781227479.002,hb,
44816.000,1781227539.033,hb,
44876.033,1781227599.063,hb,
44936.068,1781227659.092,hb,
44996.100,1781227719.118,hb,
45056.134,1781227779.146,hb,
45116.168,1781227839.175,hb,
45176.202,1781227899.203,hb,
45236.239,1781227959.235,hb,
45296.274,1781228019.265,hb,
45356.310,1781228079.295,hb,
45416.344,1781228139.325,hb,
45476.379,1781228199.355,hb,
45536.413,1781228259.385,hb,
45596.445,1781228319.413,hb,
45656.479,1781228379.442,hb,
45716.514,1781228439.473,hb,
45776.549,1781228499.504,hb,
45836.582,1781228559.533,hb,
45896.618,1781228619.565,hb,
45956.649,1781228679.592,hb,
46016.683,1781228739.622,hb,
46076.717,1781228799.652,hb,
46136.750,1781228859.682,hb,
46196.784,1781228919.712,hb,
46256.816,1781228979.740,hb,
46316.850,1781229039.770,hb,
46376.883,1781229099.800,hb,
46436.914,1781229159.827,hb,
46496.948,1781229219.858,hb,
46556.985,1781229279.891,hb,
46617.019,1781229339.921,hb,
46677.050,1781229399.949,hb,
46737.083,1781229459.978,hb,
46797.115,1781229520.006,hb,
46857.147,1781229580.035,hb,
46917.181,1781229640.066,hb,
46977.216,1781229700.096,hb,
47037.248,1781229760.124,hb,
47097.281,1781229820.153,hb,
47157.313,1781229880.181,hb,
47217.346,1781229940.209,hb,
47277.377,1781230000.237,hb,
47337.409,1781230060.265,hb,
47397.440,1781230120.291,hb,
47457.472,1781230180.319,hb,
47517.503,1781230240.346,hb,
