raw_s,cpu_ns,mem_bytes,ntp_pkts
101839.965,46327000,1347584,62
101899.994,46327000,1347584,122
101960.031,46327000,1347584,182
102020.056,46574000,1347584,243
102080.088,46574000,1347584,303
102140.123,46684000,1347584,363
102200.159,46684000,1347584,423
102260.189,47001000,1351680,484
102320.217,47001000,1351680,544
102380.246,47085000,1351680,604
102440.278,47085000,1351680,664
102500.312,47159000,1351680,724
102560.347,47159000,1351680,784
102620.381,47339000,1351680,844
102680.415,47339000,1351680,904
102740.449,47629000,1355776,965
102800.474,47629000,1355776,1025
102860.501,47727000,1355776,1085
102920.528,47727000,1355776,1145
102980.557,47802000,1355776,1205
103040.587,47802000,1355776,1265
103100.618,47866000,1355776,1325
103160.650,47866000,1355776,1385
103220.682,47960000,1355776,1445
103280.714,47960000,1355776,1505
103340.746,48033000,1355776,1565
103400.779,48033000,1355776,1625
103460.811,48135000,1355776,1685
103520.845,48244000,1351680,1745
103580.878,48244000,1351680,1805
103640.911,48244000,1351680,1865
103700.945,48329000,1355776,1925
103760.979,48568000,1355776,1986
103820.996,48568000,1355776,2046
103881.016,48568000,1355776,2106
103941.039,48657000,1355776,2166
104001.063,48657000,1355776,2226
104061.089,48724000,1355776,2286
104121.117,48724000,1355776,2347
104181.139,49085000,1351680,2411
104241.053,49284000,1355776,2472
