raw_s,wall_s,kind,jump_ms
101839.982,1781284559.473,hb,
101900.009,1781284619.499,hb,
101960.041,1781284679.519,hb,
102020.071,1781284739.550,hb,
102080.102,1781284799.575,hb,
102140.138,1781284859.603,hb,
102200.174,1781284919.630,hb,
102260.203,1781284979.657,hb,
102320.233,1781285039.687,hb,
102380.262,1781285099.712,hb,
102440.294,1781285159.738,hb,
102500.325,1781285219.762,hb,
102560.357,1781285279.787,hb,
102620.391,1781285339.813,hb,
102680.423,1781285399.836,hb,
102740.458,1781285459.863,hb,
102800.486,1781285519.893,hb,
102860.516,1781285579.923,hb,
102920.549,1781285639.954,hb,
102980.577,1781285699.979,hb,
103040.606,1781285760.004,hb,
103100.637,1781285820.030,hb,
103160.670,1781285880.058,hb,
103220.702,1781285940.084,hb,
103280.738,1781286000.114,hb,
103340.772,1781286060.141,hb,
103400.808,1781286120.170,hb,
103460.843,1781286180.199,hb,
103520.878,1781286240.227,hb,
103580.909,1781286300.251,hb,
103640.944,1781286360.278,hb,
103700.979,1781286420.306,hb,
103761.015,1781286480.334,hb,
103821.041,1781286540.369,hb,
103881.067,1781286600.401,hb,
103941.095,1781286660.432,hb,
104001.123,1781286720.461,hb,
104061.153,1781286780.491,hb,
104121.185,1781286840.522,hb,
104180.415,1781286899.670,jump,-79.970
104180.915,1781286900.173,jump,1.391
104181.014,1781286900.273,jump,1.374
104181.115,1781286900.375,jump,1.392
104181.214,1781286900.475,jump,1.375
104181.214,1781286900.475,hb,
104181.314,1781286900.577,jump,1.390
104181.414,1781286900.678,jump,1.389
104181.514,1781286900.780,jump,1.389
104181.614,1781286900.881,jump,1.388
104181.715,1781286900.983,jump,1.390
104181.814,1781286901.083,jump,1.241
104181.913,1781286901.184,jump,1.216
104182.013,1781286901.285,jump,1.212
104182.112,1781286901.385,jump,1.210
104182.211,1781286901.486,jump,1.210
104182.310,1781286901.586,jump,1.209
104182.409,1781286901.686,jump,1.209
104182.508,1781286901.787,jump,1.210
104182.608,1781286901.888,jump,1.217
104182.708,1781286901.989,jump,1.222
104182.808,1781286902.090,jump,1.102
104182.908,1781286902.191,jump,1.076
104183.008,1781286902.292,jump,1.068
104183.107,1781286902.392,jump,1.067
104183.206,1781286902.493,jump,1.066
104183.306,1781286902.593,jump,1.066
104183.405,1781286902.693,jump,1.066
104183.504,1781286902.794,jump,1.066
104183.604,1781286902.894,jump,1.067
104183.704,1781286902.995,jump,1.076
104241.180,1781286960.553,hb,
