raw_s,wall_s,offset_ms,delay_ms,err
101097.940,1781283817.491,0.003,0.364,
101098.941,1781283818.492,-0.026,0.355,
101099.941,1781283819.492,-0.007,0.304,
101100.941,1781283820.492,-0.021,0.329,
101101.941,1781283821.492,-0.021,0.332,
101102.942,1781283822.492,-0.005,0.295,
101103.942,1781283823.492,-0.081,0.394,
101104.942,1781283824.492,-0.037,0.343,
101105.942,1781283825.492,-0.013,0.404,
101106.942,1781283826.492,-0.019,0.347,
101107.942,1781283827.492,-0.020,0.396,
101108.942,1781283828.492,-0.029,0.341,
101109.942,1781283829.492,-0.012,0.358,
101110.942,1781283830.492,-0.055,0.383,
101111.942,1781283831.492,-0.015,0.304,
101112.942,1781283832.492,-0.047,0.359,
101113.942,1781283833.492,0.001,0.326,
101114.942,1781283834.492,-0.040,0.321,
101115.942,1781283835.492,-0.001,0.272,
101116.942,1781283836.492,-0.016,0.290,
101117.942,1781283837.492,-0.041,0.336,
101118.942,1781283838.492,-0.018,0.295,
101119.943,1781283839.492,-0.036,0.347,
101120.943,1781283840.492,-0.043,0.316,
101121.943,1781283841.492,-0.029,0.290,
101122.943,1781283842.492,-0.038,0.334,
101123.943,1781283843.492,-0.039,0.331,
101124.943,1781283844.492,-0.105,0.371,
101125.943,1781283845.492,-0.061,0.364,
101126.943,1781283846.492,-0.044,0.333,
101127.943,1781283847.492,-0.024,0.240,
101128.943,1781283848.492,-0.031,0.392,
101129.943,1781283849.492,-0.048,0.280,
101130.943,1781283850.492,-0.043,0.340,
101131.943,1781283851.492,-0.066,0.369,
101132.943,1781283852.492,-0.029,0.368,
101133.943,1781283853.492,-0.044,0.328,
101134.944,1781283854.492,-0.055,0.341,
101135.943,1781283855.492,-0.035,0.293,
101136.944,1781283856.492,-0.015,0.334,
101137.944,1781283857.492,-0.055,0.332,
101138.944,1781283858.492,-0.044,0.326,
101139.944,1781283859.492,-0.044,0.343,
101140.944,1781283860.492,-0.043,0.345,
101141.944,1781283861.492,-0.044,0.316,
101142.944,1781283862.492,-0.027,0.244,
101143.944,1781283863.492,-0.031,0.246,
101144.944,1781283864.492,-0.050,0.337,
101145.944,1781283865.492,-0.065,0.368,
101146.944,1781283866.492,-0.048,0.249,
101147.944,1781283867.492,-0.075,0.348,
101148.944,1781283868.492,-0.042,0.315,
101149.944,1781283869.492,-0.053,0.335,
101150.944,1781283870.492,-0.045,0.333,
101151.945,1781283871.492,-0.053,0.313,
101152.945,1781283872.492,-0.072,0.368,
101153.945,1781283873.492,-0.056,0.335,
101154.945,1781283874.492,-0.033,0.367,
101155.945,1781283875.492,-0.045,0.229,
101156.945,1781283876.492,-0.064,0.351,
101157.945,1781283877.492,0.010,0.262,
101158.945,1781283878.492,-0.049,0.302,
101159.945,1781283879.492,-0.055,0.320,
101160.945,1781283880.492,-0.071,0.306,
101161.945,1781283881.492,-0.048,0.393,
101162.945,1781283882.492,-0.060,0.337,
101163.945,1781283883.492,-0.057,0.396,
101164.945,1781283884.492,-0.061,0.332,
101165.945,1781283885.492,-0.061,0.337,
101166.945,1781283886.492,-0.081,0.365,
101167.945,1781283887.492,-0.050,0.344,
101168.945,1781283888.492,-0.054,0.338,
