raw_s,wall_s,offset_ms,delay_ms,err
104262.012,1781286981.386,-12.882,8.382,
104263.014,1781286982.387,-14.136,4.518,
104264.015,1781286983.387,-12.728,5.987,
104265.015,1781286984.387,-12.279,5.760,
104266.016,1781286985.387,-12.388,4.335,
104267.016,1781286986.387,-12.350,3.576,
104268.017,1781286987.387,-12.120,3.266,
104269.017,1781286988.387,-9.424,8.040,
104270.018,1781286989.387,-9.394,7.326,
104271.018,1781286990.387,-9.770,6.099,
104272.018,1781286991.387,-10.305,4.373,
104273.019,1781286992.387,-10.765,3.157,
104274.019,1781286993.387,-10.874,2.475,
104275.019,1781286994.387,-9.274,5.329,
104276.019,1781286995.387,-10.589,2.436,
104277.019,1781286996.387,-8.306,6.736,
104278.020,1781286997.387,-8.561,6.012,
104279.020,1781286998.387,-10.071,2.951,
104280.020,1781286999.387,-8.705,5.604,
104281.020,1781287000.387,-8.599,5.844,
104282.020,1781287001.387,-9.238,4.345,
104283.020,1781287002.387,-8.304,6.275,
104284.020,1781287003.387,-7.944,7.055,
104285.020,1781287004.387,-7.439,8.198,
104286.019,1781287005.386,-8.357,6.579,
104287.020,1781287006.387,-10.462,2.491,
104288.020,1781287007.387,-9.842,3.968,
104289.020,1781287008.387,-9.404,5.043,
104290.020,1781287009.387,-9.278,5.548,
104291.020,1781287010.387,-9.752,4.753,
104292.020,1781287011.387,-8.317,7.889,
104293.020,1781287012.387,-10.247,4.356,
104294.020,1781287013.387,-8.561,8.012,
104295.019,1781287014.387,-11.280,2.874,
104296.019,1781287015.387,-8.979,7.689,
104297.019,1781287016.387,-9.936,6.215,
104298.019,1781287017.387,-9.032,8.475,
104299.018,1781287018.386,-9.973,6.808,
104300.019,1781287019.387,-11.659,3.907,
104301.019,1781287020.387,-10.994,5.601,
104302.019,1781287021.387,-11.307,5.461,
104303.018,1781287022.387,-10.651,7.064,
104304.018,1781287023.387,-11.538,5.653,
104305.018,1781287024.387,-12.664,4.010,
104306.018,1781287025.387,-13.579,2.490,
104307.018,1781287026.387,-12.697,4.781,
104308.018,1781287027.387,-11.878,6.875,
104309.018,1781287028.387,-12.117,6.904,
104310.017,1781287029.387,-14.454,2.507,
104311.017,1781287030.387,-14.067,3.834,
104312.017,1781287031.387,-14.179,4.121,
104313.017,1781287032.387,-13.335,6.257,
104314.017,1781287033.387,-13.400,6.672,
104315.016,1781287034.387,-13.659,6.592,
104316.016,1781287035.387,-13.740,6.918,
104317.016,1781287036.387,-14.799,5.385,
104318.016,1781287037.387,-14.653,6.251,
104319.016,1781287038.387,-14.163,7.646,
104320.016,1781287039.387,-16.404,3.597,
104321.015,1781287040.387,-15.659,5.643,
104322.015,1781287041.387,-16.524,3.785,
104323.016,1781287042.387,-14.202,7.982,
104324.016,1781287043.387,-16.101,3.531,
104325.016,1781287044.387,-15.134,4.844,
104326.017,1781287045.387,-16.014,2.610,
104327.017,1781287046.387,-14.071,5.927,
104328.017,1781287047.387,-15.406,2.838,
104329.018,1781287048.387,-14.588,4.032,
104330.018,1781287049.387,-13.716,5.257,
104331.018,1781287050.387,-12.227,7.982,
104332.018,1781287051.387,-13.382,5.273,
104333.019,1781287052.387,-12.839,6.020,
104334.019,1781287053.387,-13.410,4.423,
104335.019,1781287054.387,-11.809,7.371,
104336.019,1781287055.387,-11.624,7.571,
104337.020,1781287056.387,-12.356,5.847,
104338.020,1781287057.387,-12.624,5.097,
104339.020,1781287058.387,-12.945,4.272,
104340.019,1781287059.386,-12.577,4.952,
104341.020,1781287060.387,-12.770,4.041,
104342.020,1781287061.387,-12.018,5.514,
104343.020,1781287062.387,-10.816,7.901,
104344.020,1781287063.387,-11.544,6.268,
104345.021,1781287064.387,-10.729,7.873,
104346.021,1781287065.387,-12.109,4.952,
104347.021,1781287066.387,-10.960,7.202,
104348.021,1781287067.387,-11.689,5.754,
104349.021,1781287068.387,-13.175,2.674,
104350.021,1781287069.387,-10.619,7.825,
104351.021,1781287070.387,-11.623,5.760,
104352.021,1781287071.387,-11.922,5.183,
104353.021,1781287072.387,-11.630,5.734,
104354.021,1781287073.387,-13.089,2.874,
104355.021,1781287074.387,-13.076,2.916,
104356.021,1781287075.387,-12.381,4.323,
104357.021,1781287076.387,-12.968,3.289,
104358.022,1781287077.387,-12.981,3.336,
104359.021,1781287078.387,-11.087,7.231,
104360.021,1781287079.387,-11.913,5.504,
104361.021,1781287080.387,-12.003,5.674,
104362.021,1781287081.387,-12.820,4.090,
104363.021,1781287082.387,-12.865,4.141,
104364.022,1781287083.387,-12.983,4.113,
104365.021,1781287084.387,-12.217,5.686,
104366.022,1781287085.387,-12.509,5.299,
104367.021,1781287086.387,-12.245,6.003,
104368.021,1781287087.387,-12.307,6.031,
104369.021,1781287088.387,-12.619,5.507,
104370.021,1781287089.387,-12.372,6.254,
104371.021,1781287090.387,-13.473,4.280,
104372.021,1781287091.387,-13.963,3.399,
104373.021,1781287092.387,-13.851,4.009,
104374.021,1781287093.387,-14.650,2.550,
104375.021,1781287094.387,-13.875,4.318,
104376.021,1781287095.387,-13.068,6.217,
104377.021,1781287096.387,-14.352,3.819,
104378.021,1781287097.387,-15.087,2.607,
104379.021,1781287098.387,-15.330,2.423,
104380.021,1781287099.387,-12.761,7.664,
104381.021,1781287100.387,-12.807,7.929,
104382.021,1781287101.387,-13.447,6.931,
