raw_s,cpu_ns,mem_bytes,ntp_pkts
104322.015,47594000,1351680,62
104382.046,47594000,1351680,122
104442.065,47715000,1351680,182
104502.100,47912000,1355776,243
104562.126,47979000,1355776,303
104622.149,47979000,1355776,363
104682.170,48058000,1355776,423
104742.211,48249000,1355776,484
104802.249,48337000,1355776,544
104862.279,48337000,1355776,604
104922.305,48454000,1355776,664
104982.338,48733000,1355776,725
105042.376,48733000,1355776,785
105102.407,48816000,1355776,845
105162.437,48816000,1355776,905
105222.465,49154000,1355776,966
105282.498,49154000,1355776,1026
105342.529,49276000,1355776,1086
105402.558,49276000,1355776,1146
105462.587,49372000,1359872,1206
105522.615,49507000,1359872,1267
105582.643,49614000,1359872,1327
105642.672,49614000,1359872,1387
105702.701,49691000,1359872,1447
105762.733,49892000,1359872,1508
105822.765,49982000,1359872,1568
105882.795,49982000,1359872,1628
105942.825,50070000,1359872,1688
106002.854,50279000,1359872,1749
106062.883,50279000,1359872,1809
106122.912,50367000,1359872,1869
106182.942,50367000,1359872,1929
106242.971,50714000,1499136,1990
106303.001,50714000,1359872,2050
106363.030,50777000,1363968,2110
106423.059,50777000,1363968,2170
106483.089,50895000,1363968,2230
106543.118,51067000,1363968,2291
106603.148,51163000,1363968,2351
106663.177,51163000,1363968,2412
106723.208,51231000,1363968,2472
106783.239,51426000,1363968,2533
106843.269,51517000,1363968,2593
106903.299,51517000,1363968,2653
106963.328,51593000,1363968,2713
107023.357,51794000,1363968,2774
107083.386,51794000,1363968,2834
107143.416,51899000,1359872,2894
107203.445,51899000,1359872,2954
107263.476,51975000,1363968,3014
107323.507,52196000,1495040,3075
107383.537,52288000,1363968,3135
107443.566,52288000,1363968,3195
107503.596,52360000,1363968,3255
107563.625,52559000,1363968,3316
107623.653,52668000,1363968,3376
107683.683,52668000,1363968,3436
107743.713,52757000,1363968,3496
107803.742,53000000,1363968,3557
