raw_s,wall_s,kind,wall_elapsed_ms,raw_elapsed_ms
104322.073,1781287041.444,hb,,
104382.141,1781287101.507,hb,,
104442.198,1781287161.571,hb,,
104502.270,1781287221.635,hb,,
104562.336,1781287281.699,hb,,
104622.399,1781287341.766,hb,,
104682.460,1781287401.831,hb,,
104742.538,1781287461.895,hb,,
104802.614,1781287521.957,hb,,
104862.682,1781287582.022,hb,,
104922.745,1781287642.083,hb,,
104982.815,1781287702.147,hb,,
105042.891,1781287762.210,hb,,
105102.960,1781287822.274,hb,,
105163.028,1781287882.339,hb,,
105223.094,1781287942.402,hb,,
105283.164,1781288002.464,hb,,
105343.234,1781288062.529,hb,,
105403.301,1781288122.594,hb,,
105463.369,1781288182.658,hb,,
105523.435,1781288242.721,hb,,
105583.501,1781288302.785,hb,,
105643.568,1781288362.850,hb,,
105703.634,1781288422.912,hb,,
105763.704,1781288482.976,hb,,
105823.774,1781288543.040,hb,,
105883.842,1781288603.103,hb,,
105943.909,1781288663.167,hb,,
106003.977,1781288723.231,hb,,
106064.046,1781288783.296,hb,,
106124.112,1781288843.358,hb,,
106184.180,1781288903.422,hb,,
106244.248,1781288963.487,hb,,
106304.317,1781289023.552,hb,,
106364.385,1781289083.616,hb,,
106424.452,1781289143.679,hb,,
106484.519,1781289203.743,hb,,
106544.587,1781289263.807,hb,,
106604.654,1781289323.871,hb,,
106664.721,1781289383.935,hb,,
106724.789,1781289444.000,hb,,
106784.857,1781289504.063,hb,,
106844.925,1781289564.127,hb,,
106904.993,1781289624.191,hb,,
106965.061,1781289684.256,hb,,
107025.130,1781289744.321,hb,,
107085.198,1781289804.386,hb,,
107145.265,1781289864.448,hb,,
107205.333,1781289924.513,hb,,
107265.401,1781289984.577,hb,,
107325.469,1781290044.641,hb,,
107385.536,1781290104.704,hb,,
107445.604,1781290164.768,hb,,
107505.671,1781290224.831,hb,,
107565.738,1781290284.895,hb,,
107625.806,1781290344.959,hb,,
107685.873,1781290405.023,hb,,
107745.938,1781290465.084,hb,,
107806.005,1781290525.148,hb,,
