raw_s,wall_s,kind,jump_ms
104322.026,1781287041.398,hb,
104382.043,1781287101.409,hb,
104442.052,1781287161.425,hb,
104502.072,1781287221.436,hb,
104562.087,1781287281.450,hb,
104622.099,1781287341.466,hb,
104682.113,1781287401.484,hb,
104742.135,1781287461.492,hb,
104802.156,1781287521.499,hb,
104862.173,1781287581.513,hb,
104922.188,1781287641.527,hb,
104982.209,1781287701.541,hb,
105042.229,1781287761.549,hb,
105102.246,1781287821.560,hb,
105162.263,1781287881.574,hb,
105222.281,1781287941.590,hb,
105282.300,1781288001.600,hb,
105342.319,1781288061.615,hb,
105402.336,1781288121.628,hb,
105462.351,1781288181.640,hb,
105522.367,1781288241.654,hb,
105582.382,1781288301.666,hb,
105642.396,1781288361.677,hb,
105702.412,1781288421.690,hb,
105762.429,1781288481.701,hb,
105822.448,1781288541.714,hb,
105882.464,1781288601.726,hb,
105942.478,1781288661.736,hb,
106002.490,1781288721.744,hb,
106062.505,1781288781.755,hb,
106122.519,1781288841.765,hb,
106182.532,1781288901.774,hb,
106242.549,1781288961.788,hb,
106302.563,1781289021.798,hb,
106362.578,1781289081.809,hb,
106422.594,1781289141.821,hb,
106482.608,1781289201.831,hb,
106542.623,1781289261.844,hb,
106602.639,1781289321.856,hb,
106662.657,1781289381.871,hb,
106722.672,1781289441.883,hb,
106782.690,1781289501.896,hb,
106842.708,1781289561.910,hb,
106902.727,1781289621.925,hb,
106962.744,1781289681.938,hb,
107022.759,1781289741.950,hb,
107082.776,1781289801.963,hb,
107142.791,1781289861.975,hb,
107202.809,1781289921.989,hb,
107262.823,1781289981.999,hb,
107322.835,1781290042.007,hb,
107382.849,1781290102.017,hb,
107442.862,1781290162.026,hb,
107502.877,1781290222.037,hb,
107562.887,1781290282.043,hb,
107622.897,1781290342.051,hb,
107682.909,1781290402.059,hb,
107742.921,1781290462.068,hb,
107802.934,1781290522.077,hb,
107862.950,1781290582.090,hb,
