raw_s,wall_s,offset_ms,delay_ms,err
84890.486,1781267611.032,0.020,0.310,
84891.487,1781267612.033,-0.017,0.336,
84892.487,1781267613.033,-0.017,0.347,
84893.487,1781267614.033,-0.015,0.351,
84894.487,1781267615.033,-0.020,0.159,
84895.487,1781267616.033,0.006,0.269,
84896.487,1781267617.033,-0.028,0.341,
84897.488,1781267618.033,-0.041,0.341,
84898.488,1781267619.033,-0.027,0.357,
84899.488,1781267620.033,-0.033,0.321,
84900.488,1781267621.033,-0.015,0.249,
84901.488,1781267622.033,-0.050,0.256,
84902.488,1781267623.033,-0.007,0.367,
84903.488,1781267624.033,-0.061,0.330,
84904.488,1781267625.033,-0.044,0.320,
84905.488,1781267626.033,0.000,0.328,
84906.488,1781267627.033,-0.021,0.375,
84907.488,1781267628.033,-0.040,0.333,
84908.488,1781267629.033,-0.044,0.338,
84909.488,1781267630.033,-0.033,0.388,
84910.488,1781267631.033,-0.074,0.242,
84911.488,1781267632.033,-0.042,0.336,
84912.489,1781267633.033,-0.038,0.332,
84913.488,1781267634.033,-0.079,0.319,
84914.489,1781267635.033,-0.044,0.339,
84915.489,1781267636.033,-0.008,0.368,
84916.489,1781267637.033,-0.047,0.333,
84917.489,1781267638.033,-0.065,0.387,
84918.489,1781267639.033,-0.044,0.336,
84919.489,1781267640.033,-0.081,0.327,
84920.489,1781267641.033,-0.051,0.329,
84921.489,1781267642.033,-0.059,0.380,
84922.489,1781267643.033,-0.050,0.337,
84923.489,1781267644.033,-0.009,0.410,
84924.489,1781267645.033,-0.008,0.375,
84925.489,1781267646.033,-0.020,0.308,
84926.489,1781267647.033,-0.046,0.329,
84927.489,1781267648.033,-0.049,0.338,
84928.489,1781267649.033,-0.056,0.278,
84929.489,1781267650.033,-0.058,0.415,
84930.490,1781267651.033,-0.046,0.344,
84931.490,1781267652.033,-0.079,0.341,
84932.490,1781267653.033,-0.050,0.341,
84933.490,1781267654.033,-0.034,0.365,
84934.490,1781267655.033,-0.045,0.384,
84935.490,1781267656.033,-0.063,0.337,
84936.490,1781267657.033,-0.067,0.270,
84937.490,1781267658.033,-0.041,0.318,
84938.490,1781267659.033,-0.014,0.292,
84939.490,1781267660.033,-0.055,0.282,
84940.490,1781267661.033,-0.019,0.324,
84941.490,1781267662.033,-0.062,0.281,
84942.490,1781267663.033,-0.030,0.408,
84943.490,1781267664.033,-0.026,0.264,
84944.490,1781267665.033,-0.073,0.387,
84945.490,1781267666.033,-0.047,0.286,
84946.490,1781267667.033,-0.001,0.323,
84947.491,1781267668.033,-0.048,0.343,
84948.491,1781267669.033,-0.050,0.346,
84949.491,1781267670.033,-0.033,0.272,
84950.491,1781267671.033,-0.025,0.406,
84951.491,1781267672.033,-0.054,0.346,
84952.491,1781267673.033,-0.056,0.300,
84953.491,1781267674.033,-0.015,0.302,
84954.491,1781267675.033,-0.082,0.339,
84955.491,1781267676.033,-0.030,0.213,
84956.491,1781267677.033,-0.056,0.329,
84957.491,1781267678.033,-0.052,0.342,
84958.491,1781267679.033,-0.062,0.308,
84959.491,1781267680.033,-0.044,0.302,
84960.491,1781267681.033,-0.069,0.275,
84961.491,1781267682.033,-0.003,0.388,
84962.491,1781267683.033,-0.061,0.328,
