raw_s,cpu_ns,mem_bytes,ntp_pkts
84950.490,47009000,1343488,62
85010.520,47009000,1343488,122
85070.550,47079000,1343488,182
85130.579,47283000,1343488,243
85190.609,47381000,1339392,303
85250.639,47381000,1339392,363
85310.668,47447000,1343488,423
85370.698,47650000,1347584,484
85430.727,47730000,1347584,544
85490.757,47730000,1347584,604
85550.786,47847000,1351680,664
85610.816,48080000,1351680,725
85670.845,48080000,1351680,785
85730.874,48186000,1351680,845
85790.904,48186000,1351680,905
85850.934,48448000,1351680,966
85910.963,48448000,1351680,1026
85970.992,48518000,1351680,1086
86031.022,48518000,1351680,1146
86091.053,48642000,1351680,1206
86151.082,48855000,1351680,1267
86211.112,48942000,1351680,1327
86271.141,48942000,1351680,1387
86331.170,49040000,1351680,1447
86391.200,49208000,1355776,1508
86451.229,49348000,1351680,1568
86511.258,49348000,1351680,1628
86571.287,49467000,1355776,1688
86631.319,49717000,1355776,1749
86691.349,49717000,1355776,1809
86751.379,49788000,1355776,1869
86811.409,49788000,1355776,1929
86871.438,49873000,1355776,1989
86931.468,50084000,1355776,2050
86991.498,50169000,1355776,2110
87051.529,50169000,1355776,2170
87111.559,50306000,1355776,2230
87171.588,50556000,1355776,2291
87231.617,50632000,1355776,2351
87291.646,50632000,1355776,2412
87351.676,50741000,1351680,2472
87411.706,50975000,1355776,2533
87471.735,50975000,1355776,2593
87531.765,51074000,1355776,2653
87591.795,51074000,1355776,2713
87651.825,51382000,1355776,2774
87711.855,51382000,1355776,2834
87771.884,51502000,1355776,2894
87831.913,51502000,1355776,2954
87891.942,51597000,1355776,3014
87951.972,51801000,1355776,3075
88012.002,51889000,1355776,3135
88072.032,51889000,1355776,3195
88132.061,52002000,1355776,3255
88192.092,52196000,1355776,3316
88252.122,52303000,1351680,3376
88312.151,52303000,1351680,3436
88372.182,52410000,1355776,3496
88432.212,52668000,1355776,3557
88492.241,52668000,1355776,3617
88552.270,52761000,1355776,3677
88612.301,52761000,1355776,3737
88672.330,53086000,1355776,3798
88732.359,53086000,1355776,3858
88792.389,53172000,1355776,3918
88852.420,53172000,1355776,3978
88912.449,53255000,1355776,4038
88972.478,53455000,1355776,4099
89032.508,53539000,1355776,4159
89092.538,53539000,1355776,4219
89152.568,53643000,1355776,4279
89212.597,53936000,1355776,4340
89272.626,53936000,1355776,4400
89332.655,54016000,1355776,4460
89392.685,54016000,1355776,4520
89452.714,54298000,1355776,4581
89512.744,54298000,1355776,4641
89572.773,54397000,1355776,4702
89632.803,54397000,1355776,4762
89692.833,54664000,1355776,4823
89752.863,54664000,1355776,4883
89812.893,54758000,1355776,4943
89872.922,54758000,1355776,5003
89932.952,54846000,1355776,5063
89992.982,55054000,1355776,5124
90053.012,55169000,1351680,5184
90113.041,55169000,1351680,5244
90173.070,55244000,1355776,5304
90233.100,55474000,1355776,5365
90293.129,55474000,1355776,5425
90353.159,55572000,1355776,5485
90413.188,55572000,1355776,5545
90473.218,55877000,1355776,5606
90533.247,55877000,1355776,5666
90593.276,55955000,1355776,5726
90653.305,55955000,1355776,5786
90713.334,56020000,1355776,5846
90773.366,56212000,1355776,5907
90833.395,56294000,1355776,5967
