raw_s,wall_s,kind,wall_elapsed_ms,raw_elapsed_ms
84950.548,1781267671.090,hb,,
85010.616,1781267731.154,hb,,
85070.686,1781267791.220,hb,,
85130.755,1781267851.286,hb,,
85190.824,1781267911.351,hb,,
85250.892,1781267971.415,hb,,
85310.960,1781268031.480,hb,,
85371.028,1781268091.544,hb,,
85431.097,1781268151.610,hb,,
85491.167,1781268211.675,hb,,
85551.237,1781268271.742,hb,,
85611.307,1781268331.808,hb,,
85671.376,1781268391.874,hb,,
85731.444,1781268451.938,hb,,
85791.513,1781268512.003,hb,,
85851.581,1781268572.068,hb,,
85911.648,1781268632.130,hb,,
85971.717,1781268692.196,hb,,
86031.784,1781268752.260,hb,,
86091.854,1781268812.326,hb,,
86151.923,1781268872.391,hb,,
86211.992,1781268932.457,hb,,
86272.061,1781268992.522,hb,,
86332.128,1781269052.585,hb,,
86392.198,1781269112.651,hb,,
86452.266,1781269172.715,hb,,
86512.334,1781269232.780,hb,,
86572.403,1781269292.845,hb,,
86632.470,1781269352.908,hb,,
86692.537,1781269412.972,hb,,
86752.605,1781269473.036,hb,,
86812.673,1781269533.101,hb,,
86872.741,1781269593.165,hb,,
86932.809,1781269653.230,hb,,
86992.877,1781269713.293,hb,,
87052.944,1781269773.357,hb,,
87113.014,1781269833.423,hb,,
87173.081,1781269893.487,hb,,
87233.150,1781269953.552,hb,,
87293.218,1781270013.616,hb,,
87353.287,1781270073.681,hb,,
87413.356,1781270133.747,hb,,
87473.425,1781270193.812,hb,,
87533.493,1781270253.876,hb,,
87593.561,1781270313.940,hb,,
87653.629,1781270374.005,hb,,
87713.697,1781270434.069,hb,,
87773.765,1781270494.134,hb,,
87833.834,1781270554.198,hb,,
87893.902,1781270614.263,hb,,
87953.971,1781270674.328,hb,,
88014.039,1781270734.392,hb,,
88074.107,1781270794.457,hb,,
88134.175,1781270854.521,hb,,
88194.243,1781270914.585,hb,,
88254.310,1781270974.649,hb,,
88314.379,1781271034.714,hb,,
88374.448,1781271094.780,hb,,
88434.517,1781271154.845,hb,,
88494.587,1781271214.911,hb,,
88554.653,1781271274.974,hb,,
88614.721,1781271335.038,hb,,
88674.791,1781271395.104,hb,,
88734.859,1781271455.168,hb,,
88794.926,1781271515.231,hb,,
88854.995,1781271575.297,hb,,
88915.063,1781271635.362,hb,,
88975.132,1781271695.426,hb,,
89035.198,1781271755.489,hb,,
89095.266,1781271815.553,hb,,
89155.335,1781271875.619,hb,,
89215.404,1781271935.684,hb,,
89275.474,1781271995.750,hb,,
89335.543,1781272055.816,hb,,
89395.610,1781272115.879,hb,,
89455.679,1781272175.944,hb,,
89515.747,1781272236.009,hb,,
89575.816,1781272296.073,hb,,
89635.884,1781272356.138,hb,,
89695.952,1781272416.202,hb,,
89756.018,1781272476.265,hb,,
89816.084,1781272536.327,hb,,
89876.152,1781272596.391,hb,,
89936.218,1781272656.454,hb,,
89996.288,1781272716.520,hb,,
90056.356,1781272776.584,hb,,
90116.426,1781272836.650,hb,,
90176.495,1781272896.715,hb,,
90236.564,1781272956.782,hb,,
90296.634,1781273016.847,hb,,
90356.702,1781273076.912,hb,,
90416.771,1781273136.977,hb,,
90476.840,1781273197.042,hb,,
90536.905,1781273257.103,hb,,
