raw_s,wall_s,kind,jump_ms
84950.507,1781267671.049,hb,
85010.534,1781267731.072,hb,
85070.561,1781267791.096,hb,
85130.590,1781267851.121,hb,
85190.618,1781267911.145,hb,
85250.647,1781267971.170,hb,
85310.675,1781268031.195,hb,
85370.704,1781268091.220,hb,
85430.734,1781268151.247,hb,
85490.764,1781268211.272,hb,
85550.793,1781268271.298,hb,
85610.824,1781268331.325,hb,
85670.854,1781268391.352,hb,
85730.876,1781268451.370,hb,
85790.895,1781268511.385,hb,
85850.924,1781268571.411,hb,
85910.956,1781268631.438,hb,
85970.989,1781268691.468,hb,
86031.018,1781268751.494,hb,
86091.049,1781268811.520,hb,
86151.081,1781268871.549,hb,
86211.112,1781268931.576,hb,
86271.143,1781268991.604,hb,
86331.174,1781269051.631,hb,
86391.206,1781269111.659,hb,
86451.236,1781269171.685,hb,
86511.253,1781269231.700,hb,
86571.281,1781269291.724,hb,
86631.301,1781269351.740,hb,
86691.321,1781269411.756,hb,
86751.342,1781269471.774,hb,
86811.362,1781269531.790,hb,
86871.382,1781269591.806,hb,
86931.402,1781269651.822,hb,
86991.419,1781269711.836,hb,
87051.438,1781269771.851,hb,
87111.459,1781269831.868,hb,
87171.479,1781269891.885,hb,
87231.500,1781269951.901,hb,
87291.519,1781270011.917,hb,
87351.540,1781270071.934,hb,
87411.561,1781270131.952,hb,
87471.579,1781270191.966,hb,
87531.600,1781270251.984,hb,
87591.624,1781270312.004,hb,
87651.642,1781270372.018,hb,
87711.661,1781270432.034,hb,
87771.682,1781270492.051,hb,
87831.702,1781270552.066,hb,
87891.724,1781270612.085,hb,
87951.751,1781270672.108,hb,
88011.775,1781270732.128,hb,
88071.800,1781270792.150,hb,
88131.825,1781270852.172,hb,
88191.850,1781270912.193,hb,
88251.873,1781270972.212,hb,
88311.896,1781271032.232,hb,
88371.922,1781271092.254,hb,
88431.945,1781271152.273,hb,
88491.968,1781271212.292,hb,
88551.992,1781271272.313,hb,
88612.016,1781271332.333,hb,
88672.042,1781271392.356,hb,
88732.068,1781271452.378,hb,
88792.092,1781271512.398,hb,
88852.115,1781271572.417,hb,
88912.140,1781271632.439,hb,
88972.155,1781271692.450,hb,
89032.172,1781271752.463,hb,
89092.195,1781271812.482,hb,
89152.220,1781271872.503,hb,
89212.242,1781271932.522,hb,
89272.264,1781271992.541,hb,
89332.286,1781272052.559,hb,
89392.311,1781272112.580,hb,
89452.336,1781272172.601,hb,
89512.358,1781272232.620,hb,
89572.383,1781272292.641,hb,
89632.405,1781272352.659,hb,
89692.436,1781272412.687,hb,
89752.467,1781272472.714,hb,
89812.495,1781272532.739,hb,
89872.525,1781272592.764,hb,
89932.555,1781272652.791,hb,
89992.586,1781272712.818,hb,
90052.615,1781272772.843,hb,
90112.644,1781272832.869,hb,
90172.672,1781272892.893,hb,
90232.704,1781272952.921,hb,
90292.729,1781273012.943,hb,
90352.757,1781273072.967,hb,
90412.784,1781273132.991,hb,
90472.815,1781273193.017,hb,
90532.841,1781273253.040,hb,
90592.864,1781273313.059,hb,
90652.892,1781273373.084,hb,
90712.919,1781273433.107,hb,
90772.944,1781273493.128,hb,
90832.974,1781273553.155,hb,
90893.005,1781273613.182,hb,
90953.036,1781273673.209,hb,
91013.064,1781273733.234,hb,
91073.098,1781273793.264,hb,
91133.129,1781273853.291,hb,
91193.160,1781273913.319,hb,
91253.188,1781273973.343,hb,
91313.208,1781274033.359,hb,
91373.227,1781274093.375,hb,
91433.249,1781274153.393,hb,
91493.269,1781274213.409,hb,
91553.289,1781274273.426,hb,
91613.319,1781274333.452,hb,
91673.350,1781274393.479,hb,
91733.383,1781274453.509,hb,
91793.411,1781274513.533,hb,
91853.436,1781274573.554,hb,
91913.456,1781274633.570,hb,
91973.482,1781274693.593,hb,
92033.506,1781274753.613,hb,
92093.528,1781274813.631,hb,
92153.553,1781274873.652,hb,
92213.575,1781274933.671,hb,
92273.599,1781274993.691,hb,
92333.622,1781275053.711,hb,
92393.645,1781275113.730,hb,
92453.665,1781275173.746,hb,
92513.691,1781275233.768,hb,
92573.719,1781275293.793,hb,
92633.737,1781275353.807,hb,
92693.759,1781275413.826,hb,
92753.773,1781275473.836,hb,
92813.790,1781275533.849,hb,
92873.806,1781275593.862,hb,
92933.825,1781275653.877,hb,
92993.844,1781275713.892,hb,
93053.861,1781275773.906,hb,
93113.877,1781275833.918,hb,
93173.896,1781275893.932,hb,
93233.912,1781275953.945,hb,
93293.935,1781276013.964,hb,
93353.956,1781276073.982,hb,
93413.972,1781276133.995,hb,
93473.991,1781276194.010,hb,
93534.008,1781276254.023,hb,
93594.025,1781276314.036,hb,
93654.044,1781276374.052,hb,
93714.056,1781276434.059,hb,
93774.074,1781276494.074,hb,
93834.089,1781276554.085,hb,
93894.103,1781276614.096,hb,
93954.120,1781276674.109,hb,
94014.138,1781276734.123,hb,
94074.156,1781276794.138,hb,
94134.173,1781276854.151,hb,
94194.190,1781276914.164,hb,
94254.211,1781276974.181,hb,
94314.227,1781277034.194,hb,
94374.246,1781277094.209,hb,
94434.264,1781277154.224,hb,
94494.282,1781277214.238,hb,
94554.299,1781277274.252,hb,
94614.318,1781277334.267,hb,
94674.335,1781277394.280,hb,
94734.350,1781277454.291,hb,
94794.367,1781277514.304,hb,
94854.383,1781277574.317,hb,
94914.400,1781277634.330,hb,
94974.416,1781277694.342,hb,
95034.432,1781277754.355,hb,
95094.450,1781277814.368,hb,
95154.469,1781277874.384,hb,
95214.488,1781277934.400,hb,
95274.505,1781277994.413,hb,
95334.521,1781278054.425,hb,
95394.538,1781278114.438,hb,
95454.560,1781278174.457,hb,
95514.580,1781278234.473,hb,
95574.598,1781278294.487,hb,
95634.616,1781278354.501,hb,
95694.636,1781278414.518,hb,
95754.657,1781278474.535,hb,
95814.681,1781278534.556,hb,
95874.711,1781278594.582,hb,
95934.741,1781278654.609,hb,
95994.773,1781278714.636,hb,
96054.801,1781278774.661,hb,
96114.830,1781278834.686,hb,
96174.860,1781278894.712,hb,
96234.889,1781278954.738,hb,
96294.918,1781279014.764,hb,
96354.950,1781279074.792,hb,
96414.981,1781279134.819,hb,
96475.008,1781279194.843,hb,
96535.040,1781279254.870,hb,
96595.068,1781279314.895,hb,
96655.097,1781279374.920,hb,
96715.125,1781279434.945,hb,
96775.155,1781279494.970,hb,
96835.182,1781279554.995,hb,
96895.214,1781279615.022,hb,
96955.242,1781279675.047,hb,
97015.274,1781279735.075,hb,
97075.302,1781279795.099,hb,
97135.329,1781279855.123,hb,
97195.359,1781279915.149,hb,
97255.384,1781279975.171,hb,
97315.413,1781280035.195,hb,
97375.438,1781280095.217,hb,
97435.466,1781280155.241,hb,
97495.491,1781280215.263,hb,
97555.520,1781280275.288,hb,
97615.546,1781280335.311,hb,
97675.575,1781280395.336,hb,
97735.600,1781280455.357,hb,
97795.627,1781280515.380,hb,
97855.654,1781280575.404,hb,
97915.681,1781280635.427,hb,
97975.707,1781280695.449,hb,
98035.735,1781280755.473,hb,
98095.762,1781280815.497,hb,
98155.787,1781280875.518,hb,
98215.812,1781280935.540,hb,
98275.837,1781280995.561,hb,
98335.865,1781281055.585,hb,
98395.890,1781281115.606,hb,
98455.914,1781281175.627,hb,
98515.943,1781281235.652,hb,
98575.967,1781281295.672,hb,
98635.993,1781281355.695,hb,
98696.023,1781281415.722,hb,
98756.051,1781281475.745,hb,
98816.078,1781281535.769,hb,
98876.106,1781281595.793,hb,
98936.133,1781281655.817,hb,
98996.159,1781281715.839,hb,
99056.188,1781281775.864,hb,
99116.215,1781281835.887,hb,
99176.243,1781281895.911,hb,
99236.267,1781281955.932,hb,
99296.298,1781282015.959,hb,
99356.326,1781282075.984,hb,
99416.354,1781282136.008,hb,
99476.379,1781282196.029,hb,
99536.408,1781282256.055,hb,
99596.435,1781282316.078,hb,
99656.460,1781282376.099,hb,
99716.488,1781282436.124,hb,
99776.515,1781282496.147,hb,
99836.545,1781282556.173,hb,
99896.574,1781282616.198,hb,
99956.600,1781282676.221,hb,
100016.628,1781282736.245,hb,
100076.658,1781282796.271,hb,
100136.692,1781282856.302,hb,
100196.723,1781282916.329,hb,
100256.750,1781282976.353,hb,
100316.780,1781283036.379,hb,
100376.811,1781283096.406,hb,
100436.841,1781283156.432,hb,
100496.873,1781283216.461,hb,
100556.903,1781283276.487,hb,
100616.936,1781283336.516,hb,
100676.968,1781283396.545,hb,
100736.999,1781283456.572,hb,
100797.033,1781283516.602,hb,
100857.064,1781283576.630,hb,
100917.084,1781283636.646,hb,
100977.111,1781283696.670,hb,
101037.141,1781283756.695,hb,
