raw_s,wall_s,offset_ms,delay_ms,err
70483.131,1781253204.561,-0.032,0.353,
70484.132,1781253205.562,0.033,0.319,
70485.132,1781253206.562,-0.050,0.363,
70486.132,1781253207.562,-0.056,0.422,
70487.132,1781253208.562,-0.047,0.319,
70488.132,1781253209.562,-0.019,0.326,
70489.132,1781253210.562,-0.035,0.305,
70490.132,1781253211.562,-0.018,0.319,
70491.133,1781253212.562,-0.011,0.295,
70492.133,1781253213.562,-0.031,0.365,
70493.133,1781253214.562,-0.040,0.299,
70494.133,1781253215.562,-0.051,0.345,
70495.133,1781253216.562,-0.040,0.310,
70496.133,1781253217.562,-0.036,0.366,
70497.133,1781253218.562,-0.013,0.303,
70498.133,1781253219.562,-0.035,0.364,
70499.133,1781253220.562,-0.031,0.283,
70500.133,1781253221.562,-0.078,0.392,
70501.133,1781253222.562,-0.038,0.165,
70502.133,1781253223.562,-0.064,0.361,
70503.133,1781253224.562,-0.051,0.224,
70504.133,1781253225.562,-0.040,0.337,
70505.133,1781253226.562,-0.024,0.274,
70506.134,1781253227.562,-0.057,0.344,
70507.133,1781253228.562,-0.054,0.360,
70508.134,1781253229.562,-0.021,0.331,
70509.134,1781253230.562,0.005,0.269,
70510.134,1781253231.562,-0.049,0.330,
70511.134,1781253232.562,-0.034,0.311,
70512.134,1781253233.562,-0.021,0.299,
70513.134,1781253234.562,-0.038,0.362,
70514.134,1781253235.562,-0.043,0.314,
70515.134,1781253236.562,-0.041,0.318,
70516.134,1781253237.562,-0.040,0.298,
70517.134,1781253238.562,-0.049,0.320,
70518.134,1781253239.562,-0.052,0.351,
70519.134,1781253240.562,-0.075,0.399,
70520.134,1781253241.562,-0.039,0.307,
70521.134,1781253242.562,-0.042,0.329,
70522.134,1781253243.562,-0.059,0.338,
70523.135,1781253244.562,-0.036,0.319,
70524.135,1781253245.562,-0.051,0.321,
70525.135,1781253246.562,-0.056,0.334,
70526.135,1781253247.562,-0.062,0.342,
70527.135,1781253248.562,-0.035,0.344,
70528.135,1781253249.562,-0.043,0.321,
70529.135,1781253250.562,-0.065,0.248,
70530.135,1781253251.562,-0.045,0.308,
70531.135,1781253252.562,-0.038,0.295,
70532.135,1781253253.562,-0.057,0.329,
70533.135,1781253254.562,-0.034,0.292,
70534.135,1781253255.562,-0.062,0.349,
70535.135,1781253256.562,-0.039,0.318,
70536.135,1781253257.562,-0.018,0.319,
