raw_s,cpu_ns,mem_bytes,ntp_pkts
70543.137,46816000,1355776,62
70603.168,46816000,1355776,122
70663.198,46880000,1355776,182
70723.227,47073000,1355776,243
70783.258,47157000,1355776,303
70843.288,47157000,1355776,363
70903.317,47221000,1355776,423
70963.348,47470000,1359872,484
71023.378,47550000,1359872,544
71083.409,47550000,1359872,604
71143.438,47648000,1359872,664
71203.467,47865000,1363968,725
71263.496,47865000,1363968,785
71323.526,47943000,1363968,845
71383.556,47943000,1363968,905
71443.586,48145000,1363968,966
71503.615,48145000,1363968,1026
71563.646,48207000,1363968,1086
71623.675,48207000,1363968,1146
71683.705,48288000,1363968,1206
71743.734,48476000,1363968,1267
71803.763,48573000,1363968,1327
71863.793,48573000,1363968,1387
71923.823,48670000,1363968,1447
71983.852,48876000,1363968,1508
72043.882,48997000,1363968,1568
72103.912,48997000,1363968,1628
72163.941,49085000,1368064,1688
72223.971,49334000,1368064,1749
72284.001,49334000,1368064,1809
72344.030,49416000,1368064,1869
72404.059,49416000,1368064,1929
72464.089,49518000,1368064,1989
72524.118,49705000,1368064,2050
72584.147,49766000,1368064,2110
72644.176,49766000,1368064,2170
72704.205,49852000,1368064,2230
72764.234,50043000,1368064,2291
72824.263,50125000,1368064,2351
72884.292,50125000,1368064,2412
72944.322,50230000,1368064,2472
73004.351,50442000,1368064,2533
73064.381,50442000,1368064,2593
73124.410,50531000,1368064,2653
73184.440,50531000,1368064,2713
73244.470,50812000,1368064,2774
73304.499,50812000,1368064,2834
73364.528,50897000,1368064,2894
73424.558,50897000,1368064,2954
73484.587,50958000,1368064,3014
73544.616,51145000,1368064,3075
73604.645,51239000,1368064,3135
73664.675,51239000,1368064,3195
73724.704,51359000,1368064,3255
73784.733,51608000,1368064,3316
73844.763,51718000,1363968,3376
73904.792,51718000,1363968,3436
73964.822,51814000,1368064,3496
74024.851,52067000,1368064,3557
74084.881,52067000,1368064,3617
74144.910,52173000,1368064,3677
74204.940,52173000,1368064,3737
74264.969,52483000,1368064,3798
74324.999,52483000,1368064,3858
74385.029,52565000,1368064,3918
74445.058,52565000,1368064,3978
74505.087,52628000,1368064,4038
74565.116,52838000,1368064,4099
74625.146,52925000,1368064,4159
74685.175,52925000,1368064,4219
74745.204,53034000,1363968,4279
74805.233,53252000,1368064,4340
74865.262,53252000,1368064,4400
74925.291,53343000,1368064,4460
74985.320,53343000,1368064,4520
75045.349,53578000,1368064,4581
75105.379,53578000,1368064,4641
75165.408,53662000,1368064,4701
75225.437,53662000,1368064,4762
75285.467,53931000,1368064,4823
75345.496,53931000,1368064,4883
75405.526,54014000,1368064,4943
75465.556,54014000,1368064,5003
75525.585,54122000,1368064,5063
75585.614,54327000,1368064,5124
75645.644,54431000,1363968,5184
75705.674,54431000,1363968,5244
75765.704,54518000,1368064,5304
75825.733,54750000,1368064,5365
75885.763,54750000,1368064,5425
75945.791,54831000,1368064,5485
76005.820,54831000,1368064,5545
76065.850,55154000,1368064,5606
76125.879,55154000,1368064,5666
76185.909,55223000,1363968,5726
76245.938,55223000,1363968,5786
76305.969,55310000,1368064,5846
76365.999,55529000,1368064,5907
76426.028,55611000,1368064,5967
76486.057,55611000,1368064,6027
76546.086,55736000,1368064,6087
76606.116,55963000,1368064,6148
76666.145,55963000,1368064,6208
76726.175,56058000,1368064,6268
76786.204,56058000,1368064,6328
76846.234,56381000,1368064,6389
76906.264,56381000,1368064,6449
76966.293,56484000,1368064,6509
77026.323,56484000,1368064,6569
77086.353,56785000,1368064,6630
77146.382,56785000,1368064,6690
77206.411,56929000,1368064,6750
77266.441,56929000,1368064,6810
77326.471,57012000,1368064,6870
77386.500,57229000,1368064,6931
77446.529,57357000,1363968,6991
77506.559,57357000,1363968,7052
77566.589,57433000,1368064,7112
77626.618,57639000,1368064,7173
77686.647,47690000,1347584,7234
77746.677,47690000,1343488,7294
77806.706,47915000,1351680,7355
77866.736,47981000,1351680,7415
77926.766,48187000,1351680,7476
77986.796,48257000,1351680,7536
78046.826,48257000,1351680,7596
78106.855,48328000,1351680,7656
78166.885,48546000,1355776,7717
78226.915,48609000,1355776,7777
78286.945,48609000,1355776,7837
78346.974,48724000,1355776,7897
78407.003,48973000,1359872,7958
78467.033,48973000,1359872,8018
78527.063,49038000,1359872,8078
78587.092,49038000,1359872,8138
78647.121,49358000,1359872,8199
78707.151,49358000,1359872,8259
78767.181,49445000,1359872,8319
78827.211,49445000,1359872,8379
78887.241,49526000,1359872,8439
78947.270,49742000,1359872,8500
79007.300,49907000,1359872,8560
79067.329,49907000,1359872,8620
79127.359,49980000,1359872,8680
79187.388,50200000,1359872,8741
79247.417,50322000,1359872,8801
79307.446,50322000,1359872,8861
79367.475,50402000,1363968,8921
79427.505,50628000,1363968,8982
79487.534,50628000,1363968,9042
79547.563,50693000,1363968,9102
79607.593,50693000,1363968,9162
79667.623,50772000,1363968,9222
79727.652,50961000,1363968,9283
79787.682,51009000,1363968,9343
79847.711,51009000,1363968,9404
79907.740,51072000,1363968,9464
79967.769,51279000,1363968,9525
80027.798,51375000,1363968,9585
80087.828,51375000,1363968,9645
80147.858,51477000,1359872,9705
80207.887,51690000,1363968,9766
80267.917,51690000,1363968,9826
80327.946,51769000,1363968,9886
80387.975,51769000,1363968,9946
80448.005,52044000,1363968,10007
80508.035,52044000,1363968,10067
80568.065,52145000,1363968,10127
80628.094,52145000,1363968,10187
80688.123,52234000,1363968,10247
80748.152,52435000,1363968,10308
80808.181,52509000,1363968,10368
80868.211,52509000,1363968,10428
80928.241,52592000,1363968,10488
80988.270,52800000,1363968,10549
81048.300,52914000,1359872,10609
81108.329,52914000,1359872,10669
81168.358,53001000,1363968,10729
81228.387,53242000,1363968,10790
81288.417,53242000,1363968,10850
81348.446,53302000,1363968,10910
81408.475,53302000,1363968,10970
81468.505,53594000,1359872,11031
81528.534,53594000,1359872,11091
81588.563,53685000,1363968,11151
81648.593,53685000,1363968,11211
81708.622,53772000,1363968,11271
81768.651,53973000,1363968,11332
81828.681,54078000,1363968,11392
81888.711,54078000,1363968,11452
81948.740,54187000,1359872,11512
82008.770,54404000,1363968,11573
82068.799,54404000,1363968,11633
82128.828,54495000,1363968,11693
82188.858,54495000,1363968,11754
82248.887,54789000,1363968,11815
82308.917,54789000,1363968,11875
82368.946,54935000,1363968,11935
82428.976,54935000,1363968,11995
82489.005,55252000,1363968,12056
82549.034,55252000,1363968,12116
82609.063,55345000,1363968,12176
82669.092,55345000,1363968,12236
82729.121,55413000,1363968,12296
82789.150,55650000,1363968,12357
82849.181,55760000,1359872,12417
82909.212,55760000,1359872,12477
82969.242,55836000,1363968,12537
83029.271,56103000,1363968,12598
83089.301,56103000,1363968,12658
83149.330,56208000,1363968,12718
83209.360,56208000,1363968,12778
83269.389,56481000,1363968,12839
83329.420,56481000,1363968,12899
83389.449,56552000,1363968,12959
83449.480,56552000,1363968,13019
83509.510,56697000,1363968,13079
83569.540,56848000,1363968,13140
83629.569,56947000,1363968,13200
83689.598,56947000,1363968,13260
83749.627,57073000,1359872,13320
83809.657,57326000,1363968,13381
83869.686,57326000,1363968,13441
83929.715,57413000,1363968,13501
83989.745,57413000,1363968,13561
84049.774,57659000,1363968,13622
84109.804,57659000,1363968,13682
84169.833,57760000,1363968,13742
84229.862,57760000,1363968,13802
84289.892,58034000,1363968,13863
84349.921,58034000,1363968,13923
84409.950,58127000,1363968,13983
84469.981,58127000,1363968,14044
84530.010,58226000,1363968,14104
84590.040,58496000,1363968,14165
84650.070,58638000,1359872,14225
84710.099,58638000,1359872,14285
84770.128,58736000,1363968,14345
84830.157,58954000,1363968,14406
