raw_s,wall_s,kind,wall_elapsed_ms,raw_elapsed_ms
70543.198,1781253264.624,hb,,
70603.265,1781253324.688,hb,,
70663.336,1781253384.755,hb,,
70723.406,1781253444.821,hb,,
70783.475,1781253504.887,hb,,
70843.544,1781253564.952,hb,,
70903.614,1781253625.018,hb,,
70963.684,1781253685.084,hb,,
71023.752,1781253745.149,hb,,
71083.821,1781253805.214,hb,,
71143.889,1781253865.279,hb,,
71203.958,1781253925.343,hb,,
71264.027,1781253985.409,hb,,
71324.095,1781254045.474,hb,,
71384.165,1781254105.540,hb,,
71444.230,1781254165.601,hb,,
71504.301,1781254225.668,hb,,
71564.370,1781254285.733,hb,,
71624.440,1781254345.800,hb,,
71684.510,1781254405.866,hb,,
71744.579,1781254465.932,hb,,
71804.645,1781254525.994,hb,,
71864.715,1781254586.060,hb,,
71924.784,1781254646.126,hb,,
71984.853,1781254706.191,hb,,
72044.921,1781254766.255,hb,,
72104.990,1781254826.321,hb,,
72165.060,1781254886.387,hb,,
72225.130,1781254946.453,hb,,
72285.200,1781255006.519,hb,,
72345.268,1781255066.584,hb,,
72405.337,1781255126.649,hb,,
72465.406,1781255186.714,hb,,
72525.476,1781255246.781,hb,,
72585.544,1781255306.845,hb,,
72645.613,1781255366.910,hb,,
72705.680,1781255426.973,hb,,
72765.747,1781255487.036,hb,,
72825.813,1781255547.099,hb,,
72885.883,1781255607.166,hb,,
72945.952,1781255667.231,hb,,
73006.021,1781255727.296,hb,,
73066.088,1781255787.359,hb,,
73126.156,1781255847.424,hb,,
73186.225,1781255907.489,hb,,
73246.294,1781255967.554,hb,,
73306.363,1781256027.619,hb,,
73366.432,1781256087.685,hb,,
73426.501,1781256147.751,hb,,
73486.570,1781256207.816,hb,,
73546.640,1781256267.882,hb,,
73606.709,1781256327.947,hb,,
73666.777,1781256388.012,hb,,
73726.844,1781256448.075,hb,,
73786.912,1781256508.139,hb,,
73846.982,1781256568.205,hb,,
73907.050,1781256628.270,hb,,
73967.119,1781256688.335,hb,,
74027.188,1781256748.400,hb,,
74087.256,1781256808.465,hb,,
74147.324,1781256868.529,hb,,
74207.393,1781256928.594,hb,,
74267.462,1781256988.660,hb,,
74327.530,1781257048.724,hb,,
74387.598,1781257108.788,hb,,
74447.666,1781257168.852,hb,,
74507.735,1781257228.917,hb,,
74567.804,1781257288.983,hb,,
74627.873,1781257349.049,hb,,
74687.943,1781257409.114,hb,,
74748.011,1781257469.179,hb,,
74808.081,1781257529.245,hb,,
74868.150,1781257589.311,hb,,
74928.219,1781257649.376,hb,,
74988.287,1781257709.440,hb,,
75048.356,1781257769.505,hb,,
75108.424,1781257829.570,hb,,
75168.490,1781257889.633,hb,,
75228.560,1781257949.699,hb,,
75288.629,1781258009.764,hb,,
75348.698,1781258069.829,hb,,
75408.767,1781258129.894,hb,,
75468.836,1781258189.960,hb,,
75528.906,1781258250.026,hb,,
75588.975,1781258310.091,hb,,
75649.044,1781258370.157,hb,,
75709.114,1781258430.223,hb,,
75769.181,1781258490.286,hb,,
75829.249,1781258550.351,hb,,
75889.320,1781258610.418,hb,,
75949.390,1781258670.484,hb,,
76009.457,1781258730.547,hb,,
76069.525,1781258790.612,hb,,
76129.591,1781258850.675,hb,,
76189.660,1781258910.740,hb,,
76249.729,1781258970.805,hb,,
76309.798,1781259030.871,hb,,
76369.866,1781259090.935,hb,,
76429.934,1781259150.999,hb,,
76490.003,1781259211.064,hb,,
76550.073,1781259271.131,hb,,
76610.143,1781259331.196,hb,,
76670.213,1781259391.263,hb,,
76730.280,1781259451.327,hb,,
76790.350,1781259511.393,hb,,
76850.416,1781259571.455,hb,,
76910.485,1781259631.521,hb,,
76970.553,1781259691.585,hb,,
77030.624,1781259751.652,hb,,
77090.694,1781259811.718,hb,,
77150.763,1781259871.784,hb,,
77210.832,1781259931.849,hb,,
77270.902,1781259991.915,hb,,
77330.970,1781260051.980,hb,,
77391.039,1781260112.045,hb,,
77451.110,1781260172.112,hb,,
77511.180,1781260232.178,hb,,
77571.248,1781260292.242,hb,,
77631.316,1781260352.307,hb,,
77691.383,1781260412.370,hb,,
77751.453,1781260472.437,hb,,
77811.521,1781260532.501,hb,,
77871.588,1781260592.565,hb,,
77931.657,1781260652.630,hb,,
77991.726,1781260712.695,hb,,
78051.795,1781260772.760,hb,,
78111.862,1781260832.824,hb,,
78171.932,1781260892.890,hb,,
78232.003,1781260952.957,hb,,
78292.072,1781261013.022,hb,,
78352.138,1781261073.085,hb,,
78412.208,1781261133.151,hb,,
78472.277,1781261193.217,hb,,
78532.346,1781261253.282,hb,,
78592.414,1781261313.346,hb,,
78652.482,1781261373.410,hb,,
78712.551,1781261433.476,hb,,
78772.621,1781261493.542,hb,,
78832.689,1781261553.606,hb,,
78892.757,1781261613.671,hb,,
78952.826,1781261673.736,hb,,
79012.894,1781261733.800,hb,,
79072.964,1781261793.866,hb,,
79133.031,1781261853.930,hb,,
79193.099,1781261913.994,hb,,
79253.168,1781261974.059,hb,,
79313.236,1781262034.124,hb,,
79373.306,1781262094.190,hb,,
79433.376,1781262154.257,hb,,
79493.444,1781262214.321,hb,,
79553.513,1781262274.386,hb,,
79613.582,1781262334.451,hb,,
79673.651,1781262394.517,hb,,
79733.720,1781262454.582,hb,,
79793.788,1781262514.647,hb,,
79853.857,1781262574.712,hb,,
79913.923,1781262634.774,hb,,
79973.991,1781262694.838,hb,,
80034.060,1781262754.904,hb,,
80094.129,1781262814.969,hb,,
80154.197,1781262875.033,hb,,
80214.266,1781262935.099,hb,,
80274.334,1781262995.163,hb,,
80334.401,1781263055.226,hb,,
80394.467,1781263115.289,hb,,
80454.535,1781263175.352,hb,,
80514.603,1781263235.417,hb,,
80574.673,1781263295.484,hb,,
80634.741,1781263355.548,hb,,
80694.809,1781263415.612,hb,,
80754.873,1781263475.672,hb,,
80814.941,1781263535.737,hb,,
80875.010,1781263595.802,hb,,
80935.079,1781263655.868,hb,,
80995.146,1781263715.931,hb,,
81055.213,1781263775.994,hb,,
81115.281,1781263836.058,hb,,
81175.350,1781263896.123,hb,,
81235.418,1781263956.188,hb,,
81295.488,1781264016.254,hb,,
81355.556,1781264076.319,hb,,
81415.625,1781264136.384,hb,,
81475.692,1781264196.448,hb,,
81535.761,1781264256.513,hb,,
81595.831,1781264316.579,hb,,
81655.899,1781264376.643,hb,,
81715.967,1781264436.708,hb,,
81776.036,1781264496.773,hb,,
81836.102,1781264556.835,hb,,
81896.170,1781264616.899,hb,,
81956.239,1781264676.965,hb,,
82016.308,1781264737.030,hb,,
82076.376,1781264797.094,hb,,
82136.444,1781264857.159,hb,,
82196.512,1781264917.223,hb,,
82256.581,1781264977.288,hb,,
82316.649,1781265037.352,hb,,
82376.717,1781265097.416,hb,,
82436.786,1781265157.482,hb,,
82496.852,1781265217.545,hb,,
82556.921,1781265277.610,hb,,
82616.990,1781265337.675,hb,,
82677.056,1781265397.738,hb,,
82737.124,1781265457.801,hb,,
82797.192,1781265517.866,hb,,
82857.261,1781265577.932,hb,,
82917.330,1781265637.996,hb,,
82977.396,1781265698.058,hb,,
83037.465,1781265758.124,hb,,
83097.534,1781265818.190,hb,,
83157.604,1781265878.256,hb,,
83217.672,1781265938.320,hb,,
83277.739,1781265998.383,hb,,
83337.808,1781266058.449,hb,,
83397.877,1781266118.514,hb,,
83457.946,1781266178.580,hb,,
83518.017,1781266238.647,hb,,
83578.085,1781266298.711,hb,,
83638.155,1781266358.777,hb,,
83698.224,1781266418.843,hb,,
83758.293,1781266478.908,hb,,
83818.361,1781266538.972,hb,,
83878.430,1781266599.037,hb,,
83938.500,1781266659.103,hb,,
83998.568,1781266719.169,hb,,
84058.637,1781266779.233,hb,,
84118.705,1781266839.298,hb,,
84178.774,1781266899.363,hb,,
84238.841,1781266959.426,hb,,
84298.909,1781267019.490,hb,,
84358.978,1781267079.556,hb,,
84419.046,1781267139.620,hb,,
84479.115,1781267199.685,hb,,
84539.184,1781267259.751,hb,,
84599.253,1781267319.816,hb,,
84659.322,1781267379.881,hb,,
84719.391,1781267439.947,hb,,
84779.459,1781267500.011,hb,,
84839.525,1781267560.074,hb,,
