raw_s,wall_s,kind,jump_ms
70543.158,1781253264.585,hb,
70603.191,1781253324.613,hb,
70663.224,1781253384.643,hb,
70723.257,1781253444.673,hb,
70783.288,1781253504.700,hb,
70843.320,1781253564.728,hb,
70903.354,1781253624.758,hb,
70963.387,1781253684.788,hb,
71023.418,1781253744.815,hb,
71083.449,1781253804.842,hb,
71143.480,1781253864.870,hb,
71203.514,1781253924.900,hb,
71263.547,1781253984.929,hb,
71323.583,1781254044.961,hb,
71383.616,1781254104.991,hb,
71443.649,1781254165.020,hb,
71503.682,1781254225.049,hb,
71563.716,1781254285.080,hb,
71623.750,1781254345.110,hb,
71683.782,1781254405.138,hb,
71743.811,1781254465.164,hb,
71803.843,1781254525.191,hb,
71863.873,1781254585.218,hb,
71923.905,1781254645.247,hb,
71983.936,1781254705.274,hb,
72043.967,1781254765.301,hb,
72103.992,1781254825.322,hb,
72164.020,1781254885.347,hb,
72224.052,1781254945.375,hb,
72284.082,1781255005.401,hb,
72344.111,1781255065.427,hb,
72404.140,1781255125.452,hb,
72464.172,1781255185.480,hb,
72524.203,1781255245.507,hb,
72584.235,1781255305.536,hb,
72644.266,1781255365.563,hb,
72704.298,1781255425.591,hb,
72764.330,1781255485.620,hb,
72824.362,1781255545.649,hb,
72884.392,1781255605.674,hb,
72944.422,1781255665.701,hb,
73004.450,1781255725.726,hb,
73064.483,1781255785.755,hb,
73124.513,1781255845.781,hb,
73184.545,1781255905.809,hb,
73244.575,1781255965.835,hb,
73304.605,1781256025.862,hb,
73364.634,1781256085.887,hb,
73424.664,1781256145.914,hb,
73484.691,1781256205.937,hb,
73544.720,1781256265.962,hb,
73604.747,1781256325.985,hb,
73664.778,1781256386.013,hb,
73724.807,1781256446.038,hb,
73784.836,1781256506.063,hb,
73844.867,1781256566.090,hb,
73904.896,1781256626.116,hb,
73964.925,1781256686.142,hb,
74024.953,1781256746.165,hb,
74084.984,1781256806.193,hb,
74145.013,1781256866.218,hb,
74205.042,1781256926.243,hb,
74265.073,1781256986.270,hb,
74325.097,1781257046.291,hb,
74385.125,1781257106.315,hb,
74445.156,1781257166.342,hb,
74505.186,1781257226.368,hb,
74565.215,1781257286.394,hb,
74625.245,1781257346.421,hb,
74685.278,1781257406.450,hb,
74745.308,1781257466.476,hb,
74805.339,1781257526.503,hb,
74865.366,1781257586.527,hb,
74925.399,1781257646.556,hb,
74985.429,1781257706.583,hb,
75045.458,1781257766.608,hb,
75105.489,1781257826.635,hb,
75165.519,1781257886.662,hb,
75225.547,1781257946.686,hb,
75285.576,1781258006.711,hb,
75345.607,1781258066.738,hb,
75405.638,1781258126.765,hb,
75465.666,1781258186.790,hb,
75525.695,1781258246.815,hb,
75585.725,1781258306.842,hb,
75645.754,1781258366.867,hb,
75705.782,1781258426.891,hb,
75765.809,1781258486.915,hb,
75825.839,1781258546.940,hb,
75885.869,1781258606.967,hb,
75945.896,1781258666.991,hb,
76005.923,1781258727.014,hb,
76065.951,1781258787.038,hb,
76125.980,1781258847.063,hb,
76186.011,1781258907.090,hb,
76246.042,1781258967.118,hb,
76306.071,1781259027.143,hb,
76366.099,1781259087.168,hb,
76426.128,1781259147.194,hb,
76486.159,1781259207.220,hb,
76546.186,1781259267.243,hb,
76606.215,1781259327.269,hb,
76666.246,1781259387.296,hb,
76726.276,1781259447.323,hb,
76786.306,1781259507.349,hb,
76846.336,1781259567.376,hb,
76906.365,1781259627.400,hb,
76966.397,1781259687.429,hb,
77026.429,1781259747.457,hb,
77086.459,1781259807.484,hb,
77146.489,1781259867.510,hb,
77206.520,1781259927.537,hb,
77266.554,1781259987.567,hb,
77326.585,1781260047.595,hb,
77386.616,1781260107.622,hb,
77446.650,1781260167.652,hb,
77506.681,1781260227.679,hb,
77566.709,1781260287.705,hb,
77626.740,1781260347.732,hb,
77686.771,1781260407.758,hb,
77746.799,1781260467.783,hb,
77806.829,1781260527.809,hb,
77866.863,1781260587.839,hb,
77926.897,1781260647.870,hb,
77986.929,1781260707.898,hb,
78046.963,1781260767.928,hb,
78106.997,1781260827.959,hb,
78167.027,1781260887.986,hb,
78227.060,1781260948.015,hb,
78287.093,1781261008.044,hb,
78347.125,1781261068.072,hb,
78407.159,1781261128.102,hb,
78467.192,1781261188.131,hb,
78527.224,1781261248.160,hb,
78587.255,1781261308.187,hb,
78647.284,1781261368.213,hb,
78707.317,1781261428.242,hb,
78767.348,1781261488.270,hb,
78827.378,1781261548.295,hb,
78887.409,1781261608.323,hb,
78947.443,1781261668.354,hb,
79007.476,1781261728.383,hb,
79067.506,1781261788.409,hb,
79127.539,1781261848.438,hb,
79187.572,1781261908.468,hb,
79247.603,1781261968.495,hb,
79307.627,1781262028.516,hb,
79367.654,1781262088.539,hb,
79427.686,1781262148.567,hb,
79487.720,1781262208.597,hb,
79547.751,1781262268.624,hb,
79607.783,1781262328.653,hb,
79667.809,1781262388.675,hb,
79727.835,1781262448.698,hb,
79787.864,1781262508.723,hb,
79847.893,1781262568.748,hb,
79907.923,1781262628.775,hb,
79967.955,1781262688.803,hb,
80027.983,1781262748.827,hb,
80088.010,1781262808.851,hb,
80148.036,1781262868.873,hb,
80208.069,1781262928.902,hb,
80268.096,1781262988.926,hb,
80328.119,1781263048.945,hb,
80388.146,1781263108.968,hb,
80448.172,1781263168.990,hb,
80508.201,1781263229.016,hb,
80568.233,1781263289.043,hb,
80628.255,1781263349.062,hb,
80688.278,1781263409.081,hb,
80748.303,1781263469.103,hb,
80808.327,1781263529.123,hb,
80868.351,1781263589.144,hb,
80928.377,1781263649.166,hb,
80988.401,1781263709.186,hb,
81048.425,1781263769.207,hb,
81108.452,1781263829.230,hb,
81168.478,1781263889.252,hb,
81228.500,1781263949.270,hb,
81288.525,1781264009.292,hb,
81348.548,1781264069.311,hb,
81408.575,1781264129.334,hb,
81468.599,1781264189.355,hb,
81528.622,1781264249.374,hb,
81588.648,1781264309.396,hb,
81648.671,1781264369.415,hb,
81708.697,1781264429.438,hb,
81768.724,1781264489.461,hb,
81828.750,1781264549.483,hb,
81888.777,1781264609.506,hb,
81948.803,1781264669.529,hb,
82008.829,1781264729.551,hb,
82068.854,1781264789.573,hb,
82128.883,1781264849.598,hb,
82188.910,1781264909.622,hb,
82248.938,1781264969.645,hb,
82308.968,1781265029.672,hb,
82368.999,1781265089.699,hb,
82429.026,1781265149.722,hb,
82489.055,1781265209.748,hb,
82549.084,1781265269.774,hb,
82609.114,1781265329.800,hb,
82669.141,1781265389.823,hb,
82729.170,1781265449.848,hb,
82789.200,1781265509.874,hb,
82849.230,1781265569.901,hb,
82909.258,1781265629.925,hb,
82969.289,1781265689.953,hb,
83029.322,1781265749.982,hb,
83089.351,1781265810.007,hb,
83149.380,1781265870.033,hb,
83209.410,1781265930.059,hb,
83269.435,1781265990.080,hb,
83329.462,1781266050.104,hb,
83389.492,1781266110.129,hb,
83449.518,1781266170.152,hb,
83509.545,1781266230.175,hb,
83569.578,1781266290.204,hb,
83629.607,1781266350.230,hb,
83689.638,1781266410.257,hb,
83749.662,1781266470.278,hb,
83809.692,1781266530.304,hb,
83869.719,1781266590.327,hb,
83929.748,1781266650.352,hb,
83989.781,1781266710.382,hb,
84049.809,1781266770.406,hb,
84109.834,1781266830.427,hb,
84169.861,1781266890.451,hb,
84229.888,1781266950.474,hb,
84289.909,1781267010.491,hb,
84349.932,1781267070.510,hb,
84409.955,1781267130.530,hb,
84469.976,1781267190.548,hb,
84529.998,1781267250.566,hb,
84590.020,1781267310.584,hb,
84650.046,1781267370.606,hb,
84710.072,1781267430.629,hb,
84770.097,1781267490.650,hb,
84830.126,1781267550.676,hb,
