raw_s,wall_s,offset_ms,delay_ms,err
56075.833,1781238798.147,0.319,0.344,
56076.834,1781238799.148,0.275,0.388,
56077.834,1781238800.148,0.251,0.305,
56078.834,1781238801.148,0.213,0.334,
56079.834,1781238802.148,0.219,0.278,
56080.834,1781238803.148,0.224,0.286,
56081.834,1781238804.148,0.217,0.277,
56082.834,1781238805.148,0.177,0.308,
56083.834,1781238806.148,0.185,0.269,
56084.834,1781238807.148,0.176,0.292,
56085.834,1781238808.148,0.122,0.324,
56086.834,1781238809.148,0.146,0.250,
56087.834,1781238810.148,0.071,0.393,
56088.834,1781238811.148,0.078,0.345,
56089.834,1781238812.148,0.081,0.301,
56090.835,1781238813.148,0.077,0.314,
56091.835,1781238814.148,0.041,0.339,
56092.835,1781238815.148,0.070,0.356,
56093.835,1781238816.148,0.022,0.337,
56094.835,1781238817.148,0.013,0.321,
56095.835,1781238818.148,0.018,0.297,
56096.835,1781238819.148,0.001,0.265,
56097.835,1781238820.148,0.005,0.314,
56098.835,1781238821.148,-0.027,0.343,
56099.835,1781238822.148,-0.033,0.338,
56100.835,1781238823.148,-0.002,0.340,
56101.835,1781238824.148,-0.034,0.390,
56102.835,1781238825.148,-0.055,0.353,
56103.835,1781238826.148,-0.051,0.334,
56104.835,1781238827.148,-0.071,0.316,
56105.835,1781238828.148,-0.059,0.307,
56106.835,1781238829.148,-0.054,0.312,
56107.835,1781238830.148,-0.066,0.308,
56108.835,1781238831.148,-0.089,0.328,
56109.836,1781238832.148,-0.094,0.360,
56110.836,1781238833.148,-0.072,0.334,
56111.836,1781238834.148,-0.092,0.331,
56112.836,1781238835.148,-0.106,0.337,
56113.836,1781238836.148,-0.121,0.315,
56114.836,1781238837.148,-0.109,0.346,
56115.836,1781238838.148,-0.119,0.331,
56116.836,1781238839.148,-0.113,0.258,
56117.836,1781238840.148,-0.130,0.327,
56118.836,1781238841.148,-0.130,0.336,
56119.836,1781238842.148,-0.141,0.340,
56120.836,1781238843.148,-0.127,0.299,
56121.836,1781238844.148,-0.149,0.348,
56122.836,1781238845.148,-0.169,0.328,
56123.836,1781238846.148,-0.135,0.371,
56124.836,1781238847.148,-0.173,0.390,
56125.836,1781238848.148,-0.175,0.365,
56126.836,1781238849.148,-0.142,0.194,
56127.836,1781238850.148,-0.153,0.352,
56128.837,1781238851.148,-0.170,0.338,
56129.837,1781238852.148,-0.180,0.338,
56130.837,1781238853.148,-0.176,0.323,
56131.837,1781238854.148,-0.177,0.332,
56132.837,1781238855.148,-0.180,0.339,
56133.837,1781238856.148,-0.165,0.300,
56134.837,1781238857.148,-0.219,0.398,
56135.837,1781238858.148,-0.178,0.321,
56136.837,1781238859.148,-0.197,0.372,
56137.837,1781238860.148,-0.170,0.328,
56138.837,1781238861.148,-0.161,0.372,
56139.837,1781238862.148,-0.181,0.359,
56140.837,1781238863.148,-0.166,0.341,
56141.837,1781238864.148,-0.195,0.409,
56142.838,1781238865.148,-0.182,0.367,
56143.837,1781238866.148,-0.160,0.339,
56144.838,1781238867.148,-0.175,0.364,
56145.838,1781238868.148,-0.161,0.335,
56146.838,1781238869.148,-0.173,0.388,
56147.838,1781238870.148,-0.156,0.346,
56148.838,1781238871.148,-0.149,0.334,
56149.838,1781238872.148,-0.148,0.333,
56150.838,1781238873.148,-0.147,0.338,
56151.838,1781238874.148,-0.143,0.329,
56152.838,1781238875.148,-0.141,0.318,
56153.838,1781238876.148,-0.116,0.279,
56154.838,1781238877.148,-0.172,0.390,
56155.838,1781238878.148,-0.128,0.444,
56156.838,1781238879.148,-0.133,0.378,
56157.838,1781238880.148,-0.125,0.366,
56158.839,1781238881.148,-0.138,0.351,
56159.838,1781238882.148,-0.129,0.300,
56160.839,1781238883.148,-0.154,0.305,
56161.839,1781238884.148,-0.158,0.359,
56162.839,1781238885.148,-0.121,0.378,
56163.839,1781238886.148,-0.139,0.335,
56164.839,1781238887.148,-0.122,0.375,
56165.839,1781238888.148,-0.165,0.375,
