raw_s,cpu_ns,mem_bytes,ntp_pkts
56135.836,48106000,1339392,62
56195.865,48106000,1339392,122
56255.894,48186000,1339392,182
56315.924,48380000,1339392,243
56375.954,48474000,1339392,303
56435.983,48474000,1339392,363
56496.012,48561000,1339392,423
56556.041,48780000,1343488,484
56616.071,48850000,1343488,544
56676.100,48850000,1343488,604
56736.130,48956000,1343488,664
56796.161,49173000,1347584,725
56856.191,49173000,1347584,785
56916.220,49249000,1347584,845
56976.249,49249000,1347584,905
57036.279,49530000,1347584,966
57096.307,49530000,1347584,1026
57156.337,49612000,1347584,1086
57216.366,49612000,1347584,1146
57276.395,49688000,1347584,1206
57336.425,49885000,1347584,1267
57396.454,49957000,1347584,1327
57456.484,49957000,1347584,1387
57516.514,50061000,1347584,1447
57576.546,50260000,1347584,1508
57636.577,50380000,1347584,1568
57696.606,50380000,1347584,1628
57756.637,50472000,1351680,1688
57816.666,50798000,1351680,1749
57876.696,50798000,1351680,1809
57936.725,50936000,1351680,1869
57996.754,50936000,1351680,1929
58056.785,51212000,1347584,1990
58116.816,51212000,1347584,2050
58176.846,51285000,1351680,2110
58236.875,51285000,1351680,2170
58296.905,51376000,1351680,2230
58356.935,51617000,1351680,2291
58416.964,51694000,1351680,2351
58476.992,51694000,1351680,2412
58537.021,51813000,1347584,2472
58597.050,52043000,1351680,2533
58657.079,52043000,1351680,2593
58717.108,52138000,1351680,2653
58777.137,52138000,1351680,2713
58837.166,52359000,1351680,2774
58897.195,52359000,1351680,2834
58957.225,52467000,1351680,2894
59017.255,52467000,1351680,2954
59077.285,52552000,1347584,3014
59137.314,52748000,1351680,3075
59197.344,52906000,1351680,3135
59257.373,52906000,1351680,3195
59317.402,52981000,1351680,3255
59377.432,53169000,1351680,3316
59437.461,53299000,1351680,3376
59497.491,53299000,1351680,3436
59557.521,53386000,1351680,3496
59617.550,53607000,1351680,3557
59677.579,53607000,1351680,3617
59737.608,53714000,1351680,3677
59797.638,53714000,1351680,3737
59857.667,53980000,1351680,3798
59917.696,53980000,1351680,3858
59977.726,54161000,1351680,3918
60037.755,54161000,1351680,3978
60097.785,54254000,1351680,4038
60157.814,54446000,1351680,4099
60217.844,54536000,1351680,4159
60277.873,54536000,1351680,4219
60337.903,54657000,1347584,4279
60397.934,54925000,1351680,4340
60457.965,54925000,1351680,4400
60517.995,55014000,1351680,4460
60578.025,55014000,1351680,4520
60638.056,55322000,1351680,4581
60698.085,55322000,1351680,4641
60758.115,55412000,1351680,4702
60818.144,55412000,1351680,4762
60878.173,55750000,1347584,4823
60938.202,55750000,1347584,4883
60998.232,55838000,1351680,4943
61058.262,55838000,1351680,5003
61118.292,55931000,1351680,5063
61178.320,56127000,1351680,5124
61238.349,56244000,1347584,5184
61298.378,56244000,1347584,5244
61358.408,56382000,1351680,5304
61418.438,56603000,1351680,5365
61478.468,56603000,1351680,5425
61538.497,56694000,1351680,5485
61598.525,56694000,1351680,5545
61658.555,56940000,1351680,5606
61718.584,56940000,1351680,5666
61778.613,57018000,1351680,5726
61838.642,57018000,1351680,5786
61898.671,57093000,1351680,5846
61958.701,57332000,1351680,5907
62018.729,57422000,1351680,5967
62078.758,57422000,1351680,6027
62138.787,57530000,1347584,6087
62198.818,57723000,1351680,6148
62258.848,57812000,1351680,6208
62318.877,57812000,1351680,6268
62378.907,57906000,1351680,6328
62438.937,58109000,1351680,6389
62498.966,58171000,1351680,6449
62558.995,58171000,1351680,6509
62619.025,58286000,1351680,6569
62679.054,58502000,1351680,6630
62739.083,58502000,1351680,6690
62799.113,58635000,1351680,6750
62859.143,58635000,1351680,6810
62919.172,58737000,1351680,6870
62979.202,58937000,1351680,6931
63039.231,59058000,1347584,6991
63099.261,59058000,1347584,7052
63159.290,59137000,1351680,7112
63219.319,59348000,1351680,7173
63279.348,59446000,1351680,7233
63339.377,59446000,1351680,7293
63399.406,59564000,1351680,7353
63459.436,59795000,1351680,7414
63519.465,59795000,1351680,7474
63579.495,59879000,1351680,7534
63639.524,59879000,1351680,7594
63699.554,60175000,1351680,7655
63759.583,60175000,1351680,7715
63819.612,60307000,1351680,7775
63879.641,60307000,1351680,7835
63939.670,60422000,1347584,7895
63999.700,60576000,1351680,7956
64059.729,60667000,1351680,8016
64119.758,60667000,1351680,8076
64179.787,60777000,1351680,8136
64239.817,60972000,1351680,8197
64299.846,61061000,1351680,8257
64359.876,61061000,1351680,8317
64419.906,61131000,1351680,8377
64479.935,61365000,1351680,8438
64539.964,61365000,1351680,8498
64599.993,61456000,1351680,8558
64660.022,61456000,1351680,8618
64720.051,61750000,1351680,8679
64780.081,61750000,1351680,8739
64840.110,61881000,1347584,8799
64900.139,61881000,1347584,8859
64960.168,61980000,1351680,8919
65020.198,62189000,1351680,8980
65080.228,62255000,1351680,9040
65140.257,62255000,1351680,9100
65200.287,62319000,1351680,9160
65260.319,62516000,1351680,9221
65320.349,62598000,1351680,9281
65380.378,62598000,1351680,9341
65440.407,62677000,1351680,9402
65500.436,62895000,1351680,9463
65560.466,62895000,1351680,9523
65620.495,62985000,1351680,9583
65680.524,62985000,1351680,9643
65740.553,63086000,1347584,9703
65800.583,63287000,1351680,9764
65860.612,63388000,1351680,9824
65920.641,63388000,1351680,9884
65980.670,63474000,1351680,9944
66040.699,63671000,1351680,10005
66100.729,63765000,1351680,10065
66160.759,63765000,1351680,10125
66220.788,63841000,1351680,10185
66280.817,64157000,1351680,10246
66340.846,64157000,1351680,10306
66400.875,64304000,1351680,10366
66460.904,64304000,1351680,10426
66520.933,64609000,1351680,10487
66580.962,64609000,1351680,10547
66640.991,64711000,1347584,10607
66701.020,64711000,1347584,10667
66761.049,64806000,1351680,10727
66821.078,65015000,1351680,10788
66881.108,65107000,1351680,10848
66941.137,65107000,1351680,10908
67001.168,65170000,1351680,10968
67061.198,65406000,1351680,11029
67121.228,65487000,1351680,11089
67181.257,65487000,1351680,11149
67241.286,65584000,1351680,11209
67301.314,65806000,1351680,11270
67361.343,65806000,1351680,11330
67421.372,65904000,1351680,11390
67481.402,65904000,1351680,11450
67541.432,66255000,1351680,11511
67601.461,66255000,1351680,11571
67661.491,66329000,1351680,11631
67721.521,66329000,1351680,11691
67781.550,66427000,1351680,11752
67841.579,66643000,1351680,11813
67901.607,66771000,1351680,11873
67961.636,66771000,1351680,11933
68021.665,66840000,1351680,11993
68081.695,67031000,1351680,12054
68141.724,67129000,1351680,12114
68201.753,67129000,1351680,12174
68261.782,67206000,1351680,12234
68321.812,67379000,1355776,12295
68381.841,67379000,1355776,12355
68441.870,67497000,1347584,12415
68501.899,67497000,1347584,12475
68561.928,67608000,1351680,12535
68621.957,67826000,1351680,12596
68681.985,67911000,1351680,12656
68742.014,67911000,1351680,12716
68802.044,67981000,1351680,12776
68862.073,68189000,1351680,12837
68922.102,68277000,1351680,12897
68982.131,68277000,1351680,12957
69042.161,68354000,1351680,13017
69102.190,68576000,1351680,13078
69162.219,68576000,1351680,13138
69222.248,68667000,1351680,13198
69282.276,68667000,1351680,13258
69342.306,69011000,1351680,13319
69402.335,69011000,1351680,13379
69462.365,69107000,1351680,13439
69522.394,69107000,1351680,13499
69582.423,69203000,1351680,13559
69642.452,69393000,1351680,13620
69702.481,69474000,1351680,13680
69762.510,69474000,1351680,13740
69822.539,69558000,1351680,13800
69882.568,69806000,1351680,13861
69942.598,69877000,1351680,13921
70002.628,69877000,1351680,13981
70062.658,69971000,1351680,14041
70122.687,70213000,1351680,14103
70182.717,70213000,1351680,14163
70242.746,70343000,1347584,14223
70302.775,70343000,1347584,14283
70362.805,70625000,1351680,14344
70422.834,70625000,1351680,14404
