raw_s,wall_s,kind,jump_ms
56135.859,1781238858.170,hb,
56195.892,1781238918.199,hb,
56255.923,1781238978.227,hb,
56315.957,1781239038.257,hb,
56375.991,1781239098.287,hb,
56436.023,1781239158.316,hb,
56496.053,1781239218.343,hb,
56556.080,1781239278.366,hb,
56616.106,1781239338.388,hb,
56676.137,1781239398.415,hb,
56736.168,1781239458.442,hb,
56796.201,1781239518.471,hb,
56856.235,1781239578.501,hb,
56916.261,1781239638.524,hb,
56976.286,1781239698.546,hb,
57036.316,1781239758.571,hb,
57096.348,1781239818.600,hb,
57156.380,1781239878.628,hb,
57216.415,1781239938.659,hb,
57276.447,1781239998.687,hb,
57336.479,1781240058.716,hb,
57396.509,1781240118.742,hb,
57456.541,1781240178.770,hb,
57516.574,1781240238.800,hb,
57576.602,1781240298.824,hb,
57636.631,1781240358.850,hb,
57696.658,1781240418.873,hb,
57756.674,1781240478.886,hb,
57816.696,1781240538.904,hb,
57876.725,1781240598.929,hb,
57936.758,1781240658.958,hb,
57996.791,1781240718.988,hb,
58056.823,1781240779.016,hb,
58116.853,1781240839.043,hb,
58176.888,1781240899.073,hb,
58236.920,1781240959.102,hb,
58296.952,1781241019.130,hb,
58356.984,1781241079.158,hb,
58417.019,1781241139.189,hb,
58477.050,1781241199.217,hb,
58537.083,1781241259.246,hb,
58597.114,1781241319.273,hb,
58657.145,1781241379.301,hb,
58717.176,1781241439.328,hb,
58777.208,1781241499.357,hb,
58837.242,1781241559.387,hb,
58897.273,1781241619.415,hb,
58957.302,1781241679.440,hb,
59017.333,1781241739.467,hb,
59077.366,1781241799.496,hb,
59137.399,1781241859.526,hb,
59197.431,1781241919.554,hb,
59257.455,1781241979.575,hb,
59317.487,1781242039.603,hb,
59377.514,1781242099.626,hb,
59437.544,1781242159.652,hb,
59497.579,1781242219.683,hb,
59557.610,1781242279.711,hb,
59617.643,1781242339.740,hb,
59677.675,1781242399.768,hb,
59737.707,1781242459.797,hb,
59797.741,1781242519.827,hb,
59857.776,1781242579.858,hb,
59917.809,1781242639.888,hb,
59977.842,1781242699.918,hb,
60037.877,1781242759.949,hb,
60097.912,1781242819.980,hb,
60157.945,1781242880.009,hb,
60217.976,1781242940.036,hb,
60278.010,1781243000.067,hb,
60338.043,1781243060.096,hb,
60398.079,1781243120.128,hb,
60458.110,1781243180.156,hb,
60518.145,1781243240.188,hb,
60578.178,1781243300.217,hb,
60638.209,1781243360.244,hb,
60698.243,1781243420.274,hb,
60758.277,1781243480.304,hb,
60818.310,1781243540.334,hb,
60878.344,1781243600.364,hb,
60938.376,1781243660.392,hb,
60998.410,1781243720.422,hb,
61058.442,1781243780.450,hb,
61118.473,1781243840.478,hb,
61178.505,1781243900.506,hb,
61238.538,1781243960.535,hb,
61298.570,1781244020.564,hb,
61358.601,1781244080.591,hb,
61418.630,1781244140.617,hb,
61478.661,1781244200.644,hb,
61538.694,1781244260.673,hb,
61598.726,1781244320.702,hb,
61658.752,1781244380.724,hb,
61718.783,1781244440.751,hb,
61778.815,1781244500.780,hb,
61838.848,1781244560.809,hb,
61898.880,1781244620.837,hb,
61958.914,1781244680.868,hb,
62018.947,1781244740.897,hb,
62078.981,1781244800.927,hb,
62139.011,1781244860.953,hb,
62199.040,1781244920.978,hb,
62259.071,1781244981.006,hb,
62319.103,1781245041.034,hb,
62379.134,1781245101.062,hb,
62439.167,1781245161.091,hb,
62499.196,1781245221.116,hb,
62559.228,1781245281.144,hb,
62619.258,1781245341.171,hb,
62679.292,1781245401.201,hb,
62739.325,1781245461.231,hb,
62799.356,1781245521.258,hb,
62859.386,1781245581.285,hb,
62919.416,1781245641.310,hb,
62979.447,1781245701.338,hb,
63039.477,1781245761.364,hb,
63099.508,1781245821.392,hb,
63159.539,1781245881.418,hb,
63219.571,1781245941.447,hb,
63279.604,1781246001.477,hb,
63339.632,1781246061.501,hb,
63399.665,1781246121.530,hb,
63459.693,1781246181.554,hb,
63519.728,1781246241.586,hb,
63579.760,1781246301.614,hb,
63639.792,1781246361.642,hb,
63699.824,1781246421.670,hb,
63759.854,1781246481.697,hb,
